,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス
深津,1,0,0,0.0,0.0,1,0,0,0,34,3,2
白澤,4,4,0,100.0,100.0,2,0,0,0,5,0,0
清水,56,28,2,50.0,46.4,2,3,1,1,21,3,7
クビアク,50,27,3,54.0,48.0,6,42,20,11,26,1,8
伊賀,0,0,0,,,0,15,8,3,0,0,0
久原,22,14,0,63.6,63.6,3,31,8,10,19,1,0
山内,13,10,0,76.9,76.9,1,1,0,0,33,0,2
大竹,27,11,0,40.7,40.7,1,0,0,0,8,2,2
新,0,0,0,,,0,0,0,0,13,0,6
今村,6,3,0,50.0,50.0,0,0,0,0,4,0,1
小宮,7,2,0,28.6,28.6,4,4,0,1,6,0,1
兒玉,1,1,0,100.0,100.0,0,1,0,1,4,1,0
永野,0,0,0,,,0,27,11,10,0,0,0
渡辺,16,10,0,62.5,62.5,1,21,6,7,18,0,3
仲本,0,0,0,,,0,1,0,0,0,0,0
専田,0,0,0,,,0,0,0,0,2,0,0
