大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,日立リヴァーレ,48,77,611,209,28,34.2,23,6,1,26.1,2.71,18,0.23,226,1,2,7,37,4.6,600,199,163,46.8,209,18,3,230
スターカンファレンス,KUROBEアクアフェアリーズ,15,50,372,123,15,33.1,21,6,1,28.6,2.46,13,0.26,148,1,1,4,25,4.9,389,136,98,47.6,123,13,2,138
交流戦,KUROBEアクアフェアリーズ,6,17,154,52,8,33.8,2,0,0,0.0,3.06,4,0.24,48,0,1,3,3,2.1,144,42,50,46.5,52,4,1,57
チャレンジ４,KUROBEアクアフェアリーズ,3,10,85,34,5,40.0,0,0,0,-,3.40,1,0.10,30,0,0,0,9,7.5,67,21,15,42.5,34,1,0,35
V.LEAGUE DIVISION1 WOMEN 2018-19,日立リヴァーレ,27,17,41,12,4,29.3,3,1,1,33.3,0.71,0,-,7,0,0,0,1,3.6,8,2,4,50.0,12,0,0,12
Eastern Conference,日立リヴァーレ,10,6,14,7,1,50.0,2,1,1,50.0,1.17,0,-,4,0,0,0,0,0.0,2,0,2,50.0,7,0,0,7
交流戦,日立リヴァーレ,10,3,9,0,2,0.0,1,0,0,0.0,-,0,-,1,0,0,0,0,0.0,5,1,2,40.0,0,0,0,0
ファイナル８,日立リヴァーレ,7,8,18,5,1,27.8,0,0,0,-,0.62,0,-,2,0,0,0,1,12.5,1,1,0,100.0,5,0,0,5
Ｖ・プレミアリーグ女子 2017/18,日立リヴァーレ,20,42,286,93,15,32.5,18,6,1,33.3,2.21,5,0.12,103,0,3,15,23,4.9,127,24,37,33.5,93,5,3,101
レギュラーラウンド,日立リヴァーレ,20,42,286,93,15,32.5,18,6,1,33.3,2.21,5,0.12,103,0,3,15,23,4.9,127,24,37,33.5,93,5,3,101
Ｖ・プレミアリーグ女子 2016/17,日立リヴァーレ,26,20,111,48,9,43.2,8,4,2,50.0,2.40,1,0.05,38,0,1,6,14,11.3,58,16,0,27.6,48,1,1,50
レギュラーラウンド,日立リヴァーレ,19,8,27,6,1,22.2,0,0,0,-,0.75,0,-,4,0,0,2,2,12.5,2,0,0,0.0,6,0,0,6
ファイナル６,日立リヴァーレ,5,6,38,19,1,50.0,3,2,0,66.7,3.17,0,-,16,0,1,2,7,15.9,15,4,0,26.7,19,0,1,20
ファイナル３,日立リヴァーレ,2,6,46,23,7,50.0,5,2,2,40.0,3.83,1,0.17,18,0,0,2,5,6.9,41,12,0,29.3,23,1,0,24
皇后杯全日本選手権大会,,2,1,3,1,1,33.3,1,1,0,100.0,1.00,0,-,1,0,0,0,1,25.0,0,0,0,-,1,0,0,1
レギュラーラウンド,,2,1,3,1,1,33.3,1,1,0,100.0,1.00,0,-,1,0,0,0,1,25.0,0,0,0,-,1,0,0,1
Ｖ・プレミアリーグ女子 2015/16,日立リヴァーレ,1,3,18,4,3,22.2,3,0,2,0.0,1.33,0,-,4,0,0,1,1,6.2,2,0,0,0.0,4,0,0,4
レギュラーラウンド,日立リヴァーレ,1,3,18,4,3,22.2,3,0,2,0.0,1.33,0,-,4,0,0,1,1,6.2,2,0,0,0.0,4,0,0,4
レギュラーシーズン通算,,81,129,880,285,45,32.4,47,13,5,27.7,2.21,22,0.17,312,1,5,25,54,4.2,671,203,189,44.3,285,22,6,313
通算,,124,160,1070,367,60,34.3,56,18,7,32.1,2.29,24,0.15,379,1,6,29,77,5.0,795,241,204,43.1,367,24,7,398
