大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,KUROBEアクアフェアリーズ,24,65,353,104,22,29.5,7,1,2,14.3,1.60,10,0.15,194,1,9,27,59,9.3,404,173,90,54.0,104,10,10,124
スターカンファレンス,KUROBEアクアフェアリーズ,15,33,130,36,8,27.7,4,0,1,0.0,1.09,3,0.09,85,0,1,12,25,5.0,180,80,41,55.8,36,3,1,40
交流戦,KUROBEアクアフェアリーズ,6,19,136,35,11,25.7,3,1,1,33.3,1.84,6,0.32,57,0,4,10,16,9.6,121,50,28,52.9,35,6,4,45
チャレンジ４,KUROBEアクアフェアリーズ,3,13,87,33,3,37.9,0,0,0,-,2.54,1,0.08,52,1,4,5,18,15.9,103,43,21,51.9,33,1,5,39
V.LEAGUE DIVISION1 WOMEN 2018-19,KUROBEアクアフェアリーズ,22,20,53,13,9,24.5,4,1,2,25.0,0.65,0,-,35,1,0,2,11,9.3,66,20,15,41.7,13,0,1,14
Eastern Conference,KUROBEアクアフェアリーズ,10,11,46,11,7,23.9,4,1,2,25.0,1.00,0,-,22,1,0,2,5,8.0,56,19,15,47.3,11,0,1,12
交流戦,KUROBEアクアフェアリーズ,10,7,7,2,2,28.6,0,0,0,-,0.29,0,-,9,0,0,0,2,5.6,10,1,0,10.0,2,0,0,2
チャレンジステージ,KUROBEアクアフェアリーズ,2,2,0,0,0,-,0,0,0,-,-,0,-,4,0,0,0,4,25.0,0,0,0,-,0,0,0,0
Ｖ・チャレンジリーグⅠ女子 2017/18,KUROBEアクアフェアリーズ,17,38,320,92,14,28.7,9,2,0,22.2,2.42,13,0.34,101,1,3,11,31,8.9,156,59,30,47.4,92,13,4,109
レギュラーラウンド,KUROBEアクアフェアリーズ,17,38,320,92,14,28.7,9,2,0,22.2,2.42,13,0.34,101,1,3,11,31,8.9,156,59,30,47.4,92,13,4,109
Ｖ・チャレンジリーグⅠ女子 2016/17,仙台ベルフィーユ,19,54,425,135,32,31.8,25,8,4,32.0,2.50,18,0.33,207,1,7,18,90,14.1,318,187,0,58.8,135,18,8,161
レギュラーラウンド,仙台ベルフィーユ,19,54,425,135,32,31.8,25,8,4,32.0,2.50,18,0.33,207,1,7,18,90,14.1,318,187,0,58.8,135,18,8,161
レギュラーシーズン通算,,77,162,1064,311,74,29.2,45,12,8,26.7,1.92,40,0.25,481,3,15,53,169,9.8,841,396,114,53.9,311,40,18,369
通算,,82,177,1151,344,77,29.9,45,12,8,26.7,1.94,41,0.23,537,4,19,58,191,10.5,944,439,135,53.7,344,41,23,408
