試合日,年月,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2010-11-27,2010-11,11,埼玉上尾メディックス,1,,ティファニードッズ,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-11-27,2010-11,11,埼玉上尾メディックス,3,,南早希,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2010-11-27,2010-11,11,埼玉上尾メディックス,4,,庄司夕起,3,■,■,■,,,7,4,0,0.5714285714285714,0.5714285714285714,1.33,0,0,0,-,0,-,11,0,0,9,20.5,0,0,0,-
2010-11-27,2010-11,11,埼玉上尾メディックス,5,,服部安佑香,3,□,□,□,,,6,3,0,0.5,0.5,1.00,0,0,0,-,0,-,4,0,0,1,6.2,1,1,0,100.0
2010-11-27,2010-11,11,埼玉上尾メディックス,7,L,滝沢ななえ,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-11-27,2010-11,11,埼玉上尾メディックス,9,,澤畠文子,3,■,■,■,,,30,16,2,0.5333333333333333,0.4666666666666667,5.33,6,3,0,50.0,0,-,13,2,0,6,23.8,12,8,0,66.7
2010-11-27,2010-11,11,埼玉上尾メディックス,10,,山本友里恵,3,■,■,■,,,11,6,0,0.5454545454545454,0.5454545454545454,2.00,0,0,0,-,0,-,7,0,1,1,3.6,0,0,0,-
2010-11-27,2010-11,11,埼玉上尾メディックス,12,,安藤典莉子,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-11-27,2010-11,11,埼玉上尾メディックス,13,,土田望未,3,■,■,■,,,1,1,0,1.0,1.0,0.33,0,0,0,-,1,0.33,17,3,2,6,22.9,0,0,0,-
2010-11-27,2010-11,11,埼玉上尾メディックス,15,,細川麻美,3,■,■,■,,,12,7,0,0.5833333333333334,0.5833333333333334,2.33,0,0,0,-,2,0.67,6,1,2,1,20.8,3,2,0,66.7
2010-11-27,2010-11,11,埼玉上尾メディックス,16,,皆本明日香,3,■,■,■,,,24,11,0,0.4583333333333333,0.4583333333333333,3.67,2,1,0,50.0,4,1.33,14,0,1,9,16.1,8,5,0,62.5
2010-11-27,2010-11,11,埼玉上尾メディックス,17,,田辺由美,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-11-27,2010-11,11,埼玉上尾メディックス,18,,原田砂代子,2,,□,□,,,1,1,0,1.0,1.0,0.50,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-11-27,2010-11,11,埼玉上尾メディックス,19,L,関舞,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,8,0,57.1
2010-11-27,2010-11,11,大野石油広島オイラーズ,1,,桑実磨里,3,■,■,■,,,0,0,0,,,-,0,0,0,-,0,-,8,0,0,1,3.1,1,0,0,0.0
2010-11-27,2010-11,11,大野石油広島オイラーズ,2,,小受加代子,3,■,■,■,,,14,5,2,0.35714285714285715,0.21428571428571427,1.67,0,0,0,-,0,-,3,0,1,2,16.7,14,6,0,42.9
2010-11-27,2010-11,11,大野石油広島オイラーズ,3,L,福田有里,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,6,0,40.0
2010-11-27,2010-11,11,大野石油広島オイラーズ,5,,瀧本鈴絵,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-11-27,2010-11,11,大野石油広島オイラーズ,6,,松井友美,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2010-11-27,2010-11,11,大野石油広島オイラーズ,7,,小原真美,3,■,■,■,,,13,5,0,0.38461538461538464,0.38461538461538464,1.67,0,0,0,-,1,0.33,8,0,2,2,6.2,0,0,0,-
2010-11-27,2010-11,11,大野石油広島オイラーズ,8,,春川裕美,3,■,■,■,,,13,5,0,0.38461538461538464,0.38461538461538464,1.67,0,0,0,-,0,-,7,0,3,3,10.7,0,0,0,-
2010-11-27,2010-11,11,大野石油広島オイラーズ,9,,森田亜衣,3,■,■,■,,,19,8,0,0.42105263157894735,0.42105263157894735,2.67,0,0,0,-,0,-,4,0,0,1,6.2,15,7,0,46.7
2010-11-27,2010-11,11,大野石油広島オイラーズ,10,,芦澤美加,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-11-27,2010-11,11,大野石油広島オイラーズ,11,,阪根範栄,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,4,0,1,2,12.5,7,3,0,42.9
2010-11-27,2010-11,11,大野石油広島オイラーズ,12,,矢山美沙,3,■,■,■,,,38,9,3,0.2368421052631579,0.15789473684210525,3.00,9,2,1,22.2,0,-,6,0,0,2,8.3,0,0,0,-
2010-11-27,2010-11,11,大野石油広島オイラーズ,13,L,平川実愛,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
