名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
カダンビブラクシデイス,日立リヴァーレ,17,35,171,86,8,50.3,45.6,1,0,0,34,126,5,12,44,0,0,0,0.0,2.5,1.0,10.3
ティファニードッズ,埼玉上尾メディックス,1,12,31,19,1,61.3,58.1,4,3,0,2,20,1,2,7,0,0,0,75.0,1.6,0.2,11.2
上村麻衣,四国Eighty8Queen,10,66,186,66,10,35.5,30.1,0,0,0,28,241,5,15,85,9,3,0,,1.0,0.4,9.3
中島美菜子,四国Eighty8Queen,5,56,34,15,1,44.1,41.2,0,0,0,12,132,5,7,50,0,0,0,,0.3,0.2,11.9
中村かおり,日立リヴァーレ,11,62,0,0,0,,,0,0,0,0,0,0,0,0,294,232,0,,0.0,0.0,
中田明香,大野石油広島オイラーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
中野清香,三洋電機レッドソア,8,73,993,340,37,34.2,30.5,233,90,15,22,275,18,13,84,12,9,0,38.6,4.7,0.3,13.0
丸山祐希,柏エンゼルクロス,11,68,12,2,0,16.7,16.7,0,0,0,1,218,3,5,65,2,0,0,,0.0,0.0,8.3
丸山香菜子,フォレストリーヴズ熊本,8,58,479,156,25,32.6,27.3,1,0,0,5,180,4,13,46,411,278,0,0.0,2.7,0.1,6.8
久保みゆき,フォレストリーヴズ熊本,15,66,0,0,0,,,0,0,0,0,0,0,0,0,388,243,0,,0.0,0.0,
乾鈴惠,四国Eighty8Queen,12,66,328,128,18,39.0,33.5,0,0,0,15,231,11,17,75,462,312,0,,1.9,0.2,11.0
井西彩乃,KUROBEアクアフェアリーズ,6,67,584,220,39,37.7,31.0,47,12,6,32,241,11,17,56,347,255,0,25.5,3.3,0.5,8.6
仁里奈那美,四国Eighty8Queen,7,43,0,0,0,,,0,0,0,0,66,3,5,17,37,25,0,,0.0,0.0,9.1
仲本知佳,柏エンゼルクロス,15,68,234,80,11,34.2,29.5,0,0,0,29,227,5,10,57,1,0,0,,1.2,0.4,7.4
伊藤智美,KUROBEアクアフェアリーズ,1,60,245,95,12,38.8,33.9,15,3,4,9,134,5,6,45,104,55,0,20.0,1.6,0.2,11.0
伊藤睦美,KUROBEアクアフェアリーズ,3,41,219,79,13,36.1,30.1,13,4,1,10,97,8,5,20,20,7,0,30.8,1.9,0.2,12.1
伊藤綾子,柏エンゼルクロス,6,68,375,146,12,38.9,35.7,0,0,0,21,157,5,9,40,0,0,0,,2.1,0.3,8.1
