名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エバンドログエッラ,01,サントリーサンバーズ,7,25,262,116,27,44.3,34.0,117,50,16,11,92,5,23,33,1,0,0,132,42.7,4.6,0.4,8.2,0.0
エバンドログエッラ,02,サントリーサンバーズ,7,8,78,40,8,51.3,41.0,38,22,4,3,34,4,5,9,0,0,0,47,57.9,5.0,0.4,14.7,
エバンドログエッラ,10,サントリーサンバーズ,7,4,48,24,6,50.0,37.5,30,17,3,0,17,0,4,6,0,0,0,24,56.7,6.0,0.0,2.9,
エバンドログエッラ,11,サントリーサンバーズ,7,10,121,55,11,45.5,36.4,60,25,9,4,36,3,9,16,0,0,0,62,41.7,5.5,0.4,13.2,
エバンドログエッラ,12,サントリーサンバーズ,7,12,126,53,14,42.1,31.0,58,21,8,4,43,3,8,18,0,0,0,60,36.2,4.4,0.3,12.8,
オムルチェンイゴール,01,豊田合成トレフェルサ,15,29,377,182,21,48.3,42.7,177,85,15,4,130,17,25,58,1,1,0,203,48.0,6.3,0.1,19.4,100.0
オムルチェンイゴール,02,豊田合成トレフェルサ,15,6,57,30,3,52.6,47.4,25,11,3,5,20,0,5,5,1,1,0,35,44.0,5.0,0.8,0.0,100.0
オムルチェンイゴール,11,豊田合成トレフェルサ,15,32,398,201,25,50.5,44.2,159,81,11,14,139,21,25,63,2,1,0,236,50.9,6.3,0.4,21.9,50.0
オムルチェンイゴール,12,豊田合成トレフェルサ,15,14,181,94,11,51.9,45.9,79,45,4,6,73,13,12,34,3,1,0,113,57.0,6.7,0.4,25.3,33.3
カジースキマテイ,01,ジェイテクトSTINGS,1,27,256,114,12,44.5,39.8,44,21,3,14,111,10,19,50,178,110,0,138,47.7,4.2,0.5,16.0,61.8
カジースキマテイ,02,ジェイテクトSTINGS,1,6,68,36,3,52.9,48.5,13,9,1,5,28,4,4,20,41,24,0,45,69.2,6.0,0.8,28.6,58.5
カジースキマテイ,10,ジェイテクトSTINGS,1,3,26,14,0,53.8,53.8,6,2,0,2,10,0,4,4,20,16,0,16,33.3,4.7,0.7,0.0,80.0
カジースキマテイ,11,ジェイテクトSTINGS,1,30,274,130,20,47.4,40.1,35,17,4,6,105,11,21,45,173,87,0,147,48.6,4.3,0.2,16.2,50.3
カジースキマテイ,12,ジェイテクトSTINGS,1,15,145,71,8,49.0,43.4,32,24,3,6,57,7,10,27,90,60,0,84,75.0,4.7,0.4,19.7,66.7
ジョルジェフニコラ,01,東レアローズ,14,26,321,165,18,51.4,45.8,122,64,14,5,105,8,15,60,7,3,0,178,52.5,6.3,0.2,18.3,42.9
ジョルジェフニコラ,02,東レアローズ,14,8,76,31,4,40.8,35.5,41,14,3,1,32,2,3,16,3,0,0,34,34.1,3.9,0.1,16.4,0.0
ジョルジェフニコラ,11,東レアローズ,14,37,403,193,33,47.9,39.7,167,78,10,3,142,14,31,63,4,2,0,210,46.7,5.2,0.1,15.5,50.0
ジョルジェフニコラ,12,東レアローズ,14,15,238,109,14,45.8,39.9,123,54,8,1,63,4,13,30,5,1,0,114,43.9,7.3,0.1,13.1,20.0
セルジオフェリックス,01,FC東京,17,28,296,133,32,44.9,34.1,72,39,5,11,88,5,23,38,133,46,0,149,54.2,4.8,0.4,9.9,34.6
セルジオフェリックス,02,FC東京,17,7,77,36,7,46.8,37.7,21,10,0,0,31,0,7,8,73,46,0,36,47.6,5.1,0.0,0.8,63.0
セルジオフェリックス,10,FC東京,17,3,16,1,3,6.2,-12.5,0,0,0,0,4,0,0,1,11,3,0,1,,0.3,0.0,6.2,27.3
セルジオフェリックス,11,FC東京,17,30,300,171,22,57.0,49.7,90,54,8,7,106,7,28,35,138,79,0,185,60.0,5.7,0.2,8.3,57.2
セルジオフェリックス,12,FC東京,17,12,117,61,15,52.1,39.3,38,22,5,2,42,3,12,12,80,29,0,66,57.9,5.1,0.2,7.1,36.2
