名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三芳健斗,2008-01,富士通カワサキレッドスピリッツ,6,3,5,8,3,4,37.5,-12.5,0,0,0,1,6,0,1,1,0,0,0,,0.6,0.2,0.0,
三芳健斗,2008-02,富士通カワサキレッドスピリッツ,6,6,4,0,0,0,,,0,0,0,0,4,0,0,2,0,0,0,,0.0,0.0,12.5,
上場雄也,2008-01,東京ヴェルディ,20,6,22,189,96,18,50.8,41.3,62,34,8,19,96,5,20,27,0,0,0,54.8,4.36,0.86,7.0,
上場雄也,2008-02,東京ヴェルディ,20,12,23,195,79,23,40.5,28.7,56,19,10,22,82,4,15,17,0,0,0,33.9,3.43,0.96,5.5,
上場雄也,2008-03,東京ヴェルディ,20,18,21,177,80,19,45.2,34.5,41,22,6,15,77,7,11,18,0,0,0,53.7,3.81,0.71,11.4,
上西園宏和,2008-03,警視庁フォートファイターズ,18,9,4,0,0,0,,,0,0,0,0,6,0,3,0,0,0,0,,0.0,0.0,-12.5,
上道映人,2008-01,トヨタ自動車サンホークス,13,6,21,260,106,43,40.8,24.2,73,27,18,7,68,6,18,20,17,11,0,37.0,5.05,0.33,9.6,64.7
上道映人,2008-02,トヨタ自動車サンホークス,13,12,19,230,72,50,31.3,9.6,63,16,18,3,65,3,25,21,19,13,0,25.4,3.79,0.16,3.1,68.4
上道映人,2008-03,トヨタ自動車サンホークス,13,18,19,164,61,30,37.2,18.9,24,8,3,3,73,8,18,23,33,18,0,33.3,3.21,0.16,12.7,54.5
上野和也,2008-01,大同特殊鋼レッドスター,12,6,22,123,61,15,49.6,37.4,9,3,3,5,49,3,3,15,0,0,0,33.3,2.77,0.23,12.2,
上野和也,2008-02,大同特殊鋼レッドスター,12,8,15,99,39,7,39.4,32.3,4,1,1,5,41,3,2,10,0,0,0,25.0,2.6,0.33,12.2,
下田健一,2008-01,警視庁フォートファイターズ,11,6,22,229,112,21,48.9,39.7,61,26,12,6,97,4,13,27,2,2,0,42.6,5.09,0.27,7.7,100.0
下田健一,2008-02,警視庁フォートファイターズ,11,12,18,195,76,17,39.0,30.3,71,32,5,3,69,2,9,18,1,1,0,45.1,4.22,0.17,6.2,100.0
下田健一,2008-03,警視庁フォートファイターズ,11,18,22,181,81,18,44.8,34.8,58,24,9,2,79,0,11,29,5,2,0,41.4,3.68,0.09,5.7,40.0
中川一,2008-01,兵庫デルフィーノ,1,5,19,100,51,7,51.0,44.0,5,0,1,8,51,0,4,11,3,1,0,0.0,2.68,0.42,3.4,33.3
中川一,2008-02,兵庫デルフィーノ,1,8,13,62,28,3,45.2,40.3,0,0,0,10,35,0,0,7,3,3,0,,2.15,0.77,5.0,100.0
中川一,2008-03,兵庫デルフィーノ,1,18,23,109,52,11,47.7,37.6,7,3,2,14,64,0,7,13,4,3,0,42.9,2.26,0.61,2.3,75.0
中村成輔,2008-01,兵庫デルフィーノ,21,6,22,14,6,0,42.9,42.9,0,0,0,1,74,1,0,23,1,0,0,,0.27,0.05,9.1,0.0
中村成輔,2008-02,兵庫デルフィーノ,21,12,18,6,3,0,50.0,50.0,1,1,0,2,45,1,3,10,1,0,0,100.0,0.17,0.11,6.1,0.0
中村成輔,2008-03,兵庫デルフィーノ,21,18,22,12,7,0,58.3,58.3,0,0,0,1,75,2,1,22,2,0,0,,0.32,0.05,9.7,0.0
中村有壮,2008-01,富士通カワサキレッドスピリッツ,13,2,8,0,0,0,,,0,0,0,0,0,0,0,0,43,28,0,,0.0,0.0,,65.1
中村有壮,2008-02,富士通カワサキレッドスピリッツ,13,2,4,0,0,0,,,0,0,0,0,5,0,1,1,0,0,0,,0.0,0.0,0.0,
中村有壮,2008-03,富士通カワサキレッドスピリッツ,13,3,3,0,0,0,,,0,0,0,0,0,0,0,0,28,21,0,,0.0,0.0,,75.0
中田亮二,2008-01,近畿クラブスフィーダ,10,6,13,7,2,1,28.6,14.3,0,0,0,0,25,0,2,7,4,1,0,,0.15,0.0,5.0,25.0
中田亮二,2008-03,近畿クラブスフィーダ,10,18,18,3,2,0,66.7,66.7,0,0,0,0,12,0,1,3,17,9,0,,0.11,0.0,4.2,52.9
中谷宏大,2008-01,FC東京,15,6,20,0,0,0,,,0,0,0,0,0,0,0,0,131,87,0,,0.0,0.0,,66.4
中谷宏大,2008-02,FC東京,15,12,18,0,0,0,,,0,0,0,0,0,0,0,0,104,75,0,,0.0,0.0,,72.1
中谷宏大,2008-03,FC東京,15,12,12,0,0,0,,,0,0,0,0,0,0,0,0,73,42,0,,0.0,0.0,,57.5
中道淑人,2008-01,大同特殊鋼レッドスター,17,6,2,0,0,0,,,0,0,0,0,3,0,2,0,0,0,0,,0.0,0.0,-16.7,
中道淑人,2008-03,大同特殊鋼レッドスター,17,24,26,0,0,0,,,0,0,0,0,25,1,3,4,30,20,0,,0.0,0.0,5.0,66.7
丸山陽,2008-01,兵庫デルフィーノ,2,6,17,37,13,6,35.1,18.9,0,0,0,2,59,4,2,14,3,3,0,,0.76,0.12,11.9,100.0
丸山陽,2008-02,兵庫デルフィーノ,2,12,18,50,20,2,40.0,36.0,0,0,0,1,53,2,5,18,7,3,0,,1.11,0.06,9.9,42.9
丸山陽,2008-03,兵庫デルフィーノ,2,12,10,13,3,1,23.1,15.4,0,0,0,1,10,0,1,4,1,0,0,,0.3,0.1,7.5,0.0
亀田圭司,2008-02,大同特殊鋼レッドスター,13,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
亀田圭司,2008-03,大同特殊鋼レッドスター,13,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
井上圭,2008-02,FC東京,10,4,4,2,2,0,100.0,100.0,2,2,0,0,4,0,3,0,0,0,0,100.0,0.5,0.0,-18.8,
