名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
グルビッチウラジミル,2001-12,堺ブレイザーズ,23,24,7,46,22,5,47.8,37.0,10,3,2,1,34,0,3,3,27,23,0,23,30.0,3.14,0.14,0.0,85.2
グルビッチウラジミル,2002-01,堺ブレイザーズ,23,7,28,157,68,6,43.3,39.5,13,2,2,7,118,2,11,11,200,145,0,77,15.4,2.43,0.25,1.7,72.5
グルビッチウラジミル,2002-02,堺ブレイザーズ,23,12,24,139,66,8,47.5,41.7,15,5,3,10,94,4,14,20,219,173,0,80,33.3,2.75,0.42,5.9,79.0
グルビッチウラジミル,2002-03,堺ブレイザーズ,23,9,12,81,35,7,43.2,34.6,14,6,1,5,48,6,11,10,57,40,0,46,42.9,2.92,0.42,12.0,70.2
サベリエフイリア,2001-12,JTサンダーズ,21,60,20,153,77,7,50.3,45.8,33,18,1,5,95,9,18,34,84,58,0,91,54.5,3.85,0.25,13.7,69.0
サベリエフイリア,2002-01,JTサンダーズ,21,4,15,128,72,4,56.2,53.1,27,15,2,3,62,3,13,29,73,44,0,78,55.6,4.8,0.2,11.3,60.3
サベリエフイリア,2002-02,JTサンダーズ,21,14,30,282,148,16,52.5,46.8,53,30,6,7,131,12,23,61,122,93,0,167,56.6,4.93,0.23,16.4,76.2
サベリエフイリア,2002-03,JTサンダーズ,21,6,9,78,40,6,51.3,43.6,14,7,1,0,35,3,10,3,45,42,0,43,50.0,4.44,0.0,3.6,93.3
ジルソンベルナルド,2001-12,サントリーサンバーズ,16,36,14,173,85,17,49.1,39.3,54,24,8,14,55,6,18,17,0,0,0,105,44.4,6.07,1.0,10.5,
ジルソンベルナルド,2002-01,サントリーサンバーズ,16,6,21,241,133,24,55.2,45.2,102,52,15,7,80,7,24,21,3,1,0,147,51.0,6.33,0.33,7.8,33.3
