名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三浦拓也,東京ヴェルディ,10,66,98,35,4,35.7,31.6,1,0,0,4,89,5,22,14,432,172,120,0.0,0.5,0.1,3.4,53.7
上坂将輝,トヨタ自動車サンホークス,18,13,0,0,0,,,0,0,0,0,17,1,3,4,0,0,0,,0.0,0.0,7.4,
中川剛,富士通カワサキレッドスピリッツ,1,52,365,188,23,51.5,45.2,194,96,18,11,179,3,28,44,3,1,0,49.5,3.6,0.2,3.9,33.3
中村航太朗,警視庁フォートファイターズ,13,79,636,238,48,37.4,29.9,71,29,6,38,317,16,55,83,378,176,97,40.8,3.0,0.5,7.3,59.4
中村龍哉,東京ヴェルディ,20,25,78,23,13,29.5,12.8,1,0,0,12,63,4,5,14,1,0,0,0.0,0.9,0.5,9.9,0.0
中沢文也,長野GaRons,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中道元貴,警視庁フォートファイターズ,14,23,3,0,0,0.0,0.0,0,0,0,0,49,4,16,9,0,0,0,,0.0,0.0,4.6,
中野壮一朗,東京ヴェルディ,6,69,158,59,5,37.3,34.2,1,0,0,38,185,5,25,59,11,6,3,0.0,0.9,0.6,7.3,68.2
久保田雅人,大同特殊鋼レッドスター,3,81,220,87,14,39.5,33.2,3,0,1,12,114,10,16,19,443,222,102,0.0,1.1,0.1,9.4,61.6
二五田大輔,大同特殊鋼レッドスター,10,29,178,76,16,42.7,33.7,17,7,1,11,81,1,5,20,214,85,59,41.2,2.6,0.4,5.9,53.5
井上浩太,東京ヴェルディ,9,28,9,3,1,33.3,22.2,0,0,0,9,72,0,4,21,0,0,0,,0.1,0.3,5.9,
今田善仁,きんでんトリニティーブリッツ,4,3,0,0,0,,,0,0,0,0,4,0,1,2,0,0,0,,0.0,0.0,6.2,
伊澤啓生,大同特殊鋼レッドスター,1,68,508,232,30,45.7,39.8,103,56,9,29,258,20,48,47,111,38,26,54.4,3.4,0.4,7.7,45.9
伊藤裕之介,警視庁フォートファイターズ,2,92,28,11,0,39.3,39.3,1,0,0,31,414,8,13,90,4,0,1,0.0,0.1,0.3,6.6,12.5
佐藤匠,埼玉アザレア,5,34,73,41,5,56.2,49.3,0,0,0,19,111,2,10,26,5,4,0,,1.2,0.6,5.4,80.0
佐藤隼一,つくばユナイテッドSunGAIA,21,6,0,0,0,,,0,0,0,0,7,0,4,3,0,0,0,,0.0,0.0,-3.6,
倉田真,東京ヴェルディ,7,70,588,240,49,40.8,32.5,161,61,27,28,228,8,70,54,89,43,20,37.9,3.4,0.4,1.8,59.6
内園徹,きんでんトリニティーブリッツ,9,66,0,0,0,,,0,0,0,0,90,1,22,23,17,10,3,,0.0,0.0,1.4,67.6
内海聡太,つくばユナイテッドSunGAIA,19,37,81,38,8,46.9,37.0,3,3,0,5,45,3,6,8,88,23,19,100.0,1.0,0.1,7.8,36.9
冨永航一,埼玉アザレア,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
冷水亮,東京ヴェルディ,3,54,0,0,0,,,0,0,0,0,20,1,5,7,107,43,28,,0.0,0.0,7.5,53.3
前田将武,埼玉アザレア,18,39,6,3,2,50.0,16.7,0,0,0,0,62,1,20,9,0,0,0,,0.1,0.0,-2.8,
加藤克貴,埼玉アザレア,2,53,214,75,19,35.0,26.2,8,4,1,9,183,5,8,37,357,137,115,50.0,1.4,0.2,6.7,54.5
加藤啓,警視庁フォートファイターズ,4,37,92,34,14,37.0,21.7,0,0,0,28,96,1,11,19,4,2,2,,0.9,0.8,3.1,75.0
加藤大雄,富士通カワサキレッドスピリッツ,7,83,174,91,10,52.3,46.6,0,0,0,73,254,5,21,76,20,7,10,,1.1,0.9,7.4,60.0
勝本真太郎,つくばユナイテッドSunGAIA,14,61,326,137,25,42.0,34.4,77,28,14,10,115,4,12,40,0,0,0,36.4,2.2,0.2,9.6,
北崎文弥,東京ヴェルディ,8,27,95,46,11,48.4,36.8,2,1,0,11,58,2,8,12,2,0,1,50.0,1.7,0.4,5.2,25.0
北沢健,長野GaRons,16,17,2,1,0,50.0,50.0,0,0,0,1,20,0,2,4,1,0,0,,0.1,0.1,2.5,0.0
古田彰紀,警視庁フォートファイターズ,21,4,0,0,0,,,0,0,0,0,4,0,0,1,0,0,0,,0.0,0.0,6.2,
吉岡衛,トヨタ自動車サンホークス,16,86,856,421,72,49.2,40.8,146,68,19,25,364,21,61,102,7,3,1,46.6,4.9,0.3,8.6,50.0
和治裕太,きんでんトリニティーブリッツ,17,80,483,193,65,40.0,26.5,102,28,26,31,239,13,85,58,4,3,0,27.5,2.4,0.4,2.6,75.0
土井友登,つくばユナイテッドSunGAIA,12,41,0,0,0,,,0,0,0,1,76,2,6,7,1,0,0,,0.0,0.0,3.0,0.0
坂口舜,長野GaRons,10,83,153,70,17,45.8,34.6,4,0,0,29,222,3,13,41,3,0,0,0.0,0.8,0.3,4.5,0.0
坂本凱,トヨタ自動車サンホークス,15,19,13,2,2,15.4,0.0,0,0,0,1,24,0,2,9,14,3,5,,0.1,0.1,7.3,39.3
塩大地,きんでんトリニティーブリッツ,6,22,70,33,5,47.1,40.0,2,0,1,16,57,1,1,9,11,4,3,0.0,1.5,0.7,5.3,50.0
増田純平,東京ヴェルディ,24,75,74,25,6,33.8,25.7,3,2,0,4,117,3,6,33,193,90,50,66.7,0.3,0.1,8.3,59.6
夏目真吾,長野GaRons,5,39,0,0,0,,,0,0,0,0,3,0,1,0,93,46,23,,0.0,0.0,-8.3,61.8
大下将,東京ヴェルディ,18,33,62,22,5,35.5,27.4,0,0,0,8,65,1,6,19,1,1,0,,0.7,0.2,6.5,100.0
大賀惠介,きんでんトリニティーブリッツ,5,47,0,0,0,,,0,0,0,0,0,0,0,0,180,92,52,,0.0,0.0,,65.6
大野隆一,警視庁フォートファイターズ,5,74,171,83,12,48.5,41.5,1,0,0,39,193,8,10,34,13,9,3,0.0,1.1,0.5,7.3,80.8
