試合日,年月,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2018-11-10,2018-11,11,警視庁フォートファイターズ,1,,小川貴大,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2018-11-10,2018-11,11,警視庁フォートファイターズ,2,,伊藤裕之介,4,■,■,■,■,,1,0,0,0.0,0.0,-,0,0,0,-,1,0.25,26,0,0,4,3.8,1,0,0,0.0
2018-11-10,2018-11,11,警視庁フォートファイターズ,3,,水野貴文,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2018-11-10,2018-11,11,警視庁フォートファイターズ,4,,加藤啓,2,■,■,,,,11,2,0,0.18181818181818185,0.18181818181818185,1.00,0,0,0,-,0,-,5,0,1,0,-5.0,0,0,0,-
2018-11-10,2018-11,11,警視庁フォートファイターズ,5,,大野隆一,2,,,■,■,,5,4,0,0.8,0.8,2.00,0,0,0,-,1,0.50,7,0,1,2,3.6,0,0,0,-
2018-11-10,2018-11,11,警視庁フォートファイターズ,6,,松本幸博,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2018-11-10,2018-11,11,警視庁フォートファイターズ,10,,豊田将人,2,,□,,□,,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,-8.3,0,0,0,-
2018-11-10,2018-11,11,警視庁フォートファイターズ,12,,小川功太,4,■,■,■,■,,34,14,2,0.4117647058823529,0.35294117647058826,3.50,4,3,0,75.0,2,0.50,12,0,2,5,6.2,14,7,2,57.1
2018-11-10,2018-11,11,警視庁フォートファイターズ,13,,中村航太朗,4,■,■,■,■,,28,8,2,0.2857142857142857,0.21428571428571427,2.00,3,2,0,66.7,5,1.25,17,0,3,2,-1.5,11,3,2,36.4
2018-11-10,2018-11,11,警視庁フォートファイターズ,14,,中道元貴,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2018-11-10,2018-11,11,警視庁フォートファイターズ,15,,河西敦司,4,■,■,■,■,,23,13,2,0.5652173913043478,0.4782608695652174,3.25,4,3,0,75.0,2,0.50,12,0,4,2,-4.2,0,0,0,-
2018-11-10,2018-11,11,警視庁フォートファイターズ,19,L,神谷昴紀,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,43,18,10,53.5
2018-11-10,2018-11,11,警視庁フォートファイターズ,21,L,古田彰紀,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2018-11-10,2018-11,11,警視庁フォートファイターズ,22,,阿部翼,4,■,■,■,■,,9,7,1,0.7777777777777778,0.6666666666666666,1.75,0,0,0,-,1,0.25,11,1,3,2,6.8,0,0,0,-
