名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エリザンジェラオリヴェイラ,2010-04,久光製薬スプリングス,11,4,5,71,22,4,31.0,25.4,26,7,2,4,14,1,1,7,0,0,0,27,26.9,4.4,0.8,17.9,
キムヨンギョン,2010-04,JTマーヴェラス,10,4,3,53,22,4,41.5,34.0,13,4,1,0,11,1,1,4,33,20,0,23,30.8,7.33,0.0,15.9,60.6
スタエレンスシャイーヌ,2010-04,デンソーエアリービーズ,34,4,5,71,29,6,40.8,32.4,11,8,0,2,16,2,1,3,18,8,0,33,72.7,5.8,0.4,15.6,44.4
バルボッサシンシア,2010-04,東レアローズ,8,4,2,4,2,1,50.0,25.0,2,1,1,0,3,0,0,1,3,1,0,2,50.0,1.0,0.0,8.3,33.3
中道瞳,2010-04,東レアローズ,6,4,3,1,1,0,100.0,100.0,0,0,0,0,15,0,1,5,0,0,0,1,,0.33,0.0,6.7,
久保雅,2010-04,JTマーヴェラス,4,4,3,5,2,0,40.0,40.0,0,0,0,1,4,0,1,2,0,0,0,3,,0.67,0.33,6.2,
井上奈々朱,2010-04,デンソーエアリービーズ,18,4,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
井上琴絵,2010-04,JTマーヴェラス,13,4,3,0,0,0,,,0,0,0,0,0,0,0,0,11,7,0,0,,0.0,0.0,,63.6
井上香織,2010-04,デンソーエアリービーズ,8,4,5,17,8,0,47.1,47.1,0,0,0,4,12,0,3,1,0,0,0,12,,1.6,0.8,-4.2,
位田愛,2010-04,JTマーヴェラス,5,4,3,24,8,0,33.3,33.3,1,0,0,1,13,1,0,7,16,8,0,10,0.0,2.67,0.33,21.2,50.0
佐藤美耶,2010-04,東レアローズ,11,4,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
佐野優子,2010-04,久光製薬スプリングス,10,4,5,0,0,0,,,0,0,0,0,0,0,0,0,23,20,0,0,,0.0,0.0,,87.0
先野久美子,2010-04,久光製薬スプリングス,4,4,5,15,5,0,33.3,33.3,0,0,0,0,9,0,0,1,0,0,0,5,,1.0,0.0,2.8,
千葉智枝美,2010-04,JTマーヴェラス,19,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
古藤千鶴,2010-04,久光製薬スプリングス,2,4,4,2,1,0,50.0,50.0,0,0,0,1,3,1,0,2,0,0,0,3,,0.25,0.25,50.0,
和田麻里江,2010-04,東レアローズ,13,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
坂下麻衣子,2010-04,JTマーヴェラス,1,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大山未希,2010-04,東レアローズ,7,4,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
大槻真弥,2010-04,デンソーエアリービーズ,14,4,1,0,0,0,,,0,0,0,0,0,0,0,0,5,1,0,0,,0.0,0.0,,20.0
奥田恭子,2010-04,デンソーエアリービーズ,15,4,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
宮田由佳里,2010-04,東レアローズ,18,4,3,9,5,1,55.6,44.4,0,0,0,1,8,0,1,2,0,0,0,6,,1.67,0.33,3.1,
小酒翔子,2010-04,JTマーヴェラス,11,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山本愛,2010-04,JTマーヴェラス,3,4,3,13,5,0,38.5,38.5,0,0,0,1,10,1,3,1,0,0,0,7,,1.67,0.33,5.0,
岩坂名奈,2010-04,久光製薬スプリングス,17,4,5,2,1,0,50.0,50.0,0,0,0,0,19,4,4,7,0,0,0,5,,0.2,0.0,25.0,
峯村沙紀,2010-04,東レアローズ,20,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
川原麻実,2010-04,JTマーヴェラス,15,4,3,6,4,0,66.7,66.7,0,0,0,1,5,0,0,0,13,5,0,5,,1.33,0.33,0.0,38.5
平井香菜子,2010-04,久光製薬スプリングス,9,4,5,18,7,0,38.9,38.9,0,0,0,8,14,0,2,6,1,1,0,15,,1.4,1.6,7.1,100.0
新鍋理沙,2010-04,久光製薬スプリングス,18,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
木村沙織,2010-04,東レアローズ,10,4,3,49,22,2,44.9,40.8,3,0,1,2,12,0,0,6,30,18,0,24,0.0,7.33,0.67,12.5,60.0
櫻井由香,2010-04,デンソーエアリービーズ,9,4,5,0,0,0,,,0,0,0,0,0,0,0,0,16,9,0,0,,0.0,0.0,,56.2
水田祐未,2010-04,久光製薬スプリングス,13,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
河合由貴,2010-04,JTマーヴェラス,18,4,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
泉岡未来,2010-04,デンソーエアリービーズ,19,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
浅津ゆうこ,2010-04,久光製薬スプリングス,16,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
濱口華菜里,2010-04,東レアローズ,5,4,3,0,0,0,,,0,0,0,0,0,0,0,0,6,4,0,0,,0.0,0.0,,66.7
熊谷桜子,2010-04,デンソーエアリービーズ,5,4,5,3,2,0,66.7,66.7,0,0,0,0,15,0,1,4,0,0,0,2,,0.4,0.0,5.0,
片下恭子,2010-04,デンソーエアリービーズ,16,4,3,0,0,0,,,0,0,0,0,0,0,0,0,4,2,0,0,,0.0,0.0,,50.0
狩野美雪,2010-04,久光製薬スプリングス,7,4,2,3,0,0,0.0,0.0,0,0,0,0,1,0,0,0,4,1,0,0,,0.0,0.0,0.0,25.0
矢野美子,2010-04,デンソーエアリービーズ,2,4,5,13,3,1,23.1,15.4,0,0,0,1,18,0,1,9,0,0,0,4,,0.6,0.2,11.1,
石井美樹,2010-04,久光製薬スプリングス,1,4,5,42,14,5,33.3,21.4,0,0,0,0,17,0,1,9,43,26,0,14,,2.8,0.0,11.8,60.5
石井里沙,2010-04,デンソーエアリービーズ,7,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
石川友紀,2010-04,JTマーヴェラス,9,4,2,4,1,1,25.0,0.0,0,0,0,0,3,0,0,0,0,0,0,1,,0.5,0.0,0.0,
石田瑞穂,2010-04,久光製薬スプリングス,22,4,5,45,10,5,22.2,11.1,5,1,1,3,15,1,2,8,24,14,0,14,20.0,2.0,0.6,16.7,58.3
竹下佳江,2010-04,JTマーヴェラス,7,4,3,2,1,0,50.0,50.0,1,0,0,0,11,0,0,6,0,0,0,1,0.0,0.33,0.0,13.6,
筒井視穂子,2010-04,久光製薬スプリングス,12,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
細田絵理,2010-04,デンソーエアリービーズ,4,4,5,60,16,6,26.7,16.7,0,0,0,1,23,2,2,7,35,16,0,19,,3.2,0.2,14.1,45.7
芝田安希,2010-04,東レアローズ,1,4,3,8,1,0,12.5,12.5,1,0,0,0,9,1,0,5,13,5,0,2,0.0,0.33,0.0,25.0,38.5
荒木絵里香,2010-04,東レアローズ,4,4,3,18,12,0,66.7,66.7,0,0,0,1,13,0,0,7,0,0,0,13,,4.0,0.33,13.5,
西脇万里子,2010-04,東レアローズ,2,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
谷口雅美,2010-04,JTマーヴェラス,2,4,3,7,4,0,57.1,57.1,4,3,0,1,7,1,1,4,1,1,0,6,75.0,1.33,0.33,25.0,100.0
迫田さおり,2010-04,東レアローズ,14,4,3,37,17,0,45.9,45.9,3,1,0,0,11,0,1,3,0,0,0,17,33.3,5.67,0.0,4.5,
鈴木裕子,2010-04,デンソーエアリービーズ,20,4,5,30,8,2,26.7,20.0,0,0,0,2,19,1,2,4,22,12,0,11,,1.6,0.4,7.9,54.5
高木理江,2010-04,JTマーヴェラス,8,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
高田ありさ,2010-04,東レアローズ,12,4,3,0,0,0,,,0,0,0,0,5,0,0,3,5,2,0,0,,0.0,0.0,15.0,40.0
鶴田桂子,2010-04,久光製薬スプリングス,3,4,5,0,0,0,,,0,0,0,0,19,1,0,5,1,1,0,1,,0.0,0.0,11.8,100.0
黒羽桂子,2010-04,デンソーエアリービーズ,3,4,2,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
