名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エリザンジェラオリヴェイラ,久光製薬スプリングス,11,67,33,20,100,1261,505,103,40.0,31.9,520,211,54,46,318,21,70,80,1,0,0,572,40.6,5.05,0.46,7.4,0.0
キムヨンギョン,JTマーヴェラス,10,82,20,26,102,1322,630,85,47.7,41.2,225,98,21,48,384,18,58,107,661,387,0,696,43.6,6.18,0.47,7.9,58.5
コロンボレナタ,トヨタ車体クインシーズ,17,26,72,7,98,1138,402,76,35.3,28.6,164,53,13,33,273,8,42,87,3,1,0,443,32.3,4.1,0.34,7.1,33.3
スタエレンスシャイーヌ,デンソーエアリービーズ,34,57,43,15,95,1047,424,84,40.5,32.5,104,44,12,24,327,18,40,129,217,99,0,466,42.3,4.46,0.25,12.3,45.6
バルボッサシンシア,東レアローズ,8,72,36,21,82,543,207,28,38.1,33.0,101,40,13,20,216,8,17,80,123,54,0,235,39.6,2.52,0.24,11.0,43.9
フォフィーニャアナパウラ,NECレッドロケッツ,5,49,64,10,113,1245,412,62,33.1,28.1,126,30,12,36,417,32,33,135,746,373,0,480,23.8,3.65,0.32,13.8,50.0
中道瞳,東レアローズ,6,67,33,20,89,26,14,1,53.8,50.0,1,1,0,7,328,15,17,102,1,0,0,36,100.0,0.16,0.08,11.1,0.0
久保雅,JTマーヴェラス,4,52,16,16,16,23,8,1,34.8,30.4,0,0,0,6,29,4,3,11,0,0,0,18,,0.5,0.38,20.7,
井上奈々朱,デンソーエアリービーズ,18,45,36,12,44,13,5,2,38.5,23.1,0,0,0,4,13,1,2,8,10,5,0,10,,0.11,0.09,19.2,50.0
井上琴絵,JTマーヴェラス,13,82,20,26,102,0,0,0,,,0,0,0,0,0,0,0,0,360,251,0,0,,0.0,0.0,,69.7
井上香織,デンソーエアリービーズ,8,57,46,15,103,534,225,15,42.1,39.3,0,0,0,87,342,10,23,145,10,6,0,322,,2.18,0.84,11.8,60.0
井野亜季子,NECレッドロケッツ,10,49,64,10,113,0,0,0,,,0,0,0,0,0,0,0,0,468,335,0,0,,0.0,0.0,,71.6
今野加奈子,パイオニアレッドウィングス,8,22,80,3,24,176,53,12,30.1,23.3,32,9,3,1,46,2,2,23,14,4,0,56,28.1,2.21,0.04,15.8,28.6
位田愛,JTマーヴェラス,5,82,20,26,99,722,257,19,35.6,33.0,1,0,0,35,321,9,13,122,614,365,0,301,0.0,2.6,0.35,11.3,59.4
佐々木みき,パイオニアレッドウィングス,0,22,77,3,98,995,268,43,26.9,22.6,123,34,11,30,273,8,11,70,368,189,0,306,27.6,2.73,0.31,8.3,51.4
佐藤美耶,東レアローズ,11,69,36,20,15,9,1,3,11.1,-22.2,0,0,0,1,16,2,6,1,0,0,0,4,,0.07,0.07,4.7,
佐野優子,久光製薬スプリングス,10,67,33,20,100,0,0,0,,,0,0,0,0,0,0,0,0,364,252,0,0,,0.0,0.0,,69.2
先野久美子,久光製薬スプリングス,4,64,31,19,94,315,142,9,45.1,42.2,0,0,0,26,314,10,17,103,8,4,0,178,,1.51,0.28,10.0,50.0
八幡美樹,NECレッドロケッツ,20,45,58,10,36,284,81,21,28.5,21.1,11,3,2,0,81,4,8,23,144,78,0,85,27.3,2.25,0.0,9.6,54.2
八田奈都己,トヨタ車体クインシーズ,11,26,72,7,64,0,0,0,,,0,0,0,0,0,0,0,0,260,154,0,0,,0.0,0.0,,59.2
内田暁子,NECレッドロケッツ,9,49,64,10,83,536,165,35,30.8,24.3,31,10,2,8,228,5,24,68,431,234,0,178,32.3,1.99,0.1,7.0,54.3
内藤香菜子,NECレッドロケッツ,3,49,64,10,97,459,165,23,35.9,30.9,1,1,0,44,278,6,14,90,13,7,0,215,100.0,1.7,0.45,9.0,53.8
冨永こよみ,パイオニアレッドウィングス,24,22,80,3,91,97,37,6,38.1,32.0,0,0,0,20,246,13,26,90,6,2,0,70,,0.41,0.22,11.8,33.3
前田見奈子,トヨタ車体クインシーズ,7,22,56,6,11,18,4,3,22.2,5.6,0,0,0,3,17,0,1,3,0,0,0,7,,0.36,0.27,2.9,
北村みどり,岡山シーガルズ,11,9,16,2,9,0,0,0,,,0,0,0,0,13,1,1,5,13,7,0,1,,0.0,0.0,15.4,53.8
千葉智枝美,JTマーヴェラス,19,16,11,4,10,6,1,0,16.7,16.7,0,0,0,0,12,0,1,7,12,8,0,1,,0.1,0.0,12.5,66.7
卜部里菜,岡山シーガルズ,22,24,37,6,28,33,8,5,24.2,9.1,0,0,0,4,50,3,2,8,67,30,0,15,,0.29,0.14,9.0,44.8
古藤千鶴,久光製薬スプリングス,2,67,33,20,51,13,8,0,61.5,61.5,0,0,0,10,81,6,8,30,0,0,0,24,,0.16,0.2,14.2,
吉田みなみ,岡山シーガルズ,1,28,42,7,34,0,0,0,,,0,0,0,0,38,1,4,13,77,44,0,1,,0.0,0.0,8.6,57.1
吉田真未,パイオニアレッドウィングス,20,22,80,3,102,0,0,0,,,0,0,0,0,0,0,0,0,839,565,0,0,,0.0,0.0,,67.3
和田麻里江,東レアローズ,13,72,36,21,70,185,67,7,36.2,32.4,0,0,0,20,179,8,11,64,4,1,0,95,,0.96,0.29,11.9,25.0
坂下麻衣子,JTマーヴェラス,1,67,15,21,28,100,31,3,31.0,28.0,22,8,0,5,26,2,5,14,1,1,0,38,36.4,1.11,0.18,16.3,100.0
堀口夏実,岡山シーガルズ,6,3,1,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
堀崎智恵美,トヨタ車体クインシーズ,15,26,72,7,82,155,55,10,35.5,29.0,0,0,0,11,123,3,8,43,356,229,0,69,,0.67,0.13,9.6,64.3
堀田理恵,岡山シーガルズ,55,7,14,2,7,0,0,0,,,0,0,0,0,4,0,0,1,18,12,0,0,,0.0,0.0,6.2,66.7
多治見麻子,パイオニアレッドウィングス,5,11,49,1,46,195,78,10,40.0,34.9,1,0,0,21,107,2,10,28,11,8,0,101,0.0,1.7,0.46,6.1,72.7
大塚真菜,トヨタ車体クインシーズ,12,26,72,7,53,50,14,6,28.0,16.0,0,0,0,2,83,3,14,26,18,10,0,19,,0.26,0.04,7.2,55.6
大山加奈,東レアローズ,3,13,9,3,17,137,48,9,35.0,28.5,29,14,4,8,62,5,4,12,0,0,0,61,48.3,2.82,0.47,11.3,
大山未希,東レアローズ,7,66,32,19,77,6,2,0,33.3,33.3,0,0,0,6,90,2,7,34,2,0,0,10,,0.03,0.08,9.7,0.0
大村加奈子,久光製薬スプリングス,8,63,24,20,29,10,4,0,40.0,40.0,0,0,0,2,6,0,1,1,0,0,0,6,,0.14,0.07,0.0,
