名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
上岡奈々瀬,フォレストリーヴズ熊本,1,4,2,0,0,0.0,0.0,0,0,0,0,4,0,0,0,0,0,0,,0.0,0.0,0.0,
上村麻衣,四国Eighty8Queen,10,17,59,34,0,57.6,57.6,0,0,0,6,65,5,4,22,1,1,0,,2.0,0.4,14.6,100.0
丸山祐希,柏エンゼルクロス,11,12,0,0,0,,,0,0,0,0,27,3,0,5,0,0,0,,0.0,0.0,15.7,
丸山香菜子,フォレストリーヴズ熊本,8,20,172,40,8,23.3,18.6,1,0,0,2,79,3,1,27,150,90,0,0.0,2.0,0.1,12.0,60.0
久保みゆき,フォレストリーヴズ熊本,15,20,0,0,0,,,0,0,0,0,0,0,0,0,123,74,0,,0.0,0.0,,60.2
乾鈴惠,四国Eighty8Queen,12,17,147,61,9,41.5,35.4,0,0,0,5,55,5,5,20,101,52,0,,3.6,0.3,15.9,51.5
仁里奈那美,四国Eighty8Queen,7,9,0,0,0,,,0,0,0,0,0,0,0,0,22,13,0,,0.0,0.0,,59.1
仲本知佳,柏エンゼルクロス,15,19,85,34,7,40.0,31.8,0,0,0,7,56,2,2,13,3,0,0,,1.8,0.4,8.5,0.0
伊藤綾子,柏エンゼルクロス,6,12,43,17,1,39.5,37.2,0,0,0,8,30,1,0,8,1,0,0,,1.4,0.7,10.0,0.0
佐々木瞳,Befcoビービースターズ,5,18,181,50,15,27.6,19.3,0,0,0,6,79,3,5,26,158,91,0,,2.8,0.3,10.4,57.6
佐藤みなみ,Befcoビービースターズ,8,18,0,0,0,,,0,0,0,0,0,0,0,0,98,71,0,,0.0,0.0,,72.4
佐藤奈美,PFUブルーキャッツ,11,5,19,9,0,47.4,47.4,0,0,0,3,14,0,3,6,0,0,0,,1.8,0.6,5.4,
