名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オクム大庭冬美ハウィ,2020-01,日立リヴァーレ,17,3,3,6,1,1,16.7,0.0,0,0,0,0,0,0,0,0,0,0,0,1,,0.33,0.0,,
スークソッドタナッチャ,2020-01,PFUブルーキャッツ,19,3,1,3,2,0,66.7,66.7,0,0,0,0,0,0,0,0,0,0,0,2,,2.0,0.0,,
タップハンナ,2020-01,日立リヴァーレ,5,3,11,78,48,3,61.5,57.7,0,0,0,19,20,0,4,6,1,0,1,67,,4.36,1.73,2.5,50.0
ドリスジェニファー,2020-01,PFUブルーキャッツ,2,3,13,71,31,3,43.7,39.4,0,0,0,9,40,1,1,10,1,0,0,41,,2.38,0.69,8.1,0.0
マライブナ,2020-01,ヴィクトリーナ姫路,11,3,13,182,63,11,34.6,28.6,61,25,3,7,38,1,1,12,0,0,0,71,41.0,4.85,0.54,9.9,
リーシモーン,2020-01,KUROBEアクアフェアリーズ,10,3,13,179,73,13,40.8,33.5,48,21,2,5,42,0,1,23,2,2,0,78,43.8,5.62,0.38,13.1,100.0
上坂瑠子,2020-01,日立リヴァーレ,1,3,2,6,1,1,16.7,0.0,0,0,0,0,3,0,1,1,5,1,1,1,,0.5,0.0,0.0,30.0
中村安里,2020-01,日立リヴァーレ,11,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
丸山紗季,2020-01,KUROBEアクアフェアリーズ,1,3,9,0,0,0,,,0,0,0,0,19,0,1,9,0,0,0,0,,0.0,0.0,10.5,
佐々木千紘,2020-01,ヴィクトリーナ姫路,25,3,7,2,1,0,50.0,50.0,0,0,0,2,25,1,3,11,0,0,0,4,,0.14,0.29,12.0,
