名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オクム大庭冬美ハウィ,日立リヴァーレ,17,3,6,1,1,16.7,0.0,0,0,0,0,0,0,0,0,0,0,0,1,,0.3,0.0,,
スークソッドタナッチャ,PFUブルーキャッツ,19,1,3,2,0,66.7,66.7,0,0,0,0,0,0,0,0,0,0,0,2,,2.0,0.0,,
タップハンナ,日立リヴァーレ,5,11,78,48,3,61.5,57.7,0,0,0,19,20,0,4,6,1,0,1,67,,4.4,1.7,2.5,50.0
ドリスジェニファー,PFUブルーキャッツ,2,13,71,31,3,43.7,39.4,0,0,0,9,40,1,1,10,1,0,0,41,,2.4,0.7,8.1,0.0
マライブナ,ヴィクトリーナ姫路,11,13,182,63,11,34.6,28.6,61,25,3,7,38,1,1,12,0,0,0,71,41.0,4.8,0.5,9.9,
リーシモーン,KUROBEアクアフェアリーズ,10,13,179,73,13,40.8,33.5,48,21,2,5,42,0,1,23,2,2,0,78,43.8,5.6,0.4,13.1,100.0
上坂瑠子,日立リヴァーレ,1,2,6,1,1,16.7,0.0,0,0,0,0,3,0,1,1,5,1,1,1,,0.5,0.0,0.0,30.0
中村安里,日立リヴァーレ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
丸山紗季,KUROBEアクアフェアリーズ,1,9,0,0,0,,,0,0,0,0,19,0,1,9,0,0,0,0,,0.0,0.0,10.5,
佐々木千紘,ヴィクトリーナ姫路,25,7,2,1,0,50.0,50.0,0,0,0,2,25,1,3,11,0,0,0,4,,0.1,0.3,12.0,
佐藤美弥,日立リヴァーレ,8,11,7,5,0,71.4,71.4,0,0,0,3,41,1,3,15,1,0,0,9,,0.5,0.3,9.8,0.0
兒島晴香,ヴィクトリーナ姫路,19,7,1,0,0,0.0,0.0,1,0,0,0,2,0,0,1,0,0,0,0,0.0,0.0,0.0,12.5,
入澤まい,日立リヴァーレ,14,5,13,6,1,46.2,38.5,0,0,0,1,13,0,0,8,1,0,0,7,,1.2,0.2,15.4,0.0
吉岡可奈,ヴィクトリーナ姫路,9,10,15,10,0,66.7,66.7,1,0,0,2,40,3,5,13,2,2,0,15,0.0,1.0,0.2,12.5,100.0
和才奈々美,PFUブルーキャッツ,33,13,87,20,4,23.0,18.4,3,1,0,1,29,0,4,5,110,41,27,21,33.3,1.5,0.1,0.9,49.5
和田実莉,PFUブルーキャッツ,16,2,0,0,0,,,0,0,0,0,0,0,0,0,2,2,0,0,,0.0,0.0,,100.0
土井さくら,日立リヴァーレ,15,4,0,0,0,,,0,0,0,0,5,1,0,2,0,0,0,1,,0.0,0.0,30.0,
堀井有蘭,日立リヴァーレ,3,2,0,0,0,,,0,0,0,0,0,0,0,0,4,2,0,0,,0.0,0.0,,50.0
堀口あやか,PFUブルーキャッツ,11,13,133,49,5,36.8,33.1,26,10,1,4,54,3,6,20,72,27,13,56,38.5,3.8,0.3,12.0,46.5
堀込奈央,ヴィクトリーナ姫路,7,13,2,1,0,50.0,50.0,0,0,0,0,37,0,4,13,2,0,0,1,,0.1,0.0,6.1,0.0
孫田菜奈,ヴィクトリーナ姫路,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
宇田沙織,PFUブルーキャッツ,4,5,10,1,0,10.0,10.0,0,0,0,0,6,0,0,2,8,1,3,1,,0.2,0.0,8.3,31.2
小池杏菜,日立リヴァーレ,10,11,0,0,0,,,0,0,0,0,0,0,0,0,28,11,7,0,,0.0,0.0,,51.8
小西愛衣,KUROBEアクアフェアリーズ,15,13,6,0,0,0.0,0.0,0,0,0,1,35,0,3,10,1,0,0,1,,0.0,0.1,5.0,0.0
小野寺友香,日立リヴァーレ,2,1,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
