名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
キューバスジョセフ,2018-11,奈良ドリーマーズ,23,2,18,6,4,33.3,11.1,8,2,2,1,4,0,2,0,1,0,1,25.0,3.0,0.5,-12.5,50.0
キューバスジョセフ,2018-12,奈良ドリーマーズ,23,7,31,16,4,51.6,38.7,13,3,3,3,11,0,4,4,0,0,0,23.1,2.29,0.43,0.0,
キューバスジョセフ,2019-01,奈良ドリーマーズ,23,10,114,49,15,43.0,29.8,38,12,7,3,26,1,10,6,1,0,0,31.6,4.9,0.3,0.0,0.0
上出哲也,2018-11,ヴィアティン三重,21,12,37,19,1,51.4,48.6,0,0,0,6,45,0,1,5,5,4,0,,1.58,0.5,2.2,80.0
上出哲也,2018-12,ヴィアティン三重,21,4,16,5,2,31.2,18.8,0,0,0,2,13,0,1,1,3,2,0,,1.25,0.5,0.0,66.7
上出哲也,2019-01,ヴィアティン三重,21,3,8,6,0,75.0,75.0,0,0,0,3,14,1,0,5,0,0,0,,2.0,1.0,16.1,
上出哲也,2019-02,ヴィアティン三重,21,10,39,23,5,59.0,46.2,1,0,0,11,30,0,0,7,0,0,0,0.0,2.3,1.1,5.8,
上出哲也,2019-03,ヴィアティン三重,21,4,14,8,1,57.1,50.0,0,0,0,1,9,0,0,2,2,0,1,,2.0,0.25,5.6,25.0
上山太樹,2019-01,近畿クラブスフィーダ,10,3,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,,0.0,0.0,0.0,
上山太樹,2019-02,近畿クラブスフィーダ,10,3,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,,0.0,0.0,8.3,
上山太樹,2019-03,近畿クラブスフィーダ,10,2,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,,0.0,0.0,0.0,
上竣,2018-11,奈良ドリーマーズ,15,14,133,60,10,45.1,37.6,41,23,3,2,43,1,13,8,28,12,8,56.1,4.29,0.14,-0.6,57.1
上竣,2018-12,奈良ドリーマーズ,15,6,43,22,4,51.2,41.9,11,4,1,2,15,1,6,0,8,1,4,36.4,3.67,0.33,-3.3,37.5
上竣,2019-01,奈良ドリーマーズ,15,23,198,83,25,41.9,29.3,57,19,13,4,67,3,19,9,10,1,5,33.3,3.61,0.17,0.7,35.0
上竣,2019-02,奈良ドリーマーズ,15,4,10,1,2,10.0,-10.0,1,0,1,1,2,0,2,0,0,0,0,0.0,0.25,0.25,-25.0,
上竣,2019-03,奈良ドリーマーズ,15,7,22,7,3,31.8,18.2,2,2,0,1,6,0,3,0,2,0,0,100.0,1.0,0.14,-12.5,0.0
下町浩二,2018-11,奈良ドリーマーズ,4,14,33,16,2,48.5,42.4,0,0,0,5,37,0,2,3,3,1,1,,1.14,0.36,0.7,50.0
下町浩二,2018-12,奈良ドリーマーズ,4,8,22,11,3,50.0,36.4,2,0,0,1,32,2,2,7,0,0,0,0.0,1.38,0.12,10.2,
下町浩二,2019-01,奈良ドリーマーズ,4,21,46,23,2,50.0,45.7,0,0,0,8,46,0,6,5,1,1,0,,1.1,0.38,-0.5,100.0
下町浩二,2019-02,奈良ドリーマーズ,4,4,5,1,0,20.0,20.0,0,0,0,3,15,0,0,4,0,0,0,,0.25,0.75,6.7,
下町浩二,2019-03,奈良ドリーマーズ,4,9,16,6,1,37.5,31.2,0,0,0,3,28,0,0,7,0,0,0,,0.67,0.33,6.2,
中川郁也,2019-01,近畿クラブスフィーダ,22,1,2,0,0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,,0.0,0.0,0.0,
中川郁也,2019-02,近畿クラブスフィーダ,22,4,4,2,0,50.0,50.0,0,0,0,0,8,1,1,0,0,0,0,,0.5,0.0,9.4,
中村修平,2018-11,ヴォレアス北海道,6,5,3,1,0,33.3,33.3,0,0,0,0,21,2,3,5,1,0,0,,0.2,0.0,11.9,0.0
中村修平,2018-12,ヴォレアス北海道,6,1,0,0,0,,,0,0,0,0,5,0,1,2,0,0,0,,0.0,0.0,5.0,
中村修平,2019-01,ヴォレアス北海道,6,2,3,2,0,66.7,66.7,0,0,0,1,9,1,3,1,0,0,0,,1.0,0.5,5.6,
中村修平,2019-02,ヴォレアス北海道,6,4,2,1,0,50.0,50.0,0,0,0,1,7,0,1,4,0,0,0,,0.25,0.25,10.7,
中村修平,2019-03,ヴォレアス北海道,6,3,3,3,0,100.0,100.0,0,0,0,0,13,0,2,9,0,0,0,,1.0,0.0,13.5,
中村有登,2018-11,ヴィアティン三重,19,12,88,33,5,37.5,31.8,29,13,4,4,43,2,9,15,0,0,0,44.8,2.75,0.33,8.1,
中村有登,2018-12,ヴィアティン三重,19,6,48,26,3,54.2,47.9,11,5,0,1,24,1,4,8,1,0,1,45.5,4.33,0.17,8.3,50.0
中村有登,2019-01,ヴィアティン三重,19,8,61,20,5,32.8,24.6,13,4,3,6,26,1,7,9,0,0,0,30.8,2.5,0.75,5.8,
中村有登,2019-02,ヴィアティン三重,19,12,68,24,6,35.3,26.5,18,6,2,4,39,1,9,6,0,0,0,33.3,2.0,0.33,0.6,
中村有登,2019-03,ヴィアティン三重,19,11,82,40,6,48.8,41.5,14,9,3,1,43,1,9,6,2,2,0,64.3,3.64,0.09,0.6,100.0
中田雄大,2018-11,近畿クラブスフィーダ,12,15,6,2,0,33.3,33.3,0,0,0,1,65,3,5,14,2,1,0,,0.13,0.07,8.1,50.0
中田雄大,2018-12,近畿クラブスフィーダ,12,9,4,1,0,25.0,25.0,0,0,0,1,37,0,2,5,0,0,0,,0.11,0.11,2.0,
中田雄大,2019-01,近畿クラブスフィーダ,12,16,4,3,0,75.0,75.0,0,0,0,0,51,3,0,3,0,0,0,,0.19,0.0,7.4,
中田雄大,2019-02,近畿クラブスフィーダ,12,6,2,2,0,100.0,100.0,0,0,0,0,19,2,1,5,0,0,0,,0.33,0.0,15.8,
中田雄大,2019-03,近畿クラブスフィーダ,12,11,7,4,0,57.1,57.1,0,0,0,0,41,0,3,12,0,0,0,,0.36,0.0,5.5,
中谷芹,2019-01,近畿クラブスフィーダ,8,3,16,3,0,18.8,18.8,2,0,0,0,10,0,2,1,3,2,0,0.0,1.0,0.0,-2.5,66.7
中谷芹,2019-02,近畿クラブスフィーダ,8,5,32,12,5,37.5,21.9,5,1,1,0,20,1,0,3,13,2,5,20.0,2.4,0.0,8.8,34.6
中野倭,2019-01,近畿クラブスフィーダ,9,17,8,4,0,50.0,50.0,0,0,0,4,66,2,2,15,2,1,0,,0.24,0.24,8.0,50.0
中野倭,2019-02,近畿クラブスフィーダ,9,13,7,5,0,71.4,71.4,0,0,0,4,53,3,7,13,0,0,0,,0.38,0.31,8.5,
中野将太,2018-11,兵庫デルフィーノ,5,11,0,0,0,,,0,0,0,0,0,0,0,0,83,53,13,,0.0,0.0,,71.7
中野将太,2018-12,兵庫デルフィーノ,5,12,0,0,0,,,0,0,0,0,0,0,0,0,82,33,23,,0.0,0.0,,54.3
中野将太,2019-01,兵庫デルフィーノ,5,12,10,3,1,30.0,20.0,1,0,0,0,38,1,7,7,22,12,7,0.0,0.25,0.0,2.6,70.5
中野将太,2019-02,兵庫デルフィーノ,5,19,9,0,3,0.0,-33.3,1,0,0,1,63,9,20,14,2,0,0,0.0,0.0,0.05,11.9,0.0
中野将太,2019-03,兵庫デルフィーノ,5,15,11,3,1,27.3,18.2,2,1,0,2,44,3,14,4,0,0,0,50.0,0.2,0.13,1.1,
久堀雄世,2018-11,奈良ドリーマーズ,14,4,12,4,0,33.3,33.3,0,0,0,2,4,0,0,0,0,0,0,,1.0,0.5,0.0,
久堀雄世,2018-12,奈良ドリーマーズ,14,3,7,6,1,85.7,71.4,0,0,0,0,7,0,1,2,0,0,0,,2.0,0.0,3.6,
久堀雄世,2019-01,奈良ドリーマーズ,14,25,73,28,3,38.4,34.2,0,0,0,12,71,1,4,13,2,1,1,,1.12,0.48,4.6,75.0
久堀雄世,2019-02,奈良ドリーマーズ,14,9,23,8,3,34.8,21.7,0,0,0,1,24,1,4,4,0,0,0,,0.89,0.11,4.2,
久堀雄世,2019-03,奈良ドリーマーズ,14,8,26,8,3,30.8,19.2,0,0,0,2,20,0,4,6,0,0,0,,1.0,0.25,2.5,
久門伸司,2018-11,近畿クラブスフィーダ,15,13,1,0,0,0.0,0.0,0,0,0,0,17,0,2,2,12,5,1,,0.0,0.0,0.0,45.8
久門伸司,2018-12,近畿クラブスフィーダ,15,3,0,0,0,,,0,0,0,0,3,0,1,1,0,0,0,,0.0,0.0,0.0,
久門伸司,2019-01,近畿クラブスフィーダ,15,7,0,0,0,,,0,0,0,0,8,0,0,1,2,1,0,,0.0,0.0,3.1,50.0
久門伸司,2019-02,近畿クラブスフィーダ,15,3,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,,0.0,0.0,8.3,
久門伸司,2019-03,近畿クラブスフィーダ,15,4,0,0,0,,,0,0,0,0,4,0,0,0,0,0,0,,0.0,0.0,0.0,
