名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三好紗弥香,01,群馬銀行グリーンウイングス,11,10,0,0,0,,,0,0,0,0,14,0,0,6,0,0,0,,0.0,0.0,10.7,
三好紗弥香,02,群馬銀行グリーンウイングス,11,5,0,0,0,,,0,0,0,0,6,0,0,1,0,0,0,,0.0,0.0,4.2,
三好紗弥香,11,群馬銀行グリーンウイングス,11,19,110,29,8,26.4,19.1,0,0,0,1,72,5,6,20,115,40,33,,1.5,0.1,11.8,49.1
三好紗弥香,12,群馬銀行グリーンウイングス,11,4,25,7,0,28.0,28.0,0,0,0,1,12,2,0,5,18,5,5,,1.8,0.2,27.1,41.7
三浦あゆみ,01,GSS東京サンビームズ,8,9,0,0,0,,,0,0,0,0,0,0,0,0,9,3,2,,0.0,0.0,,44.4
三浦あゆみ,02,GSS東京サンビームズ,8,8,1,0,0,0.0,0.0,1,0,0,0,0,0,0,0,5,0,3,0.0,0.0,0.0,,30.0
三浦あゆみ,11,GSS東京サンビームズ,8,18,0,0,0,,,0,0,0,0,0,0,0,0,98,44,18,,0.0,0.0,,54.1
三浦あゆみ,12,GSS東京サンビームズ,8,6,0,0,0,,,0,0,0,0,0,0,0,0,9,4,0,,0.0,0.0,,44.4
三澤未憂,01,プレステージ・インターナショナルアランマーレ,10,3,0,0,0,,,0,0,0,0,0,0,0,0,2,1,0,,0.0,0.0,,50.0
三澤未憂,02,プレステージ・インターナショナルアランマーレ,10,5,6,0,0,0.0,0.0,0,0,0,0,14,1,0,9,14,8,0,,0.0,0.0,23.2,57.1
三澤未憂,11,プレステージ・インターナショナルアランマーレ,10,17,7,0,1,0.0,-14.3,0,0,0,1,16,0,1,8,24,9,7,,0.0,0.1,10.9,52.1
三澤未憂,12,プレステージ・インターナショナルアランマーレ,10,4,0,0,0,,,0,0,0,0,6,0,1,2,5,3,1,,0.0,0.0,4.2,70.0
不破沙耶佳,01,大阪スーペリアーズ,15,6,56,16,8,28.6,14.3,0,0,0,2,17,2,1,3,32,10,9,,2.7,0.3,14.7,45.3
不破沙耶佳,02,大阪スーペリアーズ,15,9,89,27,5,30.3,24.7,3,0,0,0,27,4,3,4,48,14,11,0.0,3.0,0.0,15.7,40.6
不破沙耶佳,11,大阪スーペリアーズ,15,20,158,46,15,29.1,19.6,14,2,3,5,73,9,3,16,57,23,16,14.3,2.3,0.2,16.8,54.4
不破沙耶佳,12,大阪スーペリアーズ,15,13,134,38,16,28.4,16.4,7,2,1,0,39,5,2,19,72,26,10,28.6,2.9,0.0,23.7,43.1
中田香澄,01,プレステージ・インターナショナルアランマーレ,5,1,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中田香澄,02,プレステージ・インターナショナルアランマーレ,5,3,3,2,0,66.7,66.7,0,0,0,0,3,0,0,0,0,0,0,,0.7,0.0,0.0,
中田香澄,11,プレステージ・インターナショナルアランマーレ,5,19,51,15,0,29.4,29.4,0,0,0,0,20,2,0,5,8,3,2,,0.8,0.0,16.2,50.0
中田香澄,12,プレステージ・インターナショナルアランマーレ,5,6,28,9,1,32.1,28.6,0,0,0,0,10,1,2,2,3,1,1,,1.5,0.0,10.0,50.0
中西萌恵,12,大阪スーペリアーズ,4,6,33,12,2,36.4,30.3,0,0,0,1,21,0,1,7,1,1,0,,2.0,0.2,7.1,100.0
丸山佳穂,11,群馬銀行グリーンウイングス,9,15,0,0,0,,,0,0,0,0,21,1,0,6,0,0,0,,0.0,0.0,11.9,
丸山佳穂,12,群馬銀行グリーンウイングス,9,5,0,0,0,,,0,0,0,0,10,0,1,2,0,0,0,,0.0,0.0,2.5,
丹野瑞希,01,プレステージ・インターナショナルアランマーレ,14,1,11,3,1,27.3,18.2,0,0,0,0,5,0,1,2,0,0,0,,3.0,0.0,5.0,
丹野瑞希,02,プレステージ・インターナショナルアランマーレ,14,6,20,6,0,30.0,30.0,0,0,0,0,7,0,0,0,0,0,0,,1.0,0.0,0.0,
丹野瑞希,11,プレステージ・インターナショナルアランマーレ,14,24,215,70,14,32.6,26.0,1,0,0,3,71,3,2,22,12,2,5,0.0,2.9,0.1,11.3,37.5
丹野瑞希,12,プレステージ・インターナショナルアランマーレ,14,8,58,11,1,19.0,17.2,0,0,0,1,19,0,1,8,5,1,1,,1.4,0.1,9.2,30.0
