名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オンテレジェームス,大分三好ヴァイセアドラー,14,115,70,766,429,58,56.0,48.4,331,185,29,35,289,32,65,76,1,0,0,55.9,6.13,0.5,12.0,0.0
三川剛史,トヨタ自動車サンホークス,13,62,4,3,3,0,100.0,100.0,0,0,0,0,7,0,2,1,0,0,0,,0.75,0.0,-3.6,
三浦玲音,埼玉アザレア,26,22,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三芳健斗,富士通カワサキレッドスピリッツ,6,117,18,31,16,1,51.6,48.4,0,0,0,4,36,1,15,10,1,1,0,,0.89,0.22,-0.7,100.0
上出哲也,近畿クラブスフィーダ,26,32,4,1,1,0,100.0,100.0,0,0,0,0,3,0,0,1,0,0,0,,0.25,0.0,8.3,
中倉翼,兵庫デルフィーノ,21,17,3,0,0,0,,,0,0,0,0,5,0,1,2,0,0,0,,0.0,0.0,5.0,
中川剛,富士通カワサキレッドスピリッツ,1,119,65,511,259,52,50.7,40.5,189,112,27,19,269,12,39,83,0,0,0,59.3,3.98,0.29,8.6,
中村耕平,東京ヴェルディ,5,117,72,506,202,45,39.9,31.0,69,23,17,27,254,16,49,75,409,229,0,33.3,2.81,0.38,8.9,56.0
中村航太朗,警視庁フォートファイターズ,13,98,74,546,253,32,46.3,40.5,91,34,7,40,303,26,52,91,448,301,0,37.4,3.42,0.54,11.8,67.2
中津芳文,埼玉アザレア,8,119,79,308,137,13,44.5,40.3,0,0,0,30,289,12,15,120,6,3,0,,1.73,0.38,13.2,50.0
中田雄大,近畿クラブスフィーダ,12,40,22,9,5,2,55.6,33.3,1,0,0,2,71,3,6,26,1,0,0,0.0,0.23,0.09,11.3,0.0
