名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オンテレジェームス,2014-11,大分三好ヴァイセアドラー,14,19,170,93,14,54.7,46.5,83,45,9,15,91,14,22,26,0,0,0,54.2,4.89,0.79,16.5,
オンテレジェームス,2014-12,大分三好ヴァイセアドラー,14,7,86,46,8,53.5,44.2,39,20,2,4,23,1,6,5,1,0,0,51.3,6.57,0.57,3.3,0.0
オンテレジェームス,2015-01,大分三好ヴァイセアドラー,14,16,182,102,15,56.0,47.8,90,49,8,6,67,5,19,19,0,0,0,54.4,6.38,0.38,7.5,
オンテレジェームス,2015-02,大分三好ヴァイセアドラー,14,11,141,77,9,54.6,48.2,42,25,2,2,40,4,8,8,0,0,0,59.5,7.0,0.18,10.0,
オンテレジェームス,2015-03,大分三好ヴァイセアドラー,14,17,187,111,12,59.4,52.9,77,46,8,8,68,8,10,18,0,0,0,59.7,6.53,0.47,14.7,
三川剛史,2014-11,トヨタ自動車サンホークス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三川剛史,2014-12,トヨタ自動車サンホークス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三川剛史,2015-01,トヨタ自動車サンホークス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三川剛史,2015-02,トヨタ自動車サンホークス,13,3,3,3,0,100.0,100.0,0,0,0,0,7,0,2,1,0,0,0,,1.0,0.0,-3.6,
三川剛史,2015-03,トヨタ自動車サンホークス,13,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三浦玲音,2014-11,埼玉アザレア,26,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三芳健斗,2014-11,富士通カワサキレッドスピリッツ,6,9,9,4,0,44.4,44.4,0,0,0,0,19,1,8,6,1,1,0,,0.44,0.0,2.6,100.0
三芳健斗,2014-12,富士通カワサキレッドスピリッツ,6,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,0.0,0.0,-25.0,
三芳健斗,2015-01,富士通カワサキレッドスピリッツ,6,1,3,2,0,66.7,66.7,0,0,0,0,1,0,1,0,0,0,0,,2.0,0.0,-25.0,
三芳健斗,2015-02,富士通カワサキレッドスピリッツ,6,5,17,10,1,58.8,52.9,0,0,0,3,14,0,4,4,0,0,0,,2.0,0.6,0.0,
三芳健斗,2015-03,富士通カワサキレッドスピリッツ,6,2,2,0,0,0.0,0.0,0,0,0,1,1,0,1,0,0,0,0,,0.0,0.5,-25.0,
