大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2020-21 V.LEAGUE DIVISION1 MEN,サントリーサンバーズ,17,65,149,83,7,55.7,0,0,0,-,1.28,19,0.29,191,3,0,36,38,1.8,30,12,11,58.3,83,19,3,105
レギュラーラウンド,サントリーサンバーズ,17,65,149,83,7,55.7,0,0,0,-,1.28,19,0.29,191,3,0,36,38,1.8,30,12,11,58.3,83,19,3,105
2019-20 V.LEAGUE DIVISION1 MEN,サントリーサンバーズ,29,94,206,118,15,57.3,1,0,0,0.0,1.26,26,0.28,306,3,5,47,61,3.8,24,10,8,58.3,118,26,8,152
レギュラーラウンド,サントリーサンバーズ,26,83,187,108,14,57.8,0,0,0,-,1.30,22,0.27,276,3,4,43,56,3.7,19,8,5,55.3,108,22,7,137
GAME1（5位決定戦）,サントリーサンバーズ,1,3,8,5,0,62.5,0,0,0,-,1.67,2,0.67,8,0,0,1,2,3.1,4,2,2,75.0,5,2,0,7
GAME2（4位決定戦）,サントリーサンバーズ,1,4,4,3,0,75.0,1,0,0,0.0,0.75,0,-,13,0,1,1,3,11.5,0,0,0,-,3,0,1,4
セミファイナル（３位決定戦）,サントリーサンバーズ,1,4,7,2,1,28.6,0,0,0,-,0.50,2,0.50,9,0,0,2,0,-5.6,1,0,1,50.0,2,2,0,4
V.LEAGUE DIVISION1 MEN 2018-19,サントリーサンバーズ,26,61,128,68,3,53.1,0,0,0,-,1.11,22,0.36,169,2,0,35,33,0.9,8,4,2,62.5,68,22,2,92
レギュラーラウンド,サントリーサンバーズ,21,45,86,47,2,54.7,0,0,0,-,1.04,14,0.31,127,2,0,24,25,1.8,7,3,2,57.1,47,14,2,63
ファイナル６,サントリーサンバーズ,5,16,42,21,1,50.0,0,0,0,-,1.31,8,0.50,42,0,0,11,8,-1.8,1,1,0,100.0,21,8,0,29
Ｖ・プレミアリーグ男子 2017/18,サントリーサンバーズ,26,86,169,90,8,53.3,0,0,0,-,1.05,22,0.26,219,5,10,39,59,9.1,17,7,4,52.9,90,22,15,127
レギュラーラウンド,サントリーサンバーズ,21,69,116,63,6,54.3,0,0,0,-,0.91,17,0.25,169,3,8,31,45,8.6,12,5,3,54.2,63,17,11,91
ファイナル６,サントリーサンバーズ,5,17,53,27,2,50.9,0,0,0,-,1.59,5,0.29,50,2,2,8,14,11.0,5,2,1,50.0,27,5,4,36
Ｖ・プレミアリーグ男子 2016/17,サントリーサンバーズ,24,81,201,122,14,60.7,0,0,0,-,1.51,39,0.48,205,2,1,39,62,8.9,6,4,0,66.7,122,39,3,164
レギュラーラウンド,サントリーサンバーズ,19,60,141,87,9,61.7,0,0,0,-,1.45,25,0.42,152,2,1,27,44,9.1,5,3,0,60.0,87,25,3,115
ファイナル６,サントリーサンバーズ,5,21,60,35,5,58.3,0,0,0,-,1.67,14,0.67,53,0,0,12,18,8.5,1,1,0,100.0,35,14,0,49
天皇杯全日本選手権大会,,1,3,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,,1,3,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2015/16,サントリーサンバーズ,7,12,45,30,3,66.7,0,0,0,-,2.50,8,0.67,33,0,2,5,11,13.2,0,0,0,-,30,8,2,40
レギュラーラウンド,サントリーサンバーズ,7,12,45,30,3,66.7,0,0,0,-,2.50,8,0.67,33,0,2,5,11,13.2,0,0,0,-,30,8,2,40
チャレンジマッチ男子2015/16,サントリーサンバーズ,2,6,14,6,1,42.9,0,0,0,-,1.00,6,1.00,21,0,1,3,9,14.5,2,1,0,50.0,6,6,1,13
チャレンジマッチ,サントリーサンバーズ,2,6,14,6,1,42.9,0,0,0,-,1.00,6,1.00,21,0,1,3,9,14.5,2,1,0,50.0,6,6,1,13
Ｖ・プレミアリーグ男子 2014/15,サントリーサンバーズ,24,34,8,6,0,75.0,0,0,0,-,0.18,2,0.06,13,0,0,6,3,5.8,1,1,0,100.0,6,2,0,8
レギュラーラウンド,サントリーサンバーズ,17,24,8,6,0,75.0,0,0,0,-,0.25,1,0.04,13,0,0,6,3,5.8,1,1,0,100.0,6,1,0,7
ファイナル６,サントリーサンバーズ,5,6,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル３,サントリーサンバーズ,1,3,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル,サントリーサンバーズ,1,1,0,0,0,-,0,0,0,-,-,1,1.00,0,0,0,0,0,-,0,0,0,-,0,1,0,1
Ｖ・プレミアリーグ男子 2013/14,サントリーサンバーズ,27,80,134,67,9,50.0,0,0,0,-,0.84,41,0.51,244,4,5,54,80,11.5,21,11,0,52.4,67,41,9,117
レギュラーラウンド,サントリーサンバーズ,27,80,134,67,9,50.0,0,0,0,-,0.84,41,0.51,244,4,5,54,80,11.5,21,11,0,52.4,67,41,9,117
Ｖ・プレミアリーグ男子 2012/13,サントリーサンバーズ,10,8,1,1,0,100.0,0,0,0,-,0.12,0,-,10,0,0,2,4,10.0,0,0,0,-,1,0,0,1
レギュラーラウンド,サントリーサンバーズ,9,8,1,1,0,100.0,0,0,0,-,0.12,0,-,10,0,0,2,4,10.0,0,0,0,-,1,0,0,1
ファイナルラウンド,サントリーサンバーズ,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2011/12,サントリーサンバーズ,21,63,84,37,4,44.0,0,0,0,-,0.59,12,0.19,146,6,4,32,51,15.0,6,4,0,66.7,37,12,10,59
レギュラーラウンド,サントリーサンバーズ,18,52,84,37,4,44.0,0,0,0,-,0.71,12,0.23,135,6,4,28,49,15.9,6,4,0,66.7,37,12,10,59
セミファイナルラウンド,サントリーサンバーズ,3,11,0,0,0,-,0,0,0,-,-,0,-,11,0,0,4,2,4.5,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,182,498,951,529,54,55.6,0,0,0,-,1.06,159,0.32,1350,23,24,256,355,5.3,101,47,21,56.9,529,159,47,735
通算,,214,593,1139,628,64,55.1,1,0,0,0.0,1.06,197,0.33,1557,25,28,298,411,5.2,115,54,25,57.8,628,197,53,878
