月,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
01,20,,アウントゥ,8,2,2,2,1,1,55,29,2,52.72727272727272,49.09090909090909,6.875,7,4,0,57.14285714285714,1,0.125,26,0,5,1,-3.8461538461538463,76,29,24,53.94736842105263
02,20,,アウントゥ,14,5,4,4,1,0,91,34,2,37.362637362637365,35.16483516483517,6.5,11,3,1,27.27272727272727,5,0.35714285714285715,47,2,8,10,5.319148936170213,99,43,20,53.535353535353536
