得点,失点,+/-,L-B,相手状況,相手番号,相手選手,相手交代番号,相手交代選手,状況,番号,選手,交代番号,交代選手
0,0,0,Tie,,,,,,,,,,
0,0,0,Tie,,,,,,サーブミス,14,宮下(遥),,
1,0,1,Lead,,得点,,,,,,,,
1,0,1,Lead,サーブ,13,山田,,,,,,,
1,0,1,Lead,,,,,,レシーブ失敗,18,金田,,
1,0,1,Lead,その他ミス,1,島村,,,,,,,
1,1,0,Tie,,,,,,,得点,,,
1,1,0,Tie,,,,,,サーブ,4,吉岡,,
1,1,0,Tie,レシーブ成功(優),12,山内,,,,,,,
1,1,0,Tie,アタック成功:,12,山内,,,,,,,
2,1,1,Lead,,得点,,,,,,,,
2,1,1,Lead,サービスエース,12,山内,,,,,,,
2,1,1,Lead,,,,,,レシーブ失敗,4,吉岡,,
3,1,2,Lead,,得点,,,,,,,,
3,1,2,Lead,サーブ,12,山内,,,,,,,
3,1,2,Lead,,,,,,レシーブ成功(優),4,吉岡,,
3,1,2,Lead,,,,,,,18,金田,,
3,1,2,Lead,アタック成功:,1,島村,,,,,,,
4,1,3,Lead,,得点,,,,,,,,
4,1,3,Lead,サーブ,12,山内,,,,,,,
4,1,3,Lead,,,,,,レシーブ成功(優),27,楢崎,,
4,1,3,Lead,,,,,,,21,高野,,
4,1,3,Lead,,,,,,,6,渡邊,,
4,1,3,Lead,,,,,,,18,金田,,
4,1,3,Lead,アタック失敗,2,古賀,,,,,,,
4,2,2,Lead,,,,,,,得点,,,
4,2,2,Lead,,,,,,サーブ,21,高野,,
4,2,2,Lead,レシーブ成功(優),16,小島,,,,,,,
4,2,2,Lead,アタック成功:,1,島村,,,,,,,
5,2,3,Lead,,得点,,,,,,,,
5,2,3,Lead,サーブ,2,古賀,,,,,,,
5,2,3,Lead,,,,,,レシーブ失敗,4,吉岡,,
5,2,3,Lead,,4,柳田,,,,,,,
5,2,3,Lead,,,,,,,6,渡邊,,
5,2,3,Lead,ブロック成功,4,柳田,,,,,,,
6,2,4,Lead,,得点,,,,,,,,
6,2,4,Lead,サーブミス,2,古賀,,,,,,,
6,3,3,Lead,,,,,,,得点,,,
6,3,3,Lead,,,,,,サーブ,6,渡邊,,
6,3,3,Lead,レシーブ失敗,12,山内,,,,,,,
6,3,3,Lead,,4,柳田,,,,,,,
6,3,3,Lead,,2,古賀,,,,,,,
6,3,3,Lead,,,,,,アタック成功:,18,金田,,
6,4,2,Lead,,,,,,,得点,,,
6,4,2,Lead,,,,,,サーブ,6,渡邊,,
6,4,2,Lead,レシーブ成功(良),12,山内,,,,,,,
6,4,2,Lead,,4,柳田,,,,,,,
6,4,2,Lead,,,,,,,18,金田,,
