得点,失点,+/-,L-B,状況,番号,選手,交代番号,交代選手,相手状況,相手番号,相手選手,相手交代番号,相手交代選手
0,0,0,Tie,,,,,,,,,,
0,0,0,Tie,ノータッチエース,9,廣瀬,,,,,,,
1,0,1,Lead,,得点,,,,,,,,
1,0,1,Lead,サーブミス,9,廣瀬,,,,,,,
1,1,0,Tie,,,,,,,得点,,,
1,1,0,Tie,,,,,,サーブ,13,長内,,
1,1,0,Tie,レシーブ失敗,16,小島,,,,,,,
1,1,0,Tie,アタック成功:,15,吉田,,,,,,,
2,1,1,Lead,,得点,,,,,,,,
2,1,1,Lead,サーブ,6,上野,,,,,,,
2,1,1,Lead,,,,,,レシーブ成功(優),7,齋藤,,
2,1,1,Lead,,,,,,アタック成功:,19,野中,,
2,2,0,Tie,,,,,,,得点,,,
2,2,0,Tie,,,,,,サーブ,6,芳賀,,
2,2,0,Tie,レシーブ失敗,12,山内,,,,,,,
2,2,0,Tie,アタック成功:,15,吉田,,,,,,,
3,2,1,Lead,,得点,,,,,,,,
3,2,1,Lead,サーブ,12,山内,,,,,,,
3,2,1,Lead,,,,,,レシーブ成功(良),1,上坂,,
3,2,1,Lead,,,,,,,19,野中,,
3,2,1,Lead,ブロック成功,15,吉田,,,,,,,
4,2,2,Lead,,得点,,,,,,,,
4,2,2,Lead,サーブ,12,山内,,,,,,,
4,2,2,Lead,,,,,,レシーブ成功(優),1,上坂,,
4,2,2,Lead,,,,,,,14,入澤,,
4,2,2,Lead,アタック成功:,15,吉田,,,,,,,
5,2,3,Lead,,得点,,,,,,,,
5,2,3,Lead,サーブミス,12,山内,,,,,,,
5,3,2,Lead,,,,,,,得点,,,
5,3,2,Lead,,,,,,サーブ,19,野中,,
5,3,2,Lead,レシーブ成功(優),12,山内,,,,,,,
5,3,2,Lead,,8,野嶋,,,,,,,
5,3,2,Lead,,8,野嶋,,,,,,,
5,3,2,Lead,,,,,,アタック成功:,1,上坂,,
5,4,1,Lead,,,,,,,得点,,,
5,4,1,Lead,,,,,,サーブ,19,野中,,
5,4,1,Lead,レシーブ成功(優),12,山内,,,,,,,
5,4,1,Lead,アタック成功:,15,吉田,,,,,,,
6,4,2,Lead,,得点,,,,,,,,
6,4,2,Lead,サーブ,15,吉田,,,,,,,
6,4,2,Lead,,,,,,レシーブ成功(優),1,上坂,,
6,4,2,Lead,,,,,,,13,長内,,
6,4,2,Lead,アタック成功:,12,山内,,,,,,,
7,4,3,Lead,,得点,,,,,,,,
7,4,3,Lead,サーブ,15,吉田,,,,,,,
7,4,3,Lead,,,,,,レシーブ成功(優),7,齋藤,,
7,4,3,Lead,,,,,,,1,上坂,,
7,4,3,Lead,,9,廣瀬,,,,,,,
7,4,3,Lead,,,,,,アタック失敗,1,上坂,,
8,4,4,Lead,,得点,,,,,,,,
8,4,4,Lead,,テクニカルタイムアウト,,,,,,,,
8,4,4,Lead,サーブ,15,吉田,,,,,,,
8,4,4,Lead,,,,,,レシーブ成功(優),7,齋藤,,
8,4,4,Lead,,,,,,アタック成功:,1,上坂,,
8,5,3,Lead,,,,,,,得点,,,
8,5,3,Lead,,,,,,サーブ,1,上坂,,
8,5,3,Lead,レシーブ成功(優),12,山内,,,,,,,
8,5,3,Lead,アタック成功:,8,野嶋,,,,,,,
9,5,4,Lead,,得点,,,,,,,,
9,5,4,Lead,サーブ,8,野嶋,,,,,,,
9,5,4,Lead,,,,,,レシーブ成功(優),1,上坂,,
9,5,4,Lead,,,,,,,13,長内,,
9,5,4,Lead,,9,廣瀬,,,,,,,
9,5,4,Lead,,,,,,アタック成功:,13,長内,,
9,6,3,Lead,,,,,,,得点,,,
9,6,3,Lead,,,,,,サーブ,14,入澤,,
9,6,3,Lead,レシーブ失敗,12,山内,,,,,,,
9,6,3,Lead,,9,廣瀬,,,,,,,
9,6,3,Lead,,,,,,,13,長内,,
9,6,3,Lead,,9,廣瀬,,,,,,,
9,6,3,Lead,,,,,,,13,長内,,
9,6,3,Lead,,,,,,,6,芳賀,,
9,6,3,Lead,,,,,,,13,長内,,
9,6,3,Lead,アタック成功:,9,廣瀬,,,,,,,
10,6,4,Lead,,得点,,,,,,,,
10,6,4,Lead,サーブ,3,塚田,,,,,,,
10,6,4,Lead,,,,,,レシーブ成功(良),1,上坂,,
10,6,4,Lead,,,,,,アタック成功:,13,長内,,
10,7,3,Lead,,,,,,,得点,,,
10,7,3,Lead,,,,,,サーブ,2,小野寺,,
10,7,3,Lead,レシーブ失敗,12,山内,,,,,,,
10,7,3,Lead,アタック成功:,12,山内,,,,,,,
11,7,4,Lead,,得点,,,,,,,,
11,7,4,Lead,メンバー交代:,IN:4,柳田,OUT:9,廣瀬,,,,,
11,7,4,Lead,サーブ,4,柳田,,,,,,,
11,7,4,Lead,,,,,,レシーブ成功(優),1,上坂,,
11,7,4,Lead,,,,,,,13,長内,,
11,7,4,Lead,アタック成功:,15,吉田,,,,,,,
12,7,5,Lead,,得点,,,,,,,,
12,7,5,Lead,,,,,,,タイムアウト,,,
12,7,5,Lead,サーブ,4,柳田,,,,,,,
12,7,5,Lead,,,,,,レシーブ失敗,1,上坂,,
12,7,5,Lead,アタック成功:,12,山内,,,,,,,
13,7,6,Lead,,得点,,,,,,,,
13,7,6,Lead,サーブ,4,柳田,,,,,,,
13,7,6,Lead,,,,,,レシーブ成功(優),1,上坂,,
