名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
フィオーリンヴァレンティーナ,埼玉上尾メディックス,1,69,63,590,265,34,44.9,39.2,90,36,14,50,239,10,5,67,256,129,0,40.0,4.21,0.79,10.7,50.4
フールマンフランシーヌ,日立リヴァーレ,33,81,73,308,164,23,53.2,45.8,6,2,1,48,238,17,27,95,5,4,0,33.3,2.25,0.66,14.3,80.0
三友歩美,仙台ベルフィーユ,11,80,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三浦知愛,仙台ベルフィーユ,9,80,55,0,0,0,,,0,0,0,0,8,0,0,4,313,199,0,,0.0,0.0,12.5,63.6
上村麻衣,仙台ベルフィーユ,10,80,76,345,156,19,45.2,39.7,0,0,0,33,254,7,12,81,14,6,0,,2.05,0.43,9.5,42.9
中田明香,大野石油広島オイラーズ,6,68,49,20,11,0,55.0,55.0,0,0,0,9,186,7,5,63,3,1,0,,0.22,0.18,11.6,33.3
中野清香,仙台ベルフィーユ,8,80,74,716,258,37,36.0,30.9,77,14,7,9,273,13,35,60,459,262,0,18.2,3.49,0.12,7.1,57.1
丸山祐希,柏エンゼルクロス,11,69,80,46,18,0,39.1,39.1,0,0,0,1,270,12,11,73,2,0,0,,0.22,0.01,10.2,0.0
丸山裕子,Befcoビービースターズ,5,80,29,106,42,7,39.6,33.0,0,0,0,17,69,2,10,24,2,2,0,,1.45,0.59,8.0,100.0
丸山香菜子,フォレストリーヴズ熊本,8,80,71,474,127,26,26.8,21.3,3,1,0,17,226,9,11,80,639,411,0,33.3,1.79,0.24,11.6,64.3
久保みゆき,フォレストリーヴズ熊本,15,80,80,0,0,0,,,0,0,0,0,0,0,0,0,370,209,0,,0.0,0.0,,56.5
井西彩乃,KUROBEアクアフェアリーズ,6,69,71,673,249,43,37.0,30.6,32,8,3,33,278,19,18,104,557,359,0,25.0,3.51,0.46,14.6,64.5
伊藤智美,KUROBEアクアフェアリーズ,1,69,59,550,196,48,35.6,26.9,27,5,4,8,209,10,9,64,185,95,0,18.5,3.32,0.14,11.4,51.4
伊藤睦美,KUROBEアクアフェアリーズ,3,69,39,128,48,8,37.5,31.2,2,1,0,17,58,0,11,10,10,5,0,50.0,1.23,0.44,-0.4,50.0
伊藤綾子,柏エンゼルクロス,6,69,85,486,168,23,34.6,29.8,1,0,0,37,206,6,7,74,2,0,0,0.0,1.98,0.44,11.0,0.0
伊関悠,日立リヴァーレ,18,81,51,0,0,0,,,0,0,0,0,0,0,0,0,201,134,0,,0.0,0.0,,66.7
位田愛,KUROBEアクアフェアリーズ,9,69,0,1,0,0,0.0,0.0,0,0,0,1,61,2,0,21,2,0,0,,,inf,11.9,0.0
佐々木侑,三洋電機レッドソア,3,81,81,728,260,45,35.7,29.5,114,32,17,34,284,7,16,117,33,16,0,28.1,3.21,0.42,11.4,48.5
佐々木夏希,PFUブルーキャッツ,6,81,51,376,117,20,31.1,25.8,10,0,1,4,143,8,13,52,288,141,0,0.0,2.29,0.08,12.4,49.0
佐々木美麗,日立リヴァーレ,14,30,4,0,0,0,,,0,0,0,0,4,0,0,1,0,0,0,,0.0,0.0,6.2,
佐々木萌,三洋電機レッドソア,6,81,80,1086,364,99,33.5,24.4,323,88,43,10,309,16,17,99,540,339,0,27.2,4.55,0.12,11.8,62.8
佐々木香織,仙台ベルフィーユ,15,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤あり紗,日立リヴァーレ,22,18,22,0,0,0,,,0,0,0,0,0,0,0,0,79,56,0,,0.0,0.0,,70.9
佐藤みなみ,Befcoビービースターズ,8,80,78,0,0,0,,,0,0,0,0,0,0,0,0,398,266,0,,0.0,0.0,,66.8
佐藤奈美,PFUブルーキャッツ,11,81,82,311,137,23,44.1,36.7,1,0,0,41,184,6,16,66,8,4,0,0.0,1.67,0.5,10.1,50.0
佐藤由香,柏エンゼルクロス,18,67,72,497,181,26,36.4,31.2,3,0,0,29,117,7,17,33,260,148,0,0.0,2.51,0.4,9.4,56.9
佐藤瞳,日立リヴァーレ,8,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤舞,柏エンゼルクロス,12,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
俵知里,埼玉上尾メディックス,20,46,10,1,0,0,0.0,0.0,0,0,0,0,6,1,0,1,0,0,0,,0.0,0.0,20.8,
内田役子,日立リヴァーレ,10,79,67,33,26,1,78.8,75.8,0,0,0,10,303,15,9,96,2,0,0,,0.39,0.15,12.1,0.0
北上夏希,三洋電機レッドソア,10,81,75,430,135,26,31.4,25.3,65,18,6,10,185,13,6,56,451,220,0,27.7,1.8,0.13,13.8,48.8
南早希,埼玉上尾メディックス,3,69,70,26,18,1,69.2,65.4,0,0,0,3,258,14,25,96,2,0,0,,0.26,0.04,12.3,0.0
南桃加,日立リヴァーレ,3,69,64,156,59,3,37.8,35.9,0,0,0,29,275,10,10,105,6,5,0,,0.92,0.45,12.3,83.3
吉安遥,大野石油広島オイラーズ,8,80,78,713,268,60,37.6,29.2,4,3,0,11,341,21,28,112,668,466,0,75.0,3.44,0.14,12.3,69.8
吉川ひかる,KUROBEアクアフェアリーズ,13,69,35,15,3,1,20.0,13.3,1,0,0,0,57,2,2,22,3,1,0,0.0,0.09,0.0,12.3,33.3
吉村志穂,埼玉上尾メディックス,18,11,5,13,7,1,53.8,46.2,1,0,0,0,13,1,0,4,21,14,0,0.0,1.4,0.0,15.4,66.7
和多桃子,フォレストリーヴズ熊本,13,80,80,35,16,1,45.7,42.9,2,1,0,1,290,17,8,95,10,2,0,50.0,0.2,0.01,13.4,20.0
城奈津希,フォレストリーヴズ熊本,12,80,17,0,0,0,,,0,0,0,0,0,0,0,0,23,12,0,,0.0,0.0,,52.2
城美鈴,日立リヴァーレ,5,26,23,174,64,8,36.8,32.2,20,8,2,7,68,2,4,32,68,35,0,40.0,2.78,0.3,13.2,51.5
多治見麻子,日立リヴァーレ,21,37,9,34,18,1,52.9,50.0,0,0,0,7,23,0,1,11,1,1,0,,2.0,0.78,10.9,100.0
大内世莉香,仙台ベルフィーユ,13,26,36,0,0,0,,,0,0,0,0,8,0,0,5,190,116,0,,0.0,0.0,15.6,61.1
大内志織,埼玉上尾メディックス,13,40,32,1,0,0,0.0,0.0,0,0,0,0,52,2,4,11,1,0,0,,0.0,0.0,7.2,0.0
大場知英,GSS東京サンビームズ,3,69,73,0,0,0,,,0,0,0,0,2,0,1,0,353,192,0,,0.0,0.0,-12.5,54.4
大楠鼓雪,大野石油広島オイラーズ,5,80,78,479,197,23,41.1,36.3,0,0,0,44,270,16,22,104,25,17,0,,2.53,0.56,13.5,68.0
大熊亜希,フォレストリーヴズ熊本,1,80,79,580,218,53,37.6,28.4,0,0,0,40,219,8,18,92,3,1,0,,2.76,0.51,12.1,33.3
大谷牧子,Befcoビービースターズ,17,21,6,8,2,1,25.0,12.5,0,0,0,0,9,0,1,0,0,0,0,,0.33,0.0,-2.8,
大須賀咲香,仙台ベルフィーユ,1,80,76,583,180,30,30.9,25.7,1,0,0,16,285,16,16,99,486,296,0,0.0,2.37,0.21,12.9,60.9
天野ゆかり,三洋電機レッドソア,4,81,51,214,61,21,28.5,18.7,25,6,7,9,117,8,17,44,220,106,0,24.0,1.2,0.18,12.6,48.2
安井彩乃,日立リヴァーレ,7,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
