試合日,年月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2013-12-07,2013-12,近畿クラブスフィーダ,1,,濱本豊,3,■,■,■,,,26,14,2,0.5384615384615384,0.4615384615384616,4.67,10,4,1,40.0,1,0.33,10,1,1,4,20.0,0,0,0,-
2013-12-07,2013-12,近畿クラブスフィーダ,2,,梶野喜宏,3,■,■,■,,,3,2,0,0.6666666666666666,0.6666666666666666,0.67,0,0,0,-,1,0.33,11,0,0,3,6.8,0,0,0,-
2013-12-07,2013-12,近畿クラブスフィーダ,3,,河戸俊亮,3,■,■,■,,,9,5,0,0.5555555555555556,0.5555555555555556,1.67,0,0,0,-,3,1.00,7,0,0,5,17.9,0,0,0,-
2013-12-07,2013-12,近畿クラブスフィーダ,4,L,山田翔太,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,24,9,0,37.5
2013-12-07,2013-12,近畿クラブスフィーダ,6,,勝将哉,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,0.0,1,0,0,0.0
2013-12-07,2013-12,近畿クラブスフィーダ,9,,本多駿,3,■,■,■,,,16,6,2,0.375,0.25,2.00,3,1,2,33.3,4,1.33,15,0,1,7,11.7,30,15,0,50.0
2013-12-07,2013-12,近畿クラブスフィーダ,11,,片渕貴史,3,■,■,■,,,11,5,0,0.4545454545454545,0.4545454545454545,1.67,0,0,0,-,1,0.33,9,0,2,4,11.1,0,0,0,-
2013-12-07,2013-12,近畿クラブスフィーダ,12,,中田雄大,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-
2013-12-07,2013-12,近畿クラブスフィーダ,13,,南拓磨,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2013-12-07,2013-12,近畿クラブスフィーダ,14,,鳥越裕喜,3,■,■,■,,,18,5,1,0.2777777777777778,0.2222222222222222,1.67,1,1,0,100.0,5,1.67,17,1,2,10,20.6,11,6,0,54.5
2013-12-07,2013-12,近畿クラブスフィーダ,17,,牡丹僚太,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2013-12-07,2013-12,近畿クラブスフィーダ,27,,大谷充寛,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-
2013-12-07,2013-12,富士通カワサキレッドスピリッツ,1,,中川剛,3,■,■,■,,,26,7,3,0.2692307692307692,0.15384615384615385,2.33,12,4,2,33.3,1,0.33,8,0,2,3,9.4,0,0,0,-
