名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
モハメドカタブ,大分三好ヴァイセアドラー,4,76,74,550,271,39,49.3,42.2,212,110,16,27,301,31,88,111,2,0,0,51.9,3.66,0.36,12.2,0.0
三芳健斗,富士通カワサキレッドスピリッツ,6,42,8,13,9,1,69.2,61.5,0,0,0,4,14,0,1,7,0,0,0,,1.12,0.5,10.7,
上原大,トヨタ自動車サンホークス,10,62,46,340,147,47,43.2,29.4,4,2,0,19,143,2,17,47,18,10,0,50.0,3.2,0.41,6.6,55.6
上村駿,東京ヴェルディ,15,20,41,121,69,8,57.0,50.4,0,0,0,31,101,2,8,34,1,1,0,,1.68,0.76,8.4,100.0
下出谷剛生,近畿クラブスフィーダ,23,10,18,21,11,0,52.4,52.4,2,0,0,2,82,6,20,34,2,0,0,0.0,0.61,0.11,11.6,0.0
中島俊介,東京ヴェルディ,19,38,16,69,31,8,44.9,33.3,21,8,3,3,35,0,13,11,31,18,0,38.1,1.94,0.19,-1.4,58.1
中川剛,富士通カワサキレッドスピリッツ,1,67,56,460,188,57,40.9,28.5,215,82,38,12,204,13,27,81,0,0,0,38.1,3.36,0.21,13.0,
中村耕平,東京ヴェルディ,5,45,32,105,43,12,41.0,29.5,18,6,4,11,85,7,15,29,110,54,0,33.3,1.34,0.34,12.4,49.1
中村航太朗,警視庁フォートファイターズ,13,73,77,571,257,42,45.0,37.7,77,30,10,27,318,26,57,124,533,373,0,39.0,3.34,0.35,13.4,70.0
中沢敏浩,東京トヨペットグリーンスパークル,4,4,3,0,0,0,,,0,0,0,0,0,0,0,0,13,3,0,,0.0,0.0,,23.1
中田雄大,近畿クラブスフィーダ,12,70,19,3,2,0,66.7,66.7,0,0,0,1,28,0,2,11,0,0,0,,0.11,0.05,8.0,
中西優介,きんでんトリニティーブリッツ,16,42,7,0,0,0,,,0,0,0,0,9,0,1,4,1,1,0,,0.0,0.0,8.3,100.0
中道元貴,警視庁フォートファイターズ,14,73,77,22,14,1,63.6,59.1,0,0,0,22,383,21,52,197,3,0,0,,0.18,0.29,14.9,0.0
中道淑人,大同特殊鋼レッドスター,17,23,12,0,0,0,,,0,0,0,0,12,0,4,3,0,0,0,,0.0,0.0,-2.1,
丸山祥二,つくばユナイテッドSunGAIA,4,64,80,251,135,18,53.8,46.6,0,0,0,72,280,8,24,97,16,11,0,,1.69,0.9,9.4,68.8
二宮弘樹,トヨタ自動車サンホークス,14,62,2,13,4,4,30.8,0.0,2,1,0,1,6,0,1,1,3,0,0,50.0,2.0,0.5,0.0,0.0
五十嵐元,つくばユナイテッドSunGAIA,10,64,78,292,108,35,37.0,25.0,1,0,1,17,262,10,37,68,676,460,0,0.0,1.38,0.22,6.8,68.0
井上優人,兵庫デルフィーノ,1,43,61,203,75,18,36.9,28.1,1,0,0,29,170,3,33,54,3,2,0,0.0,1.23,0.48,4.9,66.7
