名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アルベスタチアーナ,JTマーヴェラス,3,42,59,10,101,826,328,74,39.7,30.8,104,44,12,36,392,20,45,103,404,265,0,384,42.3,3.25,0.36,8.8,65.6
コロンボレナタ,トヨタ車体クインシーズ,17,54,52,13,106,1446,619,91,42.8,36.5,273,115,29,36,316,13,31,88,12,7,0,668,42.1,5.84,0.34,8.6,58.3
トムローガン,久光製薬スプリングス,11,65,43,19,108,1208,467,98,38.7,30.5,204,72,23,59,383,18,62,101,695,483,0,544,35.3,4.32,0.55,7.2,69.5
ヌネスシダルカ,日立リヴァーレ,4,10,60,0,68,823,328,102,39.9,27.5,274,83,49,21,193,16,59,45,3,2,0,365,30.3,4.82,0.31,6.5,66.7
ハニーフタイーバ,パイオニアレッドウィングス,3,54,53,13,107,1373,553,107,40.3,32.5,356,136,35,30,347,18,32,131,4,3,0,601,38.2,5.17,0.28,12.3,75.0
フォフィーニャアナパウラ,NECレッドロケッツ,5,62,40,18,97,1217,442,79,36.3,29.8,243,68,33,49,387,18,21,161,300,198,0,509,28.0,4.56,0.51,13.7,66.0
ロンドンシンディ,デンソーエアリービーズ,28,52,44,14,93,1090,457,76,41.9,35.0,215,84,23,48,333,17,44,76,27,21,0,522,39.1,4.91,0.52,7.5,77.8
三上彩,久光製薬スプリングス,13,65,43,19,35,19,7,0,36.8,36.8,0,0,0,7,57,2,3,5,0,0,0,16,,0.2,0.2,4.4,
三澤由佳,武富士バンブー,14,38,46,10,9,0,0,0,,,0,0,0,0,13,0,3,2,0,0,0,0,,0.0,0.0,-1.9,
上村麻衣,デンソーエアリービーズ,13,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村かおり,日立リヴァーレ,19,16,81,0,80,0,0,0,,,0,0,0,0,40,2,5,17,263,181,0,2,,0.0,0.0,12.5,68.8
中村真美,NECレッドロケッツ,7,62,40,18,60,0,0,0,,,0,0,0,0,41,3,2,9,81,43,0,3,,0.0,0.0,11.6,53.1
中道瞳,東レアローズ,6,68,38,20,106,33,18,0,54.5,54.5,0,0,0,5,447,18,14,138,5,1,0,41,,0.17,0.05,11.0,20.0
久保雅,JTマーヴェラス,4,25,45,5,65,241,96,11,39.8,35.3,1,0,0,32,193,8,13,70,15,8,0,136,0.0,1.48,0.49,11.5,53.3
井上琴絵,JTマーヴェラス,20,42,59,10,101,0,0,0,,,0,0,0,0,0,0,0,0,487,330,0,0,,0.0,0.0,,67.8
井上香織,デンソーエアリービーズ,8,58,45,16,103,496,210,11,42.3,40.1,1,0,0,78,241,12,26,76,8,7,0,300,0.0,2.04,0.76,10.2,87.5
井西彩乃,日立リヴァーレ,8,16,81,0,45,233,67,18,28.8,21.0,0,0,0,2,103,8,7,36,255,151,0,77,,1.49,0.04,14.8,59.2
仁木希,久光製薬スプリングス,1,65,43,19,106,849,290,43,34.2,29.1,10,1,2,31,390,11,14,110,593,429,0,332,10.0,2.74,0.29,9.0,72.3
今村直美,武富士バンブー,10,49,54,13,103,0,0,0,,,0,0,0,0,0,0,0,0,661,467,0,0,,0.0,0.0,,70.7
今西郁瑠,トヨタ車体クインシーズ,2,54,52,13,91,478,190,25,39.7,34.5,5,2,0,14,293,20,44,84,490,318,0,224,40.0,2.09,0.15,10.2,64.9
今野加奈子,パイオニアレッドウィングス,8,22,18,6,3,1,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,
位田愛,JTマーヴェラス,15,42,59,10,89,542,187,26,34.5,29.7,0,0,0,14,230,8,14,59,807,590,0,209,,2.1,0.16,8.4,73.1
佐々木みき,パイオニアレッドウィングス,0,54,53,13,58,141,29,9,20.6,14.2,4,1,1,3,48,0,2,9,139,82,0,32,25.0,0.5,0.05,3.6,59.0
佐藤瞳,日立リヴァーレ,21,10,27,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤絵美,トヨタ車体クインシーズ,6,54,52,13,2,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
佐藤美耶,東レアローズ,11,68,38,20,43,8,1,0,12.5,12.5,0,0,0,1,18,1,6,1,0,0,0,3,,0.02,0.02,-1.4,
佐野優子,久光製薬スプリングス,10,65,43,19,108,0,0,0,,,0,0,0,0,0,0,0,0,499,407,0,0,,0.0,0.0,,81.6
先野久美子,久光製薬スプリングス,4,65,43,19,69,283,104,14,36.7,31.8,0,0,0,25,151,1,4,42,17,14,0,130,,1.51,0.36,7.0,82.4
八田奈都己,トヨタ車体クインシーズ,11,54,52,13,103,0,0,0,,,0,0,0,0,0,0,0,0,427,298,0,0,,0.0,0.0,,69.8
内田役子,パイオニアレッドウィングス,16,54,53,13,106,50,33,1,66.0,64.0,0,0,0,15,367,3,15,101,7,1,0,51,,0.31,0.14,6.7,14.3
内田暁子,NECレッドロケッツ,11,62,40,18,90,770,244,39,31.7,26.6,91,12,11,15,355,18,19,129,372,209,0,277,13.2,2.71,0.17,12.8,56.2
内藤香菜子,武富士バンブー,7,49,54,13,103,580,226,34,39.0,33.1,3,0,1,63,221,5,13,47,8,6,0,294,0.0,2.19,0.61,6.1,75.0
冨永こよみ,パイオニアレッドウィングス,24,54,53,13,62,104,37,5,35.6,30.8,0,0,0,15,91,6,7,26,102,49,0,58,,0.6,0.24,11.8,48.0
前田見奈子,トヨタ車体クインシーズ,7,54,52,13,60,100,43,8,43.0,35.0,1,0,0,14,206,2,10,60,4,4,0,59,0.0,0.72,0.23,7.0,100.0
加藤千尋,JTマーヴェラス,17,8,9,2,4,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
北村みどり,岡山シーガルズ,11,24,34,5,40,0,0,0,,,0,0,0,0,52,4,2,18,32,16,0,4,,0.0,0.0,15.4,50.0
南早希,パイオニアレッドウィングス,6,19,23,5,18,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
卜部里菜,岡山シーガルズ,22,1,3,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
及川英香,トヨタ車体クインシーズ,19,40,29,11,48,35,17,2,48.6,42.9,0,0,0,8,60,0,2,8,4,0,0,25,,0.35,0.17,2.5,0.0
吉澤智恵,武富士バンブー,1,49,54,13,102,906,294,76,32.5,24.1,25,5,3,17,328,3,17,71,491,332,0,314,20.0,2.88,0.17,5.0,67.6
吉田あい,日立リヴァーレ,3,16,81,0,75,0,0,0,,,0,0,0,0,0,0,0,0,207,147,0,0,,0.0,0.0,,71.0
吉田みなみ,岡山シーガルズ,1,52,55,13,79,0,0,0,,,0,0,0,0,0,0,0,0,365,223,0,0,,0.0,0.0,,61.1
吉田真未,パイオニアレッドウィングス,20,54,53,13,107,0,0,0,,,0,0,0,0,0,0,0,0,482,333,0,0,,0.0,0.0,,69.1
和田麻里江,東レアローズ,13,51,32,15,5,10,3,2,30.0,10.0,0,0,0,1,0,0,0,0,0,0,0,4,,0.6,0.2,,
坂下麻衣子,JTマーヴェラス,1,42,59,10,78,496,160,20,32.3,28.2,115,31,7,23,111,4,21,24,4,3,0,187,27.0,2.05,0.29,4.3,75.0
