名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
トムローガン,2009-04,久光製薬スプリングス,11,3,34,10,2,29.4,23.5,7,0,0,0,6,0,2,2,19,8,0,10,0.0,3.33,0.0,0.0,42.1
フォフィーニャアナパウラ,2009-04,NECレッドロケッツ,5,5,49,13,5,26.5,16.3,10,3,0,5,15,0,0,7,37,21,0,18,30.0,2.6,1.0,11.7,56.8
ロンドンシンディ,2009-04,デンソーエアリービーズ,28,5,63,21,5,33.3,25.4,7,1,2,1,17,1,3,4,0,0,0,23,14.3,4.2,0.2,7.4,
三上彩,2009-04,久光製薬スプリングス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村真美,2009-04,NECレッドロケッツ,7,1,0,0,0,,,0,0,0,0,0,0,0,0,6,3,0,0,,0.0,0.0,,50.0
中道瞳,2009-04,東レアローズ,6,3,4,2,1,50.0,25.0,0,0,0,0,13,1,0,5,0,0,0,3,,0.67,0.0,17.3,
井上香織,2009-04,デンソーエアリービーズ,8,5,24,8,0,33.3,33.3,0,0,0,1,22,1,1,8,1,0,0,10,,1.6,0.2,12.5,0.0
仁木希,2009-04,久光製薬スプリングス,1,3,21,3,1,14.3,9.5,0,0,0,2,5,0,0,2,22,16,0,5,,1.0,0.67,10.0,72.7
佐藤美耶,2009-04,東レアローズ,11,2,0,0,0,,,0,0,0,0,3,0,1,1,0,0,0,0,,0.0,0.0,0.0,
佐野優子,2009-04,久光製薬スプリングス,10,3,0,0,0,,,0,0,0,0,0,0,0,0,9,6,0,0,,0.0,0.0,,66.7
先野久美子,2009-04,久光製薬スプリングス,4,1,2,2,0,100.0,100.0,0,0,0,0,2,0,0,0,0,0,0,2,,2.0,0.0,0.0,
内田暁子,2009-04,NECレッドロケッツ,11,1,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
大山加奈,2009-04,東レアローズ,3,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
大山未希,2009-04,東レアローズ,7,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
大村加奈子,2009-04,久光製薬スプリングス,8,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
大槻真弥,2009-04,デンソーエアリービーズ,14,4,0,0,0,,,0,0,0,0,0,0,0,0,7,6,0,0,,0.0,0.0,,85.7
奥田恭子,2009-04,デンソーエアリービーズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
安藤典莉子,2009-04,NECレッドロケッツ,18,2,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
宮田由佳里,2009-04,東レアローズ,18,3,10,5,0,50.0,50.0,0,0,0,3,11,1,1,3,0,0,0,9,,1.67,1.0,13.6,
小山修加,2009-04,久光製薬スプリングス,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小松崎佐代子,2009-04,東レアローズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山本愛,2009-04,久光製薬スプリングス,3,3,11,2,0,18.2,18.2,0,0,0,1,8,0,1,3,2,1,0,3,,0.67,0.33,6.2,50.0
岡野知子,2009-04,デンソーエアリービーズ,5,5,31,9,1,29.0,25.8,0,0,0,3,16,1,1,4,24,12,0,13,,1.8,0.6,10.9,50.0
平井香菜子,2009-04,久光製薬スプリングス,9,3,9,1,2,11.1,-11.1,0,0,0,1,5,0,0,2,0,0,0,2,,0.33,0.33,10.0,
座安琴希,2009-04,久光製薬スプリングス,19,2,0,0,0,,,0,0,0,0,0,0,0,0,7,7,0,0,,0.0,0.0,,100.0
張越紅,2009-04,東レアローズ,9,3,39,13,1,33.3,30.8,2,0,0,3,20,1,2,8,0,0,0,17,0.0,4.33,1.0,12.5,
成田郁久美,2009-04,NECレッドロケッツ,6,5,0,0,0,,,0,0,0,0,0,0,0,0,16,10,0,0,,0.0,0.0,,62.5
有田沙織,2009-04,NECレッドロケッツ,9,5,47,25,1,53.2,51.1,5,2,1,1,15,2,1,7,0,0,0,28,40.0,5.0,0.2,23.3,
木村沙織,2009-04,東レアローズ,10,3,33,12,2,36.4,30.3,2,0,0,2,11,1,1,0,20,14,0,15,0.0,4.0,0.67,6.8,70.0
