大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,東レアローズ,48,91,1135,480,63,42.3,134,56,14,41.8,5.27,44,0.48,343,5,14,33,103,10.6,40,14,11,48.8,480,44,19,543
スターカンファレンス,東レアローズ,15,57,674,288,44,42.7,80,35,10,43.8,5.05,26,0.46,214,3,10,18,68,11.9,40,14,11,48.8,288,26,13,327
交流戦,東レアローズ,6,21,292,118,13,40.4,34,13,3,38.2,5.62,14,0.67,77,1,3,11,18,7.5,0,0,0,-,118,14,4,136
ファイナル８・Ａグループ,東レアローズ,3,13,169,74,6,43.8,20,8,1,40.0,5.69,4,0.31,52,1,1,4,17,10.1,0,0,0,-,74,4,2,80
V.LEAGUE DIVISION1 WOMEN 2018-19,東レアローズ,33,126,1717,766,92,44.6,280,127,28,45.4,6.08,89,0.71,437,4,24,35,144,12.6,83,30,19,47.6,766,89,28,883
Western Conference,東レアローズ,8,33,418,196,23,46.9,64,25,6,39.1,5.94,26,0.79,96,1,7,10,35,14.8,27,8,7,42.6,196,26,8,230
交流戦,東レアローズ,12,46,596,269,32,45.1,81,40,7,49.4,5.85,31,0.67,176,3,11,18,60,13.9,56,22,12,50.0,269,31,14,314
ファイナル８,東レアローズ,7,28,405,167,19,41.2,78,36,8,46.2,5.96,22,0.79,94,0,3,3,28,9.8,0,0,0,-,167,22,3,192
ファイナル３,東レアローズ,3,10,147,65,10,44.2,30,11,4,36.7,6.5,7,0.7,40,0,3,3,9,11.2,0,0,0,-,65,7,3,75
ファイナル,東レアローズ,3,9,151,69,8,45.7,27,15,3,55.6,7.67,3,0.33,31,0,0,1,12,8.9,0,0,0,-,69,3,0,72
レギュラーシーズン通算,,41,157,1980,871,112,44.0,259,113,26,43.6,5.55,97,0.62,563,8,31,57,181,12.4,123,44,30,48.0,871,97,39,1007
通算,,81,217,2852,1246,155,43.7,414,183,42,44.2,5.74,133,0.61,780,9,38,68,247,11.8,123,44,30,48.0,1246,133,47,1426
