試合日,月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2008-03-28,03,東レアローズ,パナソニックパンサーズ,1,,富松崇彰,4,■,■,■,■,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,18,1,2,7,15.3,1,1,0,100.0,1
2008-03-28,03,東レアローズ,パナソニックパンサーズ,2,L,田辺修,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,13,0,81.2,0
2008-03-28,03,東レアローズ,パナソニックパンサーズ,5,,笠原紀久,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,0,0.0,0,0,0,-,0
2008-03-28,03,東レアローズ,パナソニックパンサーズ,7,,齋藤信治,3,□,nan,nan,□,■,2,2,0,100.0,100.0,0.67,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-,2
2008-03-28,03,東レアローズ,パナソニックパンサーズ,8,,高杉洋平,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,1,2,8.3,0,0,0,-,0
2008-03-28,03,東レアローズ,パナソニックパンサーズ,9,,阿部裕太,5,■,■,■,■,■,2,0,0,0.0,0.0,-,0,0,0,-,2,0.40,12,0,1,3,6.2,0,0,0,-,2
2008-03-28,03,東レアローズ,パナソニックパンサーズ,10,,越谷章,5,■,■,■,■,□,15,9,0,60.0,60.0,1.80,0,0,0,-,0,-,9,0,1,0,0.0,42,35,0,83.3,9
2008-03-28,03,東レアローズ,パナソニックパンサーズ,11,,アラウジョダシルバレアンドロ,5,■,■,■,■,■,57,25,4,43.9,36.8,5.00,22,11,2,50.0,1,0.20,21,3,9,5,18.3,0,0,0,-,29
2008-03-28,03,東レアローズ,パナソニックパンサーズ,14,,今田祐介,5,■,■,■,■,■,29,15,2,51.7,44.8,3.00,1,0,0,0.0,3,0.60,15,0,3,1,1.7,17,11,0,64.7,18
2008-03-28,03,東レアローズ,パナソニックパンサーズ,17,,篠田歩,5,■,■,■,■,■,7,3,3,42.9,0.0,0.60,0,0,0,-,4,0.80,9,0,0,0,0.0,0,0,0,-,7
2008-03-28,03,東レアローズ,パナソニックパンサーズ,18,,米山裕太,2,nan,nan,nan,□,■,4,1,0,25.0,25.0,0.50,0,0,0,-,2,1.00,4,0,0,1,6.2,13,8,0,61.5,3
2008-03-28,03,東レアローズ,パナソニックパンサーズ,20,,山本太二,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2008-03-28,03,パナソニックパンサーズ,東レアローズ,2,,宇佐美大輔,5,■,■,■,■,■,3,2,0,66.7,66.7,0.40,0,0,0,-,1,0.20,14,0,6,1,1.8,0,0,0,-,3
2008-03-28,03,パナソニックパンサーズ,東レアローズ,3,,フォンテレスフェリペ,5,■,■,■,■,■,38,21,5,55.3,42.1,4.20,11,8,1,72.7,4,0.80,16,1,6,6,14.4,28,21,0,75.0,26
2008-03-28,03,パナソニックパンサーズ,東レアローズ,4,,今井啓介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2008-03-28,03,パナソニックパンサーズ,東レアローズ,5,,山本隆弘,5,■,■,■,■,■,52,28,4,53.8,46.2,5.60,19,9,2,47.4,3,0.60,16,0,6,4,6.2,0,0,0,-,31
2008-03-28,03,パナソニックパンサーズ,東レアローズ,6,,白澤健児,5,■,■,■,■,■,9,4,1,44.4,33.3,0.80,0,0,0,-,2,0.40,15,0,1,2,3.3,5,4,0,80.0,6
2008-03-28,03,パナソニックパンサーズ,東レアローズ,7,,岩田正之,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2008-03-28,03,パナソニックパンサーズ,東レアローズ,8,,川村慎二,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,7,0,0,2,7.1,0,0,0,-,0
2008-03-28,03,パナソニックパンサーズ,東レアローズ,12,,森田亜貴斗,5,■,■,■,■,■,7,3,0,42.9,42.9,0.60,0,0,0,-,3,0.60,12,0,1,0,0.0,3,3,0,100.0,6
2008-03-28,03,パナソニックパンサーズ,東レアローズ,13,,枩田優介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2008-03-28,03,パナソニックパンサーズ,東レアローズ,14,,小糸敬夫,5,□,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,13,1,0,2,11.5,0,0,0,-,1
2008-03-28,03,パナソニックパンサーズ,東レアローズ,17,L,永野健,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,12,0,70.6,0
2008-03-28,03,パナソニックパンサーズ,東レアローズ,18,,谷村孝,5,■,■,■,■,■,10,6,1,60.0,50.0,1.20,0,0,0,-,3,0.60,17,0,0,3,4.4,32,23,0,71.9,9
2008-03-28,03,サントリーサンバーズ,堺ブレイザーズ,1,,山村宏太,3,■,■,■,nan,nan,9,6,0,66.7,66.7,2.00,0,0,0,-,0,-,12,0,0,4,8.3,0,0,0,-,6
2008-03-28,03,サントリーサンバーズ,堺ブレイザーズ,3,,坂本雄一郎,3,■,■,■,nan,nan,7,5,1,71.4,57.1,1.67,0,0,0,-,2,0.67,7,1,0,3,22.1,1,1,0,100.0,8
2008-03-28,03,サントリーサンバーズ,堺ブレイザーズ,4,,吉田譲,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,8.3,0,0,0,-,0
2008-03-28,03,サントリーサンバーズ,堺ブレイザーズ,6,,栗原圭介,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,11,0,2,3,6.8,0,0,0,-,0
2008-03-28,03,サントリーサンバーズ,堺ブレイザーズ,7,,越川優,3,■,■,■,nan,nan,18,13,2,72.2,61.1,4.33,8,5,1,62.5,1,0.33,14,3,3,1,21.8,17,11,0,64.7,17
2008-03-28,03,サントリーサンバーズ,堺ブレイザーズ,8,,レオナルドメロ,3,■,■,■,nan,nan,21,11,2,52.4,42.9,3.67,6,3,1,50.0,1,0.33,14,1,2,3,11.1,0,0,0,-,13
2008-03-28,03,サントリーサンバーズ,堺ブレイザーズ,9,,桑田鎮典,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,1,0,50.0,0
2008-03-28,03,サントリーサンバーズ,堺ブレイザーズ,10,,荻野正二,3,■,■,■,nan,nan,12,6,0,50.0,50.0,2.00,1,0,0,0.0,0,-,12,0,0,2,4.2,18,13,0,72.2,6
2008-03-28,03,サントリーサンバーズ,堺ブレイザーズ,11,L,津曲勝利,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,5,0,50.0,0
2008-03-28,03,サントリーサンバーズ,堺ブレイザーズ,12,,木原丈裕,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2008-03-28,03,サントリーサンバーズ,堺ブレイザーズ,17,,阿南卓,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2008-03-28,03,サントリーサンバーズ,堺ブレイザーズ,19,,冨士田裕大,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2008-03-28,03,堺ブレイザーズ,サントリーサンバーズ,1,,澤畠雄一郎,3,■,■,■,nan,nan,10,2,0,20.0,20.0,0.67,0,0,0,-,1,0.33,8,0,0,2,6.2,1,0,0,0.0,3
2008-03-28,03,堺ブレイザーズ,サントリーサンバーズ,3,,石島雄介,3,■,■,■,nan,nan,11,6,1,54.5,45.5,2.00,3,3,0,100.0,0,-,8,0,0,0,0.0,18,9,0,50.0,6
2008-03-28,03,堺ブレイザーズ,サントリーサンバーズ,4,,北島武,3,■,■,■,nan,nan,16,6,2,37.5,25.0,2.00,6,3,0,50.0,2,0.67,9,1,2,2,16.7,25,18,0,72.0,9
2008-03-28,03,堺ブレイザーズ,サントリーサンバーズ,5,,朝長孝介,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2008-03-28,03,堺ブレイザーズ,サントリーサンバーズ,6,,千葉進也,1,nan,nan,□,nan,nan,3,2,0,66.7,66.7,2.00,0,0,0,-,0,-,3,0,1,0,0.0,5,5,0,100.0,2
2008-03-28,03,堺ブレイザーズ,サントリーサンバーズ,7,,エンダキエムブレイ,3,■,■,■,nan,nan,31,17,5,54.8,38.7,5.67,18,11,4,61.1,1,0.33,12,1,3,5,17.1,0,0,0,-,19
2008-03-28,03,堺ブレイザーズ,サントリーサンバーズ,8,,金井修也,3,■,■,■,nan,nan,1,0,1,0.0,-100.0,-,0,0,0,-,1,0.33,7,1,2,1,15.0,1,0,0,0.0,2
