名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アラウジョダシルバレアンドロ,2008-03,東レアローズ,11,9,13,149,71,21,47.7,33.6,76,35,13,3,49,4,18,12,0,0,0,78,46.1,5.46,0.23,5.1,
エンダキエムブレイ,2008-03,堺ブレイザーズ,7,9,12,123,55,14,44.7,33.3,61,33,8,2,49,4,15,14,0,0,0,61,54.1,4.58,0.17,7.7,
フォンテレスフェリペ,2008-03,パナソニックパンサーズ,3,9,14,115,60,17,52.2,37.4,36,22,4,8,45,1,19,15,73,55,0,69,61.1,4.29,0.57,0.0,75.3
レオナルドメロ,2008-03,サントリーサンバーズ,8,9,11,103,45,10,43.7,34.0,45,16,8,5,45,2,9,8,0,0,0,52,35.6,4.09,0.45,3.9,
久保尚志,2008-03,パナソニックパンサーズ,11,3,3,0,0,0,,,0,0,0,0,4,0,2,1,0,0,0,0,,0.0,0.0,-6.2,
今井啓介,2008-03,パナソニックパンサーズ,4,9,3,2,0,0,0.0,0.0,0,0,0,2,4,0,0,2,0,0,0,2,,0.0,0.67,12.5,
今田祐介,2008-03,東レアローズ,14,9,7,42,19,4,45.2,35.7,3,1,0,4,19,0,6,1,21,13,0,23,33.3,2.71,0.57,-6.6,61.9
伊藤信博,2008-03,堺ブレイザーズ,15,9,12,37,15,2,40.5,35.1,0,0,0,6,32,0,6,9,1,1,0,21,,1.25,0.5,2.3,100.0
冨士田裕大,2008-03,サントリーサンバーズ,19,9,1,0,0,0,,,0,0,0,0,2,0,0,2,0,0,0,0,,0.0,0.0,25.0,
北島武,2008-03,堺ブレイザーズ,4,9,12,58,25,5,43.1,34.5,14,7,2,2,37,1,10,7,109,55,0,28,50.0,2.08,0.17,0.7,50.5
千葉進也,2008-03,堺ブレイザーズ,6,9,3,8,2,0,25.0,25.0,0,0,0,0,4,0,1,0,13,8,0,2,,0.67,0.0,-6.2,61.5
吉田譲,2008-03,サントリーサンバーズ,4,9,8,0,0,0,,,0,0,0,0,8,0,3,3,0,0,0,0,,0.0,0.0,0.0,
坂本雄一郎,2008-03,サントリーサンバーズ,3,9,11,24,16,3,66.7,54.2,0,0,0,8,28,1,2,9,1,1,0,25,,1.45,0.73,9.8,100.0
増野彰,2008-03,堺ブレイザーズ,11,9,12,0,0,0,,,0,0,0,0,0,0,0,0,50,35,0,0,,0.0,0.0,,70.0
大道大輔,2008-03,堺ブレイザーズ,18,9,9,19,10,0,52.6,52.6,0,0,0,3,34,1,1,8,4,3,0,14,,1.11,0.33,8.1,75.0
宇佐美大輔,2008-03,パナソニックパンサーズ,2,9,13,3,2,0,66.7,66.7,0,0,0,2,28,0,8,6,0,0,0,4,,0.15,0.15,-1.8,
富松崇彰,2008-03,東レアローズ,1,9,12,20,8,4,40.0,20.0,0,0,0,8,36,2,6,12,1,1,0,18,,0.67,0.67,9.7,100.0
小糸敬夫,2008-03,パナソニックパンサーズ,14,9,11,0,0,0,,,0,0,0,0,25,1,0,9,0,0,0,1,,0.0,0.0,13.0,
山本太二,2008-03,東レアローズ,20,9,3,0,0,0,,,0,0,0,1,4,0,0,3,0,0,0,1,,0.0,0.33,18.8,
山本隆弘,2008-03,パナソニックパンサーズ,5,9,14,144,72,11,50.0,42.4,57,26,7,4,53,2,12,24,0,0,0,78,45.6,5.14,0.29,9.4,
山村宏太,2008-03,サントリーサンバーズ,1,9,11,31,15,1,48.4,45.2,0,0,0,4,39,0,1,11,0,0,0,19,,1.36,0.36,6.4,
岩田正之,2008-03,パナソニックパンサーズ,7,9,6,0,0,0,,,0,0,0,0,19,1,0,8,1,0,0,1,,0.0,0.0,15.8,0.0
川村慎二,2008-03,パナソニックパンサーズ,8,9,9,9,4,0,44.4,44.4,1,1,0,1,17,0,2,6,26,16,0,5,100.0,0.44,0.11,5.9,61.5
朝長孝介,2008-03,堺ブレイザーズ,5,9,6,0,0,0,,,0,0,0,1,15,1,0,6,0,0,0,2,,0.0,0.17,16.7,
木内学,2008-03,堺ブレイザーズ,10,9,2,1,0,1,0.0,-100.0,1,0,1,0,3,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
木原丈裕,2008-03,サントリーサンバーズ,12,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
枩田優介,2008-03,パナソニックパンサーズ,13,6,1,1,0,1,0.0,-100.0,0,0,0,1,1,0,0,0,1,1,0,1,,0.0,1.0,0.0,100.0
栗原圭介,2008-03,サントリーサンバーズ,6,9,11,0,0,0,,,0,0,0,2,36,0,3,9,1,0,0,2,,0.0,0.18,4.2,0.0
桑田鎮典,2008-03,サントリーサンバーズ,9,9,8,11,4,1,36.4,27.3,0,0,0,0,20,0,1,3,57,35,0,4,,0.5,0.0,2.5,61.4
森田亜貴斗,2008-03,パナソニックパンサーズ,12,9,13,25,12,1,48.0,44.0,0,0,0,5,29,0,1,8,4,3,0,17,,0.92,0.38,6.0,75.0
永野健,2008-03,パナソニックパンサーズ,17,9,14,0,0,0,,,0,0,0,0,0,0,0,0,42,29,0,0,,0.0,0.0,,69.0
津曲勝利,2008-03,サントリーサンバーズ,11,9,11,0,0,0,,,0,0,0,0,0,0,0,0,40,27,0,0,,0.0,0.0,,67.5
澤畠雄一郎,2008-03,堺ブレイザーズ,1,9,4,10,2,0,20.0,20.0,0,0,0,1,11,1,0,2,1,0,0,4,,0.5,0.25,13.6,0.0
田辺修,2008-03,東レアローズ,2,9,13,0,0,0,,,0,0,0,0,0,0,0,0,47,39,0,0,,0.0,0.0,,83.0
白澤健児,2008-03,パナソニックパンサーズ,6,9,14,22,12,2,54.5,45.5,0,0,0,6,40,2,2,10,8,7,0,20,,0.86,0.43,10.0,87.5
石島雄介,2008-03,堺ブレイザーズ,3,9,12,61,27,7,44.3,32.8,8,6,1,5,34,0,2,5,51,27,0,32,75.0,2.25,0.42,2.2,52.9
笠原紀久,2008-03,東レアローズ,5,9,7,0,0,0,,,0,0,0,0,10,0,0,1,0,0,0,0,,0.0,0.0,2.5,
篠田歩,2008-03,東レアローズ,17,9,13,38,22,5,57.9,44.7,0,0,0,8,50,0,0,18,4,2,0,30,,1.69,0.62,9.0,50.0
米山裕太,2008-03,東レアローズ,18,9,9,36,17,2,47.2,41.7,1,0,0,5,35,0,1,4,28,19,0,22,0.0,1.89,0.56,2.1,67.9
荻野正二,2008-03,サントリーサンバーズ,10,9,7,28,7,0,25.0,25.0,1,0,0,4,22,0,2,2,54,40,0,11,0.0,1.0,0.57,0.0,74.1
西尾太作,2008-03,堺ブレイザーズ,16,9,4,6,1,1,16.7,0.0,6,1,1,0,4,0,2,0,0,0,0,1,16.7,0.25,0.0,-12.5,
谷村孝,2008-03,パナソニックパンサーズ,18,9,13,30,22,2,73.3,66.7,1,0,1,4,39,0,3,7,91,58,0,26,0.0,1.69,0.31,2.6,63.7
越川優,2008-03,サントリーサンバーズ,7,9,11,86,51,8,59.3,50.0,34,19,4,4,46,5,7,12,52,34,0,60,55.9,4.64,0.36,13.6,65.4
越谷章,2008-03,東レアローズ,10,9,13,47,22,2,46.8,42.6,1,1,0,2,40,2,4,6,134,106,0,26,100.0,1.69,0.15,6.2,79.1
金井修也,2008-03,堺ブレイザーズ,8,9,9,3,2,1,66.7,33.3,0,0,0,2,21,1,3,2,1,0,0,5,,0.22,0.22,3.6,0.0
阿南卓,2008-03,サントリーサンバーズ,17,9,7,1,0,0,0.0,0.0,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
