名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エンダキエムブレイ,堺ブレイザーズ,7,129,103,921,477,91,51.8,41.9,276,147,45,54,363,37,110,96,4,2,0,568,53.3,4.63,0.52,9.2,50.0
オンソムデニスモクア,大分三好ヴァイセアドラー,10,129,90,1052,425,120,40.4,29.0,436,178,69,24,308,4,51,77,2,1,0,453,40.8,4.72,0.27,3.4,50.0
オーリマンマイケル,豊田合成トレフェルサ,16,116,85,690,299,103,43.3,28.4,268,118,53,25,293,24,93,75,3,3,0,348,44.0,3.52,0.29,6.7,100.0
ゴメスエルナルド,JTサンダーズ,15,129,107,1225,594,103,48.5,40.1,502,231,48,58,385,22,81,128,3,1,0,674,46.0,5.55,0.54,8.8,33.3
デジデリオダニエル,NECブルーロケッツ,23,129,102,781,339,47,43.4,37.4,234,114,16,51,369,18,62,113,155,86,0,408,48.7,3.32,0.5,8.3,55.5
フォンテレスフェリペ,パナソニックパンサーズ,3,126,103,724,379,88,52.3,40.2,146,74,30,58,361,25,114,118,629,436,0,462,50.7,3.68,0.56,7.2,69.3
ボヨビッチデヤン,東レアローズ,12,129,105,1040,544,77,52.3,44.9,410,201,41,57,414,26,109,115,0,0,0,627,49.0,5.18,0.54,6.6,
レオナルドメロ,サントリーサンバーズ,8,120,89,803,420,79,52.3,42.5,325,160,44,47,298,6,68,77,1,1,0,473,49.2,4.72,0.53,2.8,100.0
三上圭治郎,NECブルーロケッツ,9,123,47,228,94,34,41.2,26.3,46,22,8,8,150,3,31,36,422,301,0,105,47.8,2.0,0.17,2.8,71.3
上田剛史,サントリーサンバーズ,5,92,4,24,5,0,20.8,20.8,10,2,0,1,6,0,0,1,0,0,0,6,20.0,1.25,0.25,4.2,
中山大祐,JTサンダーズ,8,74,23,12,4,1,33.3,25.0,2,1,0,1,19,1,5,4,38,25,0,6,50.0,0.17,0.04,3.9,65.8
中村紘二,大分三好ヴァイセアドラー,8,129,89,231,112,17,48.5,41.1,8,1,2,11,183,5,19,32,449,305,0,128,12.5,1.26,0.12,4.5,67.9
中西了将,NECブルーロケッツ,18,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
丸山祥二,豊田合成トレフェルサ,18,2,4,10,6,3,60.0,30.0,0,0,0,3,11,1,1,5,1,1,0,10,,1.5,0.75,18.2,100.0
丹山禎昭,JTサンダーズ,5,108,39,2,0,0,0.0,0.0,0,0,0,7,42,1,5,7,2,0,0,8,,0.0,0.18,3.6,0.0
久保尚志,パナソニックパンサーズ,11,124,68,0,0,0,,,0,0,0,0,110,5,24,34,0,0,0,5,,0.0,0.0,6.8,
二木健太,サントリーサンバーズ,14,55,10,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
五十嵐元,豊田合成トレフェルサ,12,34,5,4,2,0,50.0,50.0,0,0,0,0,8,1,1,2,7,3,0,3,,0.4,0.0,15.6,42.9
井上俊輔,JTサンダーズ,19,109,67,14,8,1,57.1,50.0,0,0,0,6,31,0,6,6,1,0,0,14,,0.12,0.09,0.0,0.0
井上崇昭,豊田合成トレフェルサ,8,69,33,97,52,5,53.6,48.5,27,17,3,8,42,2,5,14,36,18,0,62,63.0,1.58,0.24,10.1,50.0
井上裕介,堺ブレイザーズ,2,129,91,0,0,0,,,0,0,0,0,0,0,0,0,414,279,0,0,,0.0,0.0,,67.4
今井啓介,パナソニックパンサーズ,4,90,22,26,11,3,42.3,30.8,13,6,3,3,19,0,1,3,0,0,0,14,46.2,0.5,0.14,2.6,
今田祐介,東レアローズ,14,129,64,306,154,30,50.3,40.5,45,25,10,25,211,9,42,62,185,114,0,188,55.6,2.41,0.39,6.6,61.6
伊藤信博,堺ブレイザーズ,15,129,97,241,131,14,54.4,48.5,1,0,0,47,272,12,73,73,5,3,0,190,0.0,1.35,0.48,4.4,60.0
佐別當賢治,サントリーサンバーズ,15,127,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤和哉,豊田合成トレフェルサ,17,83,27,19,14,0,73.7,73.7,0,0,0,4,32,1,0,8,0,0,0,19,,0.52,0.15,9.4,
内冨寛法,JTサンダーズ,17,4,3,0,0,0,,,0,0,0,0,5,0,3,0,0,0,0,0,,0.0,0.0,-15.0,
