名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アルタモノワエブゲーニャ,武富士バンブー,15,11,165,83,11,50.3,43.6,51,19,7,7,54,6,5,19,64,44,0,96,37.3,7.55,0.64,17.6,68.8
ゴルボビッチミラ,東レアローズ,20,10,50,28,0,56.0,56.0,0,0,0,5,33,2,2,2,2,2,0,35,,2.8,0.5,6.1,100.0
フールマンフランシーヌ,久光製薬スプリングス,33,10,82,32,6,39.0,31.7,15,10,2,5,23,1,1,4,14,11,0,38,66.7,3.2,0.5,7.6,78.6
上田かおり,東レアローズ,4,7,33,14,1,42.4,39.4,0,0,0,3,33,1,0,5,0,0,0,18,,2.0,0.43,6.8,
五十川葉子,東レアローズ,8,5,7,0,0,0.0,0.0,0,0,0,0,0,0,0,0,7,4,0,0,,0.0,0.0,,57.1
井村仁美,武富士バンブー,17,11,2,1,0,50.0,50.0,1,0,0,0,41,0,5,7,1,0,0,1,0.0,0.09,0.0,1.2,0.0
仁木希,NECレッドロケッツ,5,11,107,48,5,44.9,40.2,1,0,0,5,37,0,0,7,66,54,0,53,0.0,4.36,0.45,4.7,81.8
佐々木雅子,武富士バンブー,6,8,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
佐野優子,東レアローズ,6,10,0,0,0,,,0,0,0,0,0,0,0,0,44,37,0,0,,0.0,0.0,,84.1
先野久美子,久光製薬スプリングス,4,10,47,20,2,42.6,38.3,0,0,0,4,34,1,3,6,0,0,0,25,,2.0,0.4,5.1,
内藤香菜子,武富士バンブー,11,11,41,11,2,26.8,22.0,1,0,0,7,38,1,4,11,46,31,0,19,0.0,1.0,0.64,7.2,67.4
冨田寧寧,東レアローズ,14,4,18,4,2,22.2,11.1,0,0,0,3,18,0,1,3,0,0,0,7,,1.0,0.75,2.8,
吉澤智恵,武富士バンブー,18,7,4,1,1,25.0,0.0,0,0,0,0,3,0,3,0,8,8,0,1,,0.14,0.0,-25.0,100.0
向井久子,東レアローズ,3,2,23,4,1,17.4,13.0,0,0,0,0,7,0,2,1,3,2,0,4,,2.0,0.0,-3.6,66.7
和久山志恵里,武富士バンブー,3,11,0,0,0,,,0,0,0,0,0,0,0,0,35,27,0,0,,0.0,0.0,,77.1
大村加奈子,久光製薬スプリングス,8,10,91,25,4,27.5,23.1,1,0,0,5,27,0,3,2,5,2,0,30,0.0,2.5,0.5,-0.9,40.0
大貫美奈子,NECレッドロケッツ,3,11,7,2,1,28.6,14.3,0,0,0,1,62,6,4,18,0,0,0,9,,0.18,0.09,15.3,
小山修加,久光製薬スプリングス,16,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
小玉佐知子,東レアローズ,5,10,3,1,0,33.3,33.3,0,0,0,0,29,0,1,2,1,0,0,1,,0.1,0.0,0.9,0.0
小谷弘美,武富士バンブー,1,11,39,13,2,33.3,28.2,0,0,0,6,35,0,0,9,3,3,0,19,,1.18,0.55,6.4,100.0
山下祐美子,武富士バンブー,2,6,22,9,2,40.9,31.8,0,0,0,1,1,0,0,0,1,1,0,10,,1.5,0.17,0.0,100.0
山崎望美,東レアローズ,11,9,0,0,0,,,0,0,0,0,4,0,0,0,0,0,0,0,,0.0,0.0,0.0,
山本愛,NECレッドロケッツ,8,11,54,29,7,53.7,40.7,2,1,0,9,29,1,2,8,3,2,0,39,50.0,2.64,0.82,8.6,66.7
川原恵,武富士バンブー,7,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
有田佳織,NECレッドロケッツ,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
木村久美,東レアローズ,2,10,31,8,3,25.8,16.1,0,0,0,7,30,0,6,3,52,37,0,15,,0.8,0.7,-2.5,71.2
杉山祥子,NECレッドロケッツ,6,11,45,17,4,37.8,28.9,4,0,0,15,46,2,1,9,1,0,0,34,0.0,1.55,1.36,8.7,0.0
松崎さ代子,NECレッドロケッツ,11,11,51,16,6,31.4,19.6,0,0,0,3,18,2,4,7,0,0,0,21,,1.45,0.27,15.3,
梅尾千草,NECレッドロケッツ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
橋本由紀子,久光製薬スプリングス,3,10,0,0,0,,,0,0,0,0,0,0,0,0,61,46,0,0,,0.0,0.0,,75.4
