名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エバデダンジェフリー宇意,富士通カワサキレッドスピリッツ,1,33,2,11,25,96,60,5,62.5,57.3,0,0,0,12,57,2,6,13,9,5,3,74,,2.4,0.48,6.6,72.2
マシューパロット,兵庫デルフィーノ,21,7,29,1,34,305,110,22,36.1,28.9,50,11,9,16,113,2,27,15,218,84,63,128,22.0,3.24,0.47,-0.9,53.0
三木裕人,きんでんトリニティーブリッツ,18,8,25,1,26,64,23,6,35.9,26.6,6,1,0,0,72,2,8,13,155,69,47,25,16.7,0.88,0.0,4.5,59.7
三浦一真,埼玉アザレア,18,6,1,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
三浦拓,サフィルヴァ北海道,10,4,10,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
三角尚久,長野GaRons,3,20,15,6,35,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三角昌弘,東京ヴェルディ,3,16,18,5,22,0,0,0,,,0,0,0,0,0,0,0,0,76,34,21,0,,0.0,0.0,,58.6
上出哲也,ヴィアティン三重,21,11,13,3,13,41,22,2,53.7,48.8,0,0,0,3,37,1,1,5,2,0,2,26,,1.69,0.23,5.4,50.0
上場雄也,つくばユナイテッドSunGAIA,1,19,21,5,37,443,219,40,49.4,40.4,163,77,21,14,142,11,29,42,1,0,0,244,47.2,5.92,0.38,10.0,0.0
中村有登,ヴィアティン三重,2,11,19,2,25,142,57,14,40.1,30.3,27,14,7,5,76,6,14,22,5,0,1,68,51.9,2.28,0.2,10.5,10.0
中村龍哉,東京ヴェルディ,6,9,16,3,8,5,1,0,20.0,20.0,0,0,0,0,9,0,1,0,0,0,0,1,,0.12,0.0,-2.8,
中野将太,兵庫デルフィーノ,5,7,29,1,36,8,4,0,50.0,50.0,0,0,0,2,116,2,16,21,5,2,0,8,,0.11,0.06,2.8,40.0
中野竜,埼玉アザレア,4,3,0,1,1,2,1,1,50.0,0.0,2,1,1,0,6,0,0,2,0,0,0,1,50.0,1.0,0.0,8.3,
二五田大輔,大同特殊鋼レッドスター,10,17,15,5,27,195,86,23,44.1,32.3,22,8,7,5,98,3,3,18,201,93,65,94,36.4,3.19,0.19,6.9,62.4
井上周二,兵庫デルフィーノ,16,6,17,1,23,13,3,0,23.1,23.1,0,0,0,0,11,0,0,4,157,60,54,3,,0.13,0.0,9.1,55.4
今田善仁,きんでんトリニティーブリッツ,4,4,12,0,4,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,0,,0.0,0.0,0.0,
仲村鴻輝,兵庫デルフィーノ,13,2,21,0,5,7,2,1,28.6,14.3,0,0,0,1,10,0,0,0,1,0,0,3,,0.4,0.2,0.0,0.0
伊澤啓生,大同特殊鋼レッドスター,1,16,12,5,25,183,89,9,48.6,43.7,38,25,1,6,82,1,11,10,123,52,40,96,65.8,3.56,0.24,0.9,58.5
佐々木博秋,ヴォレアス北海道,13,30,6,10,18,95,40,5,42.1,36.8,11,5,2,8,56,2,14,7,75,42,14,50,45.5,2.22,0.44,0.4,65.3
佐藤利空,長野GaRons,16,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤匠,埼玉アザレア,5,14,11,4,22,63,30,2,47.6,44.4,0,0,0,18,63,2,3,11,1,0,1,50,,1.36,0.82,6.3,50.0
佐藤陸善,サフィルヴァ北海道,20,9,25,2,34,11,6,0,54.5,54.5,0,0,0,6,113,4,13,24,1,0,0,16,,0.18,0.18,6.0,0.0
佐藤隼一,東京ヴェルディ,10,19,22,6,19,9,1,2,11.1,-11.1,5,1,2,0,28,2,8,10,9,7,0,3,20.0,0.05,0.0,8.9,77.8
備一真,大同特殊鋼レッドスター,12,17,15,5,24,0,0,0,,,0,0,0,0,0,0,0,0,94,62,20,0,,0.0,0.0,,76.6
兵頭佳樹,富士通カワサキレッドスピリッツ,13,33,2,11,35,194,99,10,51.0,45.9,12,5,1,12,142,5,18,31,174,65,61,116,41.7,2.83,0.34,5.8,54.9
内園徹,きんでんトリニティーブリッツ,9,6,19,1,23,0,0,0,,,0,0,0,0,38,3,1,10,14,5,5,3,,0.0,0.0,13.8,53.6
前川将太,ヴィアティン三重,11,11,19,2,18,120,53,8,44.2,37.5,17,7,2,8,55,3,15,10,63,22,22,64,41.2,2.94,0.44,3.2,52.4
前田将武,埼玉アザレア,9,14,11,4,18,2,2,0,100.0,100.0,0,0,0,1,25,0,10,3,0,0,0,3,,0.11,0.06,-7.0,
加藤伊織,ヴォレアス北海道,9,18,2,6,3,7,5,0,71.4,71.4,0,0,0,1,11,0,1,2,0,0,0,6,,1.67,0.33,2.3,
加藤克貴,埼玉アザレア,2,14,11,4,23,97,41,7,42.3,35.1,10,4,0,1,81,1,2,20,205,96,47,43,40.0,1.78,0.04,6.8,58.3
加藤大雄,富士通カワサキレッドスピリッツ,7,33,2,11,31,82,49,6,59.8,52.4,0,0,0,19,106,2,13,26,8,3,2,70,,1.58,0.61,5.0,50.0
加藤遼太,兵庫デルフィーノ,8,4,24,0,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
勝本真太郎,つくばユナイテッドSunGAIA,14,13,20,3,28,32,14,3,43.8,34.4,5,0,2,1,36,2,2,10,0,0,0,17,0.0,0.5,0.04,11.1,
北田陽季,ヴィアティン三重,23,14,19,3,20,106,37,16,34.9,19.8,29,6,9,6,56,4,6,16,9,0,3,47,20.7,1.85,0.3,11.6,16.7
十良澤太一,サフィルヴァ北海道,11,3,10,1,3,0,0,0,,,0,0,0,1,4,0,1,0,0,0,0,1,,0.0,0.33,-6.2,
古川一輝,きんでんトリニティーブリッツ,15,8,25,1,11,49,21,4,42.9,34.7,0,0,0,3,29,0,3,5,0,0,0,24,,1.91,0.27,1.7,
古田史郎,ヴォレアス北海道,4,18,5,6,13,107,55,5,51.4,46.7,37,17,3,14,40,5,9,13,0,0,0,74,45.9,4.23,1.08,15.0,
吉田康祐,サフィルヴァ北海道,5,9,22,2,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
吉田綜眞,富士通カワサキレッドスピリッツ,5,30,2,10,10,37,16,3,43.2,35.1,6,2,0,1,24,0,0,4,0,0,0,17,33.3,1.6,0.1,4.2,
吉田魁成,大同特殊鋼レッドスター,3,16,12,5,28,112,60,3,53.6,50.9,0,0,0,6,92,4,9,13,3,1,0,70,,2.14,0.21,5.4,33.3
和治裕太,きんでんトリニティーブリッツ,17,1,3,0,4,17,6,0,35.3,35.3,0,0,0,1,13,1,5,2,0,0,0,8,,1.5,0.25,1.9,
土井友登,つくばユナイテッドSunGAIA,12,19,21,5,21,1,0,0,0.0,0.0,0,0,0,1,71,2,1,14,0,0,0,3,,0.0,0.05,7.4,
堀内雄斗,埼玉アザレア,19,7,7,2,1,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,,0.0,0.0,,100.0
境龍生,大同特殊鋼レッドスター,13,17,15,5,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
外崎航平,ヴィアティン三重,10,14,19,3,33,0,0,0,,,0,0,0,0,3,0,1,2,35,26,6,0,,0.0,0.0,8.3,82.9
大村翔哉,東京ヴェルディ,22,19,22,6,27,201,87,15,43.3,35.8,84,39,7,4,84,2,13,28,0,0,0,93,46.4,3.22,0.15,6.8,
