名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
エバデダンジェフリー宇意,2020-10,富士通カワサキレッドスピリッツ,1,2,6,4,1,66.7,50.0,0,0,0,0,5,0,2,2,0.0,3,1,1,4,,2.0,0.0,50.0
エバデダンジェフリー宇意,2020-11,富士通カワサキレッドスピリッツ,1,17,72,44,4,61.1,55.6,0,0,0,7,38,2,2,6,7.9,6,4,2,53,,2.59,0.41,83.3
エバデダンジェフリー宇意,2020-12,富士通カワサキレッドスピリッツ,1,5,16,12,0,75.0,75.0,0,0,0,5,13,0,2,5,5.8,0,0,0,17,,2.4,1.0,
エバデダンジェフリー宇意,2021-01,富士通カワサキレッドスピリッツ,1,8,28,20,0,71.4,71.4,0,0,0,9,15,0,1,3,3.3,2,1,0,29,,2.5,1.12,50.0
エバデダンジェフリー宇意,2021-02,富士通カワサキレッドスピリッツ,1,12,46,24,3,52.2,45.7,1,0,0,10,29,0,3,7,3.4,4,1,2,34,0.0,2.0,0.83,50.0
エバデダンジェフリー宇意,2021-03,富士通カワサキレッドスピリッツ,1,7,31,24,1,77.4,74.2,0,0,0,4,15,0,4,3,-1.7,0,0,0,28,,3.43,0.57,
マシューパロット,2020-10,兵庫デルフィーノ,21,3,24,3,2,12.5,4.2,5,0,1,1,6,0,2,0,-8.3,31,10,9,4,0.0,1.0,0.33,46.8
マシューパロット,2020-11,兵庫デルフィーノ,21,18,159,56,8,35.2,30.2,22,5,4,10,60,2,19,7,-1.7,115,45,35,68,22.7,3.11,0.56,54.3
マシューパロット,2020-12,兵庫デルフィーノ,21,13,122,51,12,41.8,32.0,23,6,4,5,47,0,6,8,1.1,72,29,19,56,26.1,3.92,0.38,53.5
マシューパロット,2021-01,兵庫デルフィーノ,21,6,59,29,3,49.2,44.1,8,5,1,0,13,0,1,4,5.8,62,28,16,29,62.5,4.83,0.0,58.1
マシューパロット,2021-02,兵庫デルフィーノ,21,23,240,99,18,41.2,33.8,71,28,9,7,72,0,14,21,2.4,103,39,32,106,39.4,4.3,0.3,53.4
三好佳介,2021-02,ヴィアティン三重,34,7,64,33,1,51.6,50.0,13,7,0,1,26,2,7,5,5.8,2,1,0,36,53.8,4.71,0.14,50.0
三木裕人,2020-10,きんでんトリニティーブリッツ,18,1,0,0,0,,,0,0,0,0,1,0,0,0,0.0,7,4,2,0,,0.0,0.0,71.4
三木裕人,2020-11,きんでんトリニティーブリッツ,18,20,60,21,6,35.0,25.0,6,1,0,0,56,1,7,13,4.5,138,60,40,22,16.7,1.05,0.0,58.0
三木裕人,2020-12,きんでんトリニティーブリッツ,18,5,4,2,0,50.0,50.0,0,0,0,0,15,1,1,0,5.0,10,5,5,3,,0.4,0.0,75.0
三浦一真,2020-10,埼玉アザレア,18,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
三浦一真,2020-12,埼玉アザレア,18,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
三浦拓,2020-10,サフィルヴァ北海道,10,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
三浦拓,2020-12,サフィルヴァ北海道,10,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
三浦拓,2021-02,サフィルヴァ北海道,10,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
三浦拓,2021-03,サフィルヴァ北海道,10,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
三角尚久,2020-10,長野GaRons,3,7,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
三角尚久,2020-11,長野GaRons,3,22,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
三角尚久,2020-12,長野GaRons,3,3,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
三角尚久,2021-01,長野GaRons,3,7,0,0,0,,,0,0,0,0,0,0,0,0,,29,15,7,0,,0.0,0.0,63.8
三角尚久,2021-02,長野GaRons,3,29,0,0,0,,,0,0,0,0,0,0,0,0,,120,52,29,0,,0.0,0.0,55.4
