名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
マンブルアルタグラシア,埼玉上尾メディックス,4,34,65,787,385,61,48.9,41.2,181,80,24,35,255,23,40,72,13,6,0,44.2,5.92,0.54,12.2,46.2
三崎栄子,健祥会レッドハーツ,5,34,59,1,1,0,100.0,100.0,0,0,0,0,108,6,0,33,0,0,0,,0.02,0.0,13.2,
上岡奈々瀬,フォレストリーヴズ熊本,1,34,16,32,6,0,18.8,18.8,0,0,0,4,17,1,1,3,1,1,0,,0.38,0.25,8.8,100.0
上田美子,大野石油広島オイラーズ,3,34,30,176,44,16,25.0,15.9,0,0,0,10,69,2,10,16,85,47,0,,1.47,0.33,5.1,55.3
中尾巴美,埼玉上尾メディックス,7,34,65,364,165,24,45.3,38.7,0,0,0,38,258,11,15,61,10,5,0,,2.54,0.58,8.7,50.0
中野清香,三洋電機レッドソア,8,34,65,817,287,35,35.1,30.8,58,15,7,22,215,11,18,67,10,3,0,25.9,4.42,0.34,10.8,30.0
丸山舞子,三洋電機レッドソア,2,34,14,21,15,2,71.4,61.9,0,0,0,4,47,0,2,5,0,0,0,,1.07,0.29,1.6,
久保みゆき,フォレストリーヴズ熊本,15,34,65,0,0,0,,,0,0,0,0,0,0,0,0,414,270,0,,0.0,0.0,,65.2
井上奈々朱,四国Eighty8Queen,13,34,67,334,141,39,42.2,30.5,0,0,0,41,254,14,29,84,39,24,0,,2.1,0.61,10.9,61.5
井上翠,フォレストリーヴズ熊本,6,34,64,428,126,32,29.4,22.0,1,1,0,14,259,17,10,83,5,1,0,100.0,1.97,0.22,13.6,20.0
井之上由梨奈,大野石油広島オイラーズ,10,34,25,1,1,0,100.0,100.0,0,0,0,0,37,4,4,7,0,0,0,,0.04,0.0,12.8,
井田彩奈,四国Eighty8Queen,1,34,70,420,161,29,38.3,31.4,1,0,0,23,205,14,14,73,2,1,0,0.0,2.3,0.33,14.0,50.0
仁里奈那美,四国Eighty8Queen,7,34,53,0,0,0,,,0,0,0,0,0,0,0,0,312,215,0,,0.0,0.0,,68.9
仲本知佳,柏エンゼルクロス,15,34,52,294,93,15,31.6,26.5,0,0,0,16,165,7,3,36,4,1,0,,1.79,0.31,9.2,25.0
伊藤智美,KUROBEアクアフェアリーズ,1,34,50,286,87,23,30.4,22.4,0,0,0,6,140,3,8,40,217,125,0,,1.74,0.12,7.9,57.6
伊藤睦美,KUROBEアクアフェアリーズ,3,34,8,150,53,8,35.3,30.0,0,0,0,9,38,0,1,16,21,9,0,,6.62,1.12,9.9,42.9
位田愛,KUROBEアクアフェアリーズ,9,34,0,19,9,0,47.4,47.4,0,0,0,1,242,7,8,64,0,0,0,,inf,inf,8.7,
