大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION2 MEN,兵庫デルフィーノ,14,24,0,0,0,-,0,0,0,-,-,0,-,7,0,0,2,0,-7.1,13,3,4,38.5,0,0,0,0
レギュラーラウンド,兵庫デルフィーノ,14,24,0,0,0,-,0,0,0,-,-,0,-,7,0,0,2,0,-7.1,13,3,4,38.5,0,0,0,0
V.LEAGUE DIVISION3 MEN 2018-19,兵庫デルフィーノ,18,46,154,53,21,34.4,8,0,2,0.0,1.15,11,0.24,81,3,2,26,8,0.6,179,92,43,63.4,53,11,5,69
レギュラーラウンド,兵庫デルフィーノ,18,46,154,53,21,34.4,8,0,2,0.0,1.15,11,0.24,81,3,2,26,8,0.6,179,92,43,63.4,53,11,5,69
Ｖ・チャレンジリーグⅡ男子 2017/18,兵庫デルフィーノ,16,31,60,18,4,30.0,7,2,1,28.6,0.58,1,0.03,64,2,4,18,15,8.2,47,14,12,42.6,18,1,6,25
レギュラーラウンド,兵庫デルフィーノ,16,31,60,18,4,30.0,7,2,1,28.6,0.58,1,0.03,64,2,4,18,15,8.2,47,14,12,42.6,18,1,6,25
レギュラーシーズン通算,,48,101,214,71,25,33.2,15,2,3,13.3,0.70,12,0.12,152,5,6,46,23,3.5,239,109,59,57.9,71,12,11,94
通算,,48,101,214,71,25,33.2,15,2,3,13.3,0.70,12,0.12,152,5,6,46,23,3.5,239,109,59,57.9,71,12,11,94
