月,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
10,5,,曽我啓菜,6,3,2,1,0,0.0,48,20,1,41.7,39.6,3.3,4,0,0,0.0,3,0.5,16,1,2,5,10.9,22,3,11,38.6
11,5,,曽我啓菜,20,1,2,3,0,0.0,94,33,6,35.1,28.7,1.6,9,4,1,44.4,0,0.0,18,0,1,7,8.3,63,21,19,48.4
12,5,,曽我啓菜,26,7,7,6,2,0.0,230,81,17,35.2,27.8,3.1,17,4,0,23.5,4,0.2,72,1,4,21,7.3,72,26,17,47.9
01,5,,曽我啓菜,1,1,0,0,0,0.0,4,2,0,50.0,50.0,2.0,0,0,0,,0,0.0,4,1,0,2,37.5,1,0,0,0.0
