名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ヤカングマ,2015-11,大分三好ヴァイセアドラー,14,16,174,94,11,54.0,47.7,77,40,3,4,71,6,10,35,0,0,0,51.9,5.88,0.25,17.3,
ヤカングマ,2015-12,大分三好ヴァイセアドラー,14,15,175,112,9,64.0,58.9,78,52,3,5,76,4,11,29,0,0,0,66.7,7.47,0.33,11.2,
ヤカングマ,2016-01,大分三好ヴァイセアドラー,14,14,167,92,9,55.1,49.7,70,41,4,3,71,7,7,30,1,0,0,58.6,6.57,0.21,18.0,0.0
ヤカングマ,2016-02,大分三好ヴァイセアドラー,14,30,288,166,17,57.6,51.7,135,70,12,9,136,12,19,60,1,0,0,51.9,5.53,0.3,16.4,0.0
三浦拓也,2015-11,東京ヴェルディ,24,22,52,17,3,32.7,26.9,0,0,0,1,69,8,26,16,133,75,0,,0.77,0.05,8.0,56.4
三浦拓也,2015-12,東京ヴェルディ,24,14,19,6,5,31.6,5.3,1,1,0,1,32,3,5,12,65,35,0,100.0,0.43,0.07,14.8,53.8
三浦拓也,2016-01,東京ヴェルディ,24,12,13,3,1,23.1,15.4,0,0,0,1,25,1,7,10,55,35,0,,0.25,0.08,7.0,63.6
三浦拓也,2016-02,東京ヴェルディ,24,26,44,12,4,27.3,18.2,0,0,0,2,52,4,14,17,111,64,0,,0.46,0.08,9.1,57.7
三芳健斗,2015-11,富士通カワサキレッドスピリッツ,6,10,30,21,0,70.0,70.0,0,0,0,6,25,1,2,8,0,0,0,,2.1,0.6,10.0,
三芳健斗,2015-12,富士通カワサキレッドスピリッツ,6,3,16,7,2,43.8,31.2,0,0,0,1,9,0,0,3,0,0,0,,2.33,0.33,8.3,
三芳健斗,2016-01,富士通カワサキレッドスピリッツ,6,2,2,1,0,50.0,50.0,0,0,0,0,9,0,2,2,0,0,0,,0.5,0.0,0.0,
三芳健斗,2016-02,富士通カワサキレッドスピリッツ,6,10,25,18,1,72.0,68.0,0,0,0,4,31,1,1,8,1,0,0,,1.8,0.4,8.9,0.0
中島冬輝,2015-11,つくばユナイテッドSunGAIA,12,13,10,5,0,50.0,50.0,0,0,0,4,33,2,1,11,2,0,0,,0.38,0.31,13.6,0.0
中島冬輝,2015-12,つくばユナイテッドSunGAIA,12,6,1,0,0,0.0,0.0,0,0,0,0,8,0,0,5,0,0,0,,0.0,0.0,15.6,
中島冬輝,2016-01,つくばユナイテッドSunGAIA,12,8,1,1,0,100.0,100.0,0,0,0,1,18,0,0,7,0,0,0,,0.12,0.12,9.7,
中島冬輝,2016-02,つくばユナイテッドSunGAIA,12,24,11,7,0,63.6,63.6,0,0,0,4,56,1,1,14,4,1,0,,0.29,0.17,7.6,25.0
中川剛,2015-11,富士通カワサキレッドスピリッツ,1,22,187,88,19,47.1,36.9,70,35,14,5,97,5,11,24,0,0,0,50.0,4.0,0.23,8.5,
中川剛,2015-12,富士通カワサキレッドスピリッツ,1,9,51,28,4,54.9,47.1,23,13,2,1,39,1,6,15,0,0,0,56.5,3.11,0.11,8.3,
中川剛,2016-01,富士通カワサキレッドスピリッツ,1,13,90,45,10,50.0,38.9,34,18,5,1,53,5,8,23,0,0,0,52.9,3.46,0.08,16.5,
中川剛,2016-02,富士通カワサキレッドスピリッツ,1,28,189,107,25,56.6,43.4,83,48,16,9,124,5,14,44,0,0,0,57.8,3.82,0.32,10.1,
中村耕平,2015-11,東京ヴェルディ,5,24,154,49,15,31.8,22.1,39,13,5,8,90,8,12,28,140,85,0,33.3,2.04,0.33,13.3,60.7
中村耕平,2015-12,東京ヴェルディ,5,14,93,38,11,40.9,29.0,16,8,3,4,44,4,6,20,78,50,0,50.0,2.71,0.29,17.0,64.1
中村耕平,2016-01,東京ヴェルディ,5,14,64,24,8,37.5,25.0,14,3,1,1,35,1,8,7,109,51,0,21.4,1.71,0.07,2.1,46.8
中村耕平,2016-02,東京ヴェルディ,5,25,132,50,11,37.9,29.5,15,4,2,5,73,2,13,20,180,102,0,26.7,2.0,0.2,5.1,56.7
中村航太朗,2015-11,警視庁フォートファイターズ,13,22,171,72,13,42.1,34.5,16,5,2,9,107,9,18,34,148,101,0,31.2,3.27,0.41,12.1,68.2
中村航太朗,2015-12,警視庁フォートファイターズ,13,8,67,22,6,32.8,23.9,7,4,1,6,38,2,7,11,58,37,0,57.1,2.75,0.75,7.9,63.8
中村航太朗,2016-01,警視庁フォートファイターズ,13,15,100,36,10,36.0,26.0,17,4,5,7,56,2,8,25,91,61,0,23.5,2.4,0.47,11.2,67.0
中村航太朗,2016-02,警視庁フォートファイターズ,13,30,165,65,10,39.4,33.3,16,6,2,16,110,11,12,49,172,110,0,37.5,2.17,0.53,18.4,64.0
中津芳文,2015-11,埼玉アザレア,8,19,73,27,2,37.0,34.2,0,0,0,3,59,0,5,14,2,1,0,,1.42,0.16,3.8,50.0
中津芳文,2015-12,埼玉アザレア,8,8,31,12,1,38.7,35.5,0,0,0,0,22,0,0,8,0,0,0,,1.5,0.0,9.1,
中津芳文,2016-01,埼玉アザレア,8,10,30,12,1,40.0,36.7,0,0,0,2,25,0,0,9,1,0,0,,1.2,0.2,9.0,0.0
中津芳文,2016-02,埼玉アザレア,8,30,116,44,3,37.9,35.3,0,0,0,14,109,0,3,35,2,1,0,,1.47,0.47,7.3,50.0
中道元貴,2015-11,警視庁フォートファイターズ,14,22,6,1,0,16.7,16.7,0,0,0,1,105,5,14,37,0,0,0,,0.05,0.05,10.2,
中道元貴,2015-12,警視庁フォートファイターズ,14,9,5,2,1,40.0,20.0,0,0,0,1,36,1,8,12,2,0,0,,0.22,0.11,5.6,0.0
中道元貴,2016-01,警視庁フォートファイターズ,14,15,3,1,1,33.3,0.0,0,0,0,0,67,8,8,40,1,0,0,,0.07,0.0,23.9,0.0
