名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ヤカングマ,大分三好ヴァイセアドラー,14,123,75,804,464,46,57.7,52.0,360,203,22,21,354,29,47,154,2,0,0,56.4,6.19,0.28,15.7,0.0
三浦拓也,東京ヴェルディ,24,122,74,128,38,13,29.7,19.5,1,1,0,5,178,16,52,55,364,209,0,100.0,0.51,0.07,9.4,57.4
三芳健斗,富士通カワサキレッドスピリッツ,6,122,25,73,47,3,64.4,60.3,0,0,0,11,74,2,5,21,1,0,0,,1.88,0.44,8.1,0.0
中島冬輝,つくばユナイテッドSunGAIA,12,111,51,23,13,0,56.5,56.5,0,0,0,9,115,3,2,37,6,1,0,,0.25,0.18,10.2,16.7
中川剛,富士通カワサキレッドスピリッツ,1,123,72,517,268,58,51.8,40.6,210,114,37,16,313,16,39,106,0,0,0,54.3,3.72,0.22,10.5,
中村耕平,東京ヴェルディ,5,122,77,443,161,45,36.3,26.2,84,28,11,18,242,15,39,75,507,288,0,33.3,2.09,0.23,9.9,56.8
中村航太朗,警視庁フォートファイターズ,13,122,75,503,195,39,38.8,31.0,56,19,10,38,311,24,45,119,469,309,0,33.9,2.6,0.51,13.7,65.9
中津芳文,埼玉アザレア,8,122,67,250,95,7,38.0,35.2,0,0,0,19,215,0,8,66,5,2,0,,1.42,0.28,6.7,40.0
中道元貴,警視庁フォートファイターズ,14,122,77,29,12,2,41.4,34.5,0,0,0,15,359,22,53,163,5,0,0,,0.16,0.19,13.8,0.0
丸山祥二,つくばユナイテッドSunGAIA,4,98,8,11,5,3,45.5,18.2,0,0,0,3,18,1,5,4,3,1,0,,0.62,0.38,4.2,33.3
