名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アルベスタチアーナ,01,JTマーヴェラス,3,22,180,65,19,36.1,25.6,19,4,5,9,70,2,8,21,40,28,0,21.1,3.0,0.4,7.5,70.0
アルベスタチアーナ,02,JTマーヴェラス,3,20,175,82,12,46.9,40.0,32,17,3,9,78,4,12,18,36,18,0,53.1,4.1,0.4,7.1,50.0
アルベスタチアーナ,03,JTマーヴェラス,3,21,190,79,16,41.6,33.2,40,17,2,4,91,7,12,24,41,28,0,42.5,3.8,0.2,11.0,68.3
アルベスタチアーナ,11,JTマーヴェラス,3,25,172,62,17,36.0,26.2,2,0,2,11,106,5,11,30,206,137,0,0.0,2.5,0.4,9.2,66.5
アルベスタチアーナ,12,JTマーヴェラス,3,13,109,40,10,36.7,27.5,11,6,0,3,47,2,2,10,81,54,0,54.5,3.1,0.2,8.5,66.7
コロンボレナタ,01,トヨタ車体クインシーズ,17,22,285,123,20,43.2,36.1,38,12,3,10,49,0,6,20,0,0,0,31.6,5.6,0.5,7.1,
コロンボレナタ,02,トヨタ車体クインシーズ,17,25,298,127,21,42.6,35.6,51,24,6,5,78,1,7,14,0,0,0,47.1,5.1,0.2,3.5,
コロンボレナタ,03,トヨタ車体クインシーズ,17,22,278,117,19,42.1,35.3,31,11,7,10,63,3,4,22,1,0,0,35.5,5.3,0.5,11.9,0.0
コロンボレナタ,11,トヨタ車体クインシーズ,17,25,407,165,23,40.5,34.9,91,35,10,7,82,3,9,18,9,6,0,38.5,6.6,0.3,6.4,66.7
コロンボレナタ,12,トヨタ車体クインシーズ,17,12,178,87,8,48.9,44.4,62,33,3,4,44,6,5,14,2,1,0,53.2,7.2,0.3,18.8,50.0
トムローガン,01,久光製薬スプリングス,11,27,279,120,23,43.0,34.8,41,14,9,17,97,3,17,25,203,136,0,34.1,4.4,0.6,5.2,67.0
トムローガン,02,久光製薬スプリングス,11,34,372,136,25,36.6,29.8,57,16,5,11,126,9,11,38,208,144,0,28.1,4.0,0.3,12.5,69.2
トムローガン,03,久光製薬スプリングス,11,12,120,51,11,42.5,33.3,28,10,1,13,40,2,11,8,80,57,0,35.7,4.2,1.1,3.1,71.2
トムローガン,11,久光製薬スプリングス,11,28,366,131,33,35.8,26.8,65,29,5,14,96,4,18,25,158,112,0,44.6,4.7,0.5,6.0,70.9
トムローガン,12,久光製薬スプリングス,11,7,71,29,6,40.8,32.4,13,3,3,4,24,0,5,5,46,34,0,23.1,4.1,0.6,0.0,73.9
ヌネスシダルカ,01,日立リヴァーレ,4,16,160,59,17,36.9,26.2,41,9,9,2,34,1,17,8,2,1,0,22.0,3.7,0.1,-3.7,50.0
ヌネスシダルカ,02,日立リヴァーレ,4,16,187,65,25,34.8,21.4,58,17,14,7,48,3,18,14,1,1,0,29.3,4.1,0.4,4.2,100.0
ヌネスシダルカ,11,日立リヴァーレ,4,26,340,138,45,40.6,27.4,127,38,19,7,80,9,19,18,0,0,0,29.9,5.3,0.3,10.9,
ヌネスシダルカ,12,日立リヴァーレ,4,10,136,66,15,48.5,37.5,48,19,7,5,31,3,5,5,0,0,0,39.6,6.6,0.5,9.7,
ハニーフタイーバ,01,パイオニアレッドウィングス,3,21,285,118,20,41.4,34.4,82,37,7,5,68,2,5,27,1,1,0,45.1,5.6,0.2,11.0,100.0
ハニーフタイーバ,02,パイオニアレッドウィングス,3,26,302,119,23,39.4,31.8,78,18,7,13,87,3,8,37,1,1,0,23.1,4.6,0.5,11.8,100.0
ハニーフタイーバ,03,パイオニアレッドウィングス,3,21,272,121,19,44.5,37.5,55,21,4,3,63,4,10,22,1,0,0,38.2,5.8,0.1,11.1,0.0
ハニーフタイーバ,11,パイオニアレッドウィングス,3,27,353,134,34,38.0,28.3,89,36,12,5,83,5,6,28,1,1,0,40.4,5.0,0.2,12.7,100.0
ハニーフタイーバ,12,パイオニアレッドウィングス,3,12,161,61,11,37.9,31.1,52,24,5,4,46,4,3,17,0,0,0,46.2,5.1,0.3,16.3,
フォフィーニャアナパウラ,01,NECレッドロケッツ,5,25,374,124,20,33.2,27.8,75,20,7,17,89,3,6,41,121,79,0,26.7,5.0,0.7,13.2,65.3
フォフィーニャアナパウラ,02,NECレッドロケッツ,5,20,223,89,12,39.9,34.5,40,17,4,4,67,2,6,22,76,51,0,42.5,4.4,0.2,9.0,67.1
フォフィーニャアナパウラ,03,NECレッドロケッツ,5,15,162,60,13,37.0,29.0,31,8,7,6,75,4,3,33,60,35,0,25.8,4.0,0.4,15.3,58.3
フォフィーニャアナパウラ,11,NECレッドロケッツ,5,33,396,139,30,35.1,27.5,82,17,12,20,137,9,5,54,34,26,0,20.7,4.2,0.6,15.5,76.5
フォフィーニャアナパウラ,12,NECレッドロケッツ,5,4,62,30,4,48.4,41.9,15,6,3,2,19,0,1,11,9,7,0,40.0,7.5,0.5,13.2,77.8
ロンドンシンディ,01,デンソーエアリービーズ,28,20,231,92,14,39.8,33.8,39,14,4,8,74,4,8,24,5,3,0,35.9,4.6,0.4,10.8,60.0
ロンドンシンディ,02,デンソーエアリービーズ,28,25,297,129,19,43.4,37.0,62,24,7,11,97,5,11,17,9,8,0,38.7,5.2,0.4,6.7,88.9
ロンドンシンディ,03,デンソーエアリービーズ,28,12,157,62,9,39.5,33.8,32,11,4,5,28,2,7,4,0,0,0,34.4,5.2,0.4,4.5,
ロンドンシンディ,11,デンソーエアリービーズ,28,24,256,102,21,39.8,31.6,48,19,4,22,90,4,12,27,8,6,0,39.6,4.2,0.9,8.6,75.0
ロンドンシンディ,12,デンソーエアリービーズ,28,12,149,72,13,48.3,39.6,34,16,4,2,44,2,6,4,5,4,0,47.1,6.0,0.2,3.4,80.0
三上彩,01,久光製薬スプリングス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三上彩,02,久光製薬スプリングス,13,8,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三上彩,03,久光製薬スプリングス,13,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三上彩,11,久光製薬スプリングス,13,19,12,3,0,25.0,25.0,0,0,0,3,37,2,2,2,0,0,0,,0.2,0.2,5.4,
三上彩,12,久光製薬スプリングス,13,7,6,4,0,66.7,66.7,0,0,0,4,20,0,1,3,0,0,0,,0.6,0.6,2.5,
三澤由佳,01,武富士バンブー,14,8,0,0,0,,,0,0,0,0,12,0,2,2,0,0,0,,0.0,0.0,0.0,
三澤由佳,02,武富士バンブー,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
