名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アルベスタチアーナ,JTマーヴェラス,3,138,101,826,328,74,39.7,30.8,104,44,12,36,392,20,45,103,404,265,0,384,42.3,3.25,0.36,8.8,65.6
コロンボレナタ,トヨタ車体クインシーズ,17,137,106,1446,619,91,42.8,36.5,273,115,29,36,316,13,31,88,12,7,0,668,42.1,5.84,0.34,8.6,58.3
トムローガン,久光製薬スプリングス,11,135,108,1208,467,98,38.7,30.5,204,72,23,59,383,18,62,101,695,483,0,544,35.3,4.32,0.55,7.2,69.5
ヌネスシダルカ,日立リヴァーレ,4,118,68,823,328,102,39.9,27.5,274,83,49,21,193,16,59,45,3,2,0,365,30.3,4.82,0.31,6.5,66.7
ハニーフタイーバ,パイオニアレッドウィングス,3,137,107,1373,553,107,40.3,32.5,356,136,35,30,347,18,32,131,4,3,0,601,38.2,5.17,0.28,12.3,75.0
フォフィーニャアナパウラ,NECレッドロケッツ,5,134,97,1217,442,79,36.3,29.8,243,68,33,49,387,18,21,161,300,198,0,509,28.0,4.56,0.51,13.7,66.0
ロンドンシンディ,デンソーエアリービーズ,28,132,93,1090,457,76,41.9,35.0,215,84,23,48,333,17,44,76,27,21,0,522,39.1,4.91,0.52,7.5,77.8
三上彩,久光製薬スプリングス,13,135,35,19,7,0,36.8,36.8,0,0,0,7,57,2,3,5,0,0,0,16,,0.2,0.2,4.4,
三澤由佳,武富士バンブー,14,92,9,0,0,0,,,0,0,0,0,13,0,3,2,0,0,0,0,,0.0,0.0,-1.9,
上村麻衣,デンソーエアリービーズ,13,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
