名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
イエリズバシャ,2013-04,NECレッドロケッツ,3,11,62,25,6,40.3,30.6,16,5,3,3,19,0,4,4,0,0,0,28,31.2,2.27,0.27,0.0,
パウリノエリサンジェラ,2013-04,久光製薬スプリングス,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中道瞳,2013-04,東レアローズ,3,13,3,3,0,100.0,100.0,0,0,0,1,53,0,1,14,0,0,0,4,,0.23,0.08,6.1,
丸山亜季,2013-04,岡山シーガルズ,20,12,0,0,0,,,0,0,0,0,0,0,0,0,58,50,0,0,,0.0,0.0,,86.2
二見梓,2013-04,東レアローズ,14,4,4,1,0,25.0,25.0,0,0,0,0,4,0,0,1,0,0,0,1,,0.25,0.0,6.2,
佐々木侑,2013-04,岡山シーガルズ,3,10,67,23,2,34.3,31.3,1,0,0,3,23,0,0,3,43,31,0,26,0.0,2.3,0.3,3.3,72.1
佐々木萌,2013-04,岡山シーガルズ,7,12,119,31,8,26.1,19.3,6,0,2,2,50,0,4,7,73,58,0,33,0.0,2.58,0.17,1.5,79.5
八幡美樹,2013-04,NECレッドロケッツ,1,5,12,3,0,25.0,25.0,0,0,0,0,4,0,1,1,18,13,0,3,,0.6,0.0,0.0,72.2
内田暁子,2013-04,NECレッドロケッツ,4,13,110,32,7,29.1,22.7,3,0,1,2,38,1,4,11,85,55,0,35,0.0,2.46,0.15,7.2,64.7
卜部里菜,2013-04,岡山シーガルズ,22,2,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
古藤千鶴,2013-04,久光製薬スプリングス,2,12,5,1,1,20.0,0.0,0,0,0,4,44,0,1,8,0,0,0,5,,0.08,0.33,4.0,
吉田みなみ,2013-04,岡山シーガルズ,1,2,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
和田麻里江,2013-04,東レアローズ,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
堀川真理,2013-04,東レアローズ,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大野果奈,2013-04,NECレッドロケッツ,15,12,44,17,2,38.6,34.1,0,0,0,5,38,0,0,14,2,2,0,22,,1.42,0.42,9.2,100.0
大野果歩,2013-04,東レアローズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
宮下遥,2013-04,岡山シーガルズ,14,12,7,4,0,57.1,57.1,0,0,0,2,36,0,0,4,0,0,0,6,,0.33,0.17,2.8,
宮田由佳里,2013-04,東レアローズ,8,13,55,20,1,36.4,34.5,0,0,0,9,43,0,3,8,1,1,0,29,,1.54,0.69,2.9,100.0
小平花織,2013-04,東レアローズ,9,13,102,35,3,34.3,31.4,2,0,0,4,29,0,0,6,70,55,0,39,0.0,2.69,0.31,5.2,78.6
山口舞,2013-04,岡山シーガルズ,2,12,90,42,4,46.7,42.2,0,0,0,5,35,0,0,3,15,12,0,47,,3.5,0.42,2.1,80.0
岡野弘子,2013-04,岡山シーガルズ,15,5,0,0,0,,,0,0,0,0,4,0,0,2,0,0,0,0,,0.0,0.0,12.5,
岩坂名奈,2013-04,久光製薬スプリングス,4,12,29,11,2,37.9,31.0,0,0,0,15,33,0,3,3,2,2,0,26,,0.92,1.25,0.0,100.0
峯村沙紀,2013-04,東レアローズ,10,12,18,7,0,38.9,38.9,0,0,0,1,17,0,1,8,30,23,0,8,,0.58,0.08,10.3,76.7
島村春世,2013-04,NECレッドロケッツ,8,12,85,27,4,31.8,27.1,0,0,0,6,35,0,6,6,4,1,0,33,,2.25,0.5,0.0,25.0
