名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ソトへクター,パナソニックパンサーズ,17,12,11,90,43,7,47.8,40.0,12,5,2,2,44,3,9,15,51,32,0,48,41.7,3.91,0.18,10.2,62.7
ニコロフウラジミール,東レアローズ,11,12,9,70,37,4,52.9,47.1,33,15,3,4,40,5,4,15,0,0,0,46,45.5,4.11,0.44,19.4,
ビッタールファビアノ,豊田合成トレフェルサ,4,12,9,102,57,7,55.9,49.0,40,25,3,3,33,5,11,9,2,1,0,65,62.5,6.33,0.33,13.6,50.0
レオナルドメロ,サントリーサンバーズ,8,12,11,81,52,9,64.2,53.1,40,29,3,3,41,4,12,9,0,0,0,59,72.5,4.73,0.27,7.9,
久保尚志,パナソニックパンサーズ,11,12,10,0,0,0,,,0,0,0,0,10,0,2,3,2,1,0,0,,0.0,0.0,2.5,50.0
今井啓介,パナソニックパンサーズ,4,12,11,22,11,0,50.0,50.0,0,0,0,9,23,0,0,4,2,0,0,20,,1.0,0.82,4.3,0.0
今田祐介,東レアローズ,14,12,9,77,39,9,50.6,39.0,19,11,3,0,28,0,5,11,48,31,0,39,57.9,4.33,0.0,5.4,64.6
北川祐介,豊田合成トレフェルサ,2,12,9,14,7,0,50.0,50.0,0,0,0,8,22,0,1,3,0,0,0,15,,0.78,0.89,2.3,
吉田譲,サントリーサンバーズ,4,12,7,0,0,0,,,0,0,0,0,10,0,3,5,0,0,0,0,,0.0,0.0,5.0,
坂本雄一郎,サントリーサンバーズ,3,12,8,23,14,0,60.9,60.9,0,0,0,6,28,0,0,16,0,0,0,20,,1.75,0.75,14.3,
宇佐美大輔,パナソニックパンサーズ,2,12,11,7,4,1,57.1,42.9,0,0,0,6,45,2,11,14,2,0,0,12,,0.36,0.55,6.1,0.0
富松崇彰,東レアローズ,1,12,8,18,10,2,55.6,44.4,0,0,0,6,23,1,6,3,1,1,0,17,,1.25,0.75,1.1,100.0
小糸敬夫,パナソニックパンサーズ,6,12,11,0,0,0,,,0,0,0,0,0,0,0,0,48,29,0,0,,0.0,0.0,,60.4
山本英之,豊田合成トレフェルサ,20,12,5,6,1,0,16.7,16.7,0,0,0,0,6,0,0,1,0,0,0,1,,0.2,0.0,4.2,
山本隆弘,パナソニックパンサーズ,5,12,11,120,51,11,42.5,33.3,44,19,6,4,39,6,9,14,7,3,0,61,43.2,4.64,0.36,18.6,42.9
山村宏太,サントリーサンバーズ,1,12,11,36,20,1,55.6,52.8,0,0,0,8,47,3,1,19,0,0,0,31,,1.82,0.73,16.0,
岡本秀明,豊田合成トレフェルサ,13,12,6,0,0,0,,,0,0,0,0,9,0,2,1,0,0,0,0,,0.0,0.0,-2.8,
岩田正之,パナソニックパンサーズ,7,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
岸本一馬,パナソニックパンサーズ,1,12,5,6,3,1,50.0,33.3,0,0,0,0,6,0,0,2,27,15,0,3,,0.6,0.0,8.3,55.6
島野俊一,豊田合成トレフェルサ,19,12,9,0,0,0,,,0,0,0,2,25,0,0,7,0,0,0,2,,0.0,0.22,7.0,
川村慎二,パナソニックパンサーズ,8,12,10,33,16,3,48.5,39.4,5,1,0,0,34,1,4,10,69,45,0,17,20.0,1.6,0.0,7.4,65.2
川浦博昭,豊田合成トレフェルサ,9,12,8,24,10,0,41.7,41.7,0,0,0,4,20,0,3,3,4,1,0,14,,1.25,0.5,0.0,25.0
木原丈裕,サントリーサンバーズ,12,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
村上龍介,サントリーサンバーズ,13,12,3,0,0,0,,,0,0,0,0,3,0,1,1,1,0,0,0,,0.0,0.0,0.0,0.0
松永理生,パナソニックパンサーズ,15,8,2,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,0,,0.0,0.0,-8.3,
枩田優介,パナソニックパンサーズ,13,12,6,3,1,0,33.3,33.3,0,0,0,2,5,0,0,0,1,0,0,3,,0.17,0.33,0.0,0.0
柴田恭平,東レアローズ,3,12,4,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
栗原圭介,サントリーサンバーズ,6,12,11,1,0,1,0.0,-100.0,0,0,0,2,39,2,2,9,0,0,0,4,,0.0,0.18,9.6,
桑田鎮典,サントリーサンバーズ,9,12,4,11,6,1,54.5,45.5,1,0,1,1,16,0,2,5,37,23,0,7,0.0,1.5,0.25,4.7,62.2
森佑之,豊田合成トレフェルサ,11,12,9,0,0,0,,,0,0,0,0,0,0,0,0,39,29,0,0,,0.0,0.0,,74.4
森田亜貴斗,パナソニックパンサーズ,12,12,9,22,9,0,40.9,40.9,0,0,0,5,36,1,0,11,6,3,0,15,,1.0,0.56,10.4,50.0
津曲勝利,サントリーサンバーズ,11,12,11,0,0,0,,,0,0,0,0,0,0,0,0,35,23,0,0,,0.0,0.0,,65.7
田辺修,東レアローズ,2,12,9,0,0,0,,,0,0,0,0,0,0,0,0,35,25,0,0,,0.0,0.0,,71.4
甲斐祐之,豊田合成トレフェルサ,6,12,7,40,15,3,37.5,30.0,6,3,1,2,29,0,4,10,45,30,0,17,50.0,2.14,0.29,5.2,66.7
盛重龍,豊田合成トレフェルサ,1,12,5,21,8,3,38.1,23.8,3,1,0,2,14,0,3,1,25,15,0,10,33.3,1.6,0.4,-3.6,60.0
福島政則,豊田合成トレフェルサ,5,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
笠原紀久,東レアローズ,5,12,9,36,19,1,52.8,50.0,0,0,0,0,26,0,1,7,92,61,0,19,,2.11,0.0,5.8,66.3
篠田歩,東レアローズ,17,12,8,23,12,0,52.2,52.2,0,0,0,0,40,2,3,18,1,1,0,14,,1.5,0.0,14.4,100.0
荻野正二,サントリーサンバーズ,10,12,7,36,22,2,61.1,55.6,3,1,1,2,23,0,2,4,78,54,0,24,33.3,3.14,0.29,2.2,69.2
角田辰徳,東レアローズ,16,12,1,1,1,0,100.0,100.0,0,0,0,0,2,0,0,0,3,1,0,1,,1.0,0.0,0.0,33.3
諸隈直樹,豊田合成トレフェルサ,3,12,7,35,14,2,40.0,34.3,1,0,0,1,26,0,1,5,64,38,0,15,0.0,2.0,0.14,3.8,59.4
谷村孝,パナソニックパンサーズ,18,4,2,0,0,0,,,0,0,0,0,0,0,0,0,2,2,0,0,,0.0,0.0,,100.0
越川優,サントリーサンバーズ,7,12,11,77,46,5,59.7,53.2,22,13,1,3,42,2,13,13,30,13,0,51,59.1,4.18,0.27,4.8,43.3
近藤茂,東レアローズ,4,12,6,1,1,0,100.0,100.0,0,0,0,0,11,0,0,4,0,0,0,1,,0.17,0.0,9.1,
鈴木寛史,サントリーサンバーズ,2,12,10,7,3,2,42.9,14.3,1,0,0,1,8,0,1,2,0,0,0,4,0.0,0.3,0.1,3.1,
阿部裕太,東レアローズ,9,12,8,6,2,0,33.3,33.3,0,0,0,1,20,0,0,6,1,0,0,3,,0.25,0.12,7.5,0.0
高杉洋平,東レアローズ,8,12,8,19,8,2,42.1,31.6,7,2,2,0,12,0,4,5,0,0,0,8,28.6,1.0,0.0,2.1,
高橋和人,豊田合成トレフェルサ,15,4,2,5,2,2,40.0,0.0,1,0,1,4,6,0,0,2,10,4,0,6,0.0,1.0,2.0,8.3,40.0
高橋幸造,豊田合成トレフェルサ,21,12,2,0,0,0,,,0,0,0,0,8,0,0,1,0,0,0,0,,0.0,0.0,3.1,
齋藤信治,東レアローズ,7,12,3,8,4,0,50.0,50.0,0,0,0,1,8,0,1,2,0,0,0,5,,1.33,0.33,3.1,
