名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アルタモノワエブゲーニャ,2002-12,武富士バンブー,15,84,26,425,202,29,47.5,40.7,119,49,13,11,74,5,10,14,157,124,0,218,41.2,7.77,0.42,8.1,79.0
アルタモノワエブゲーニャ,2003-01,武富士バンブー,15,6,20,289,146,16,50.5,45.0,75,31,4,14,63,4,9,11,87,65,0,164,41.3,7.3,0.7,7.1,74.7
アルタモノワエブゲーニャ,2003-02,武富士バンブー,15,16,30,415,205,25,49.4,43.4,113,46,9,18,118,6,9,40,148,97,0,229,40.7,6.83,0.6,11.7,65.5
ゴルボビッチミラ,2002-12,東レアローズ,20,84,27,131,56,7,42.7,37.4,0,0,0,16,80,1,2,18,11,9,0,73,,2.07,0.59,6.2,81.8
ゴルボビッチミラ,2003-01,東レアローズ,20,6,20,102,49,6,48.0,42.2,0,0,0,15,61,2,2,21,2,1,0,66,,2.45,0.75,11.1,50.0
ゴルボビッチミラ,2003-02,東レアローズ,20,16,28,146,73,5,50.0,46.6,0,0,0,15,78,1,4,30,5,4,0,89,,2.61,0.54,9.6,80.0
スコットダニエル,2002-12,パイオニアレッドウィングス,23,84,30,213,85,8,39.9,36.2,1,0,0,35,94,1,4,18,15,9,0,121,0.0,2.83,1.17,4.8,60.0
スコットダニエル,2003-01,パイオニアレッドウィングス,23,6,25,208,102,9,49.0,44.7,0,0,0,27,82,1,9,26,11,7,0,130,,4.08,1.08,6.4,63.6
スコットダニエル,2003-02,パイオニアレッドウィングス,23,16,30,282,127,12,45.0,40.8,1,0,0,23,87,2,8,23,14,10,0,152,0.0,4.23,0.77,6.6,71.4
フールマンフランシーヌ,2002-12,久光製薬スプリングス,33,84,29,244,125,15,51.2,45.1,16,5,5,20,93,4,10,23,41,33,0,149,31.2,4.31,0.69,7.8,80.5
フールマンフランシーヌ,2003-01,久光製薬スプリングス,33,6,23,215,114,14,53.0,46.5,23,15,1,14,79,1,5,21,23,16,0,129,65.2,4.96,0.61,6.3,69.6
