名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
アキンラデウォフォルケ,2021-02,久光スプリングス,16,3,17,10,0,58.8,58.8,0,0,0,2,10,0,1,3,5.0,0,0,0,12,,3.33,0.67,
アキンラデウォフォルケ,2021-03,久光スプリングス,16,8,43,24,1,55.8,53.5,0,0,0,9,16,1,4,3,4.7,1,1,0,34,,3.0,1.12,100.0
アコスタロスランディ,2021-03,PFUブルーキャッツ,18,5,53,27,3,50.9,45.3,7,3,1,1,16,0,3,1,-3.1,10,6,2,28,42.9,5.4,0.2,70.0
オクム大庭冬美ハウィ,2021-02,日立リヴァーレ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
オクム大庭冬美ハウィ,2021-03,日立リヴァーレ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
サンティアゴアライジャダフニ,2021-02,埼玉上尾メディックス,3,3,14,8,0,57.1,57.1,0,0,0,3,10,1,2,1,7.5,0,0,0,12,,2.67,1.0,
サンティアゴアライジャダフニ,2021-03,埼玉上尾メディックス,3,3,9,6,0,66.7,66.7,0,0,0,0,11,0,0,4,9.1,0,0,0,6,,2.0,0.0,
ジャラットハタイラット,2021-03,PFUブルーキャッツ,4,4,7,2,1,28.6,14.3,0,0,0,1,17,2,3,7,17.6,0,0,0,5,,0.5,0.25,
ジョセフシャイナ,2021-02,埼玉上尾メディックス,15,3,23,6,1,26.1,21.7,6,2,1,4,10,1,1,3,15.0,0,0,0,11,33.3,2.0,1.33,
ジョセフシャイナ,2021-03,埼玉上尾メディックス,15,4,34,12,3,35.3,26.5,6,1,1,2,11,1,3,0,2.3,0,0,0,15,16.7,3.0,0.5,
ソロカイテインドレ,2021-02,トヨタ車体クインシーズ,13,8,94,21,9,22.3,12.8,15,3,2,1,25,2,3,7,12.0,0,0,0,24,20.0,2.62,0.12,
ソロカイテインドレ,2021-03,トヨタ車体クインシーズ,13,9,111,44,7,39.6,33.3,29,7,2,2,28,1,7,7,3.6,0,0,0,47,24.1,4.89,0.22,
ヌクジャンタットダオ,2021-02,JTマーヴェラス,7,4,19,11,2,57.9,47.4,0,0,0,5,7,0,0,0,0.0,0,0,0,16,,2.75,1.25,
ヌクジャンタットダオ,2021-03,JTマーヴェラス,7,9,41,20,2,48.8,43.9,1,0,0,4,27,1,1,13,14.8,0,0,0,25,0.0,2.22,0.44,
ヒックマンジャスティス,2021-02,JTマーヴェラス,14,4,42,15,2,35.7,31.0,7,2,1,1,11,0,0,3,6.8,23,11,4,16,28.6,3.75,0.25,56.5
ヒックマンジャスティス,2021-03,JTマーヴェラス,14,8,48,14,6,29.2,16.7,5,2,2,5,26,1,2,5,6.7,70,38,17,20,40.0,1.75,0.62,66.4
マルティニュークアリョーナ,2021-03,ヴィクトリーナ姫路,20,2,17,4,2,23.5,11.8,8,3,1,0,5,0,1,1,0.0,0,0,0,4,37.5,2.0,0.0,
リーシモーン,2021-03,KUROBEアクアフェアリーズ,10,9,103,45,7,43.7,36.9,23,13,2,7,25,0,3,8,5.0,2,0,0,52,56.5,5.0,0.78,0.0
上坂瑠子,2021-02,日立リヴァーレ,1,8,97,35,4,36.1,32.0,13,6,0,3,31,1,1,15,14.5,82,47,17,39,46.2,4.38,0.38,67.7
上坂瑠子,2021-03,日立リヴァーレ,1,5,84,27,3,32.1,28.6,3,0,0,0,11,0,1,4,6.8,25,10,11,27,0.0,5.4,0.0,62.0
上沢沙織,2021-02,日立リヴァーレ,20,3,2,0,0,0.0,0.0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,,0.0,0.0,
上沢沙織,2021-03,日立リヴァーレ,20,1,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
上野香織,2021-02,NECレッドロケッツ,6,9,37,14,5,37.8,24.3,0,0,0,7,31,3,1,8,15.3,0,0,0,24,,1.56,0.78,
上野香織,2021-03,NECレッドロケッツ,6,4,21,12,2,57.1,47.6,0,0,0,0,14,2,3,2,12.5,1,1,0,14,,3.0,0.0,100.0
中元南,2021-02,デンソーエアリービーズ,1,7,68,21,4,30.9,25.0,11,2,1,3,33,1,2,14,12.1,45,22,9,25,18.2,3.0,0.43,58.9
中元南,2021-03,デンソーエアリービーズ,1,3,23,11,2,47.8,39.1,5,2,0,3,14,1,0,5,16.1,22,11,4,15,40.0,3.67,1.0,59.1
中屋夏澄,2021-02,トヨタ車体クインシーズ,16,1,7,4,1,57.1,42.9,3,1,1,0,2,0,0,0,0.0,0,0,0,4,33.3,4.0,0.0,
中屋夏澄,2021-03,トヨタ車体クインシーズ,16,2,13,3,1,23.1,15.4,0,0,0,0,0,0,0,0,,0,0,0,3,,1.5,0.0,
中島未来,2021-03,東レアローズ,6,7,0,0,0,,,0,0,0,0,0,0,0,0,,30,19,5,0,,0.0,0.0,71.7
中川美柚,2021-02,久光スプリングス,14,3,22,12,0,54.5,54.5,0,0,0,1,17,0,2,7,7.4,21,12,3,13,,4.0,0.33,64.3
中川美柚,2021-03,久光スプリングス,14,8,53,18,4,34.0,26.4,1,0,0,5,37,1,1,12,10.1,71,28,27,24,0.0,2.25,0.62,58.5
中本柚朱,2021-03,岡山シーガルズ,33,2,10,1,0,10.0,10.0,0,0,0,0,0,0,0,0,,6,2,3,1,,0.5,0.0,58.3
中村安里,2021-02,日立リヴァーレ,11,5,5,0,0,0.0,0.0,0,0,0,1,3,0,0,2,16.7,0,0,0,1,,0.0,0.2,
中村安里,2021-03,日立リヴァーレ,11,5,18,9,2,50.0,38.9,0,0,0,0,7,0,2,0,-7.1,0,0,0,9,,1.8,0.0,
中田紫乃,2021-03,東レアローズ,5,9,85,28,8,32.9,23.5,9,1,3,1,25,0,1,5,4.0,37,14,10,29,11.1,3.11,0.11,51.4
井上奈々朱,2021-03,東レアローズ,1,9,38,13,1,34.2,31.6,1,0,0,2,16,0,4,1,-4.7,0,0,0,15,0.0,1.44,0.22,
井上愛里沙,2021-02,久光スプリングス,5,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
井上愛里沙,2021-03,久光スプリングス,5,8,101,38,5,37.6,32.7,10,3,0,2,33,1,2,12,10.6,20,9,5,41,30.0,4.75,0.25,57.5
井上美咲,2021-02,久光スプリングス,2,3,1,0,0,0.0,0.0,0,0,0,2,10,0,0,4,10.0,0,0,0,2,,0.0,0.67,
井上美咲,2021-03,久光スプリングス,2,8,4,2,0,50.0,50.0,0,0,0,2,23,2,1,7,15.2,0,0,0,6,,0.25,0.25,
仁井田桃子,2021-02,埼玉上尾メディックス,19,1,6,2,0,33.3,33.3,0,0,0,0,0,0,0,0,,2,0,1,2,,2.0,0.0,25.0
今村優香,2021-02,久光スプリングス,12,3,30,9,1,30.0,26.7,4,1,1,1,9,1,1,3,16.7,11,6,3,11,25.0,3.0,0.33,68.2
今村優香,2021-03,久光スプリングス,12,8,82,31,8,37.8,28.0,8,3,2,3,37,1,4,9,6.1,11,2,1,35,37.5,3.88,0.38,22.7
付欣田,2021-02,岡山シーガルズ,24,4,11,5,1,45.5,36.4,0,0,0,5,8,0,0,1,3.1,0,0,0,10,,1.25,1.25,
付欣田,2021-03,岡山シーガルズ,24,4,16,6,0,37.5,37.5,0,0,0,4,10,0,0,3,7.5,0,0,0,10,,1.5,1.0,
伊藤望,2021-03,東レアローズ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
佐々木千紘,2021-02,ヴィクトリーナ姫路,14,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
佐々木千紘,2021-03,ヴィクトリーナ姫路,14,3,17,6,1,35.3,29.4,0,0,0,0,8,0,1,3,6.2,2,1,0,6,,2.0,0.0,50.0
佐々木海空,2021-03,埼玉上尾メディックス,16,1,0,0,0,,,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0.0,0.0,
佐藤優花,2021-02,埼玉上尾メディックス,10,3,43,9,2,20.9,16.3,2,1,0,0,18,0,1,3,2.8,14,6,3,9,50.0,3.0,0.0,53.6
佐藤優花,2021-03,埼玉上尾メディックス,10,3,31,11,2,35.5,29.0,6,3,1,0,9,0,2,0,-5.6,22,11,4,11,50.0,3.67,0.0,59.1
佐藤吉野,2021-02,デンソーエアリービーズ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
佐藤吉野,2021-03,デンソーエアリービーズ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
佐藤澪,2021-02,NECレッドロケッツ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
佐藤澪,2021-03,NECレッドロケッツ,18,2,0,0,0,,,0,0,0,0,0,0,0,0,,3,1,1,0,,0.0,0.0,50.0
入澤まい,2021-02,日立リヴァーレ,14,8,45,16,3,35.6,28.9,0,0,0,2,19,2,3,10,19.7,4,1,2,20,,2.0,0.25,50.0
入澤まい,2021-03,日立リヴァーレ,14,5,20,10,0,50.0,50.0,1,0,0,2,22,2,2,9,17.0,0,0,0,14,0.0,2.0,0.4,
兵頭由希,2021-02,デンソーエアリービーズ,24,7,59,18,1,30.5,28.8,14,3,0,2,37,3,1,14,16.9,26,7,4,23,21.4,2.57,0.29,34.6
兵頭由希,2021-03,デンソーエアリービーズ,24,3,27,10,1,37.0,33.3,2,0,0,0,10,0,0,2,5.0,6,1,1,10,0.0,3.33,0.0,25.0
内瀬戸真実,2021-02,埼玉上尾メディックス,9,3,36,15,1,41.7,38.9,4,1,1,1,8,0,0,1,3.1,15,5,5,16,25.0,5.0,0.33,50.0
内瀬戸真実,2021-03,埼玉上尾メディックス,9,4,43,14,2,32.6,27.9,3,0,0,1,14,0,2,5,5.4,25,18,0,15,0.0,3.5,0.25,72.0
加地春花,2021-02,トヨタ車体クインシーズ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
加藤光,2021-02,久光スプリングス,7,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
加藤光,2021-03,久光スプリングス,7,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
及川真夢,2021-02,岡山シーガルズ,8,6,27,14,0,51.9,51.9,0,0,0,1,17,0,3,4,1.5,1,1,0,15,,2.33,0.17,100.0
及川真夢,2021-03,岡山シーガルズ,8,6,32,8,1,25.0,21.9,0,0,0,2,18,0,1,3,2.8,0,0,0,10,,1.33,0.33,
古川あおいアン,2021-02,岡山シーガルズ,15,5,54,21,5,38.9,29.6,0,0,0,0,12,0,0,2,4.2,2,2,0,21,,4.2,0.0,100.0
古川あおいアン,2021-03,岡山シーガルズ,15,6,44,17,1,38.6,36.4,0,0,0,4,10,0,0,3,7.5,5,1,0,21,,2.83,0.67,20.0
古谷ちなみ,2021-02,NECレッドロケッツ,11,6,53,15,7,28.3,15.1,11,4,1,2,16,1,4,3,4.7,49,16,16,18,36.4,2.5,0.33,49.0
古谷ちなみ,2021-03,NECレッドロケッツ,11,3,20,11,2,55.0,45.0,2,2,0,0,3,0,2,1,-8.3,10,4,3,11,100.0,3.67,0.0,55.0
合屋咲希,2021-03,PFUブルーキャッツ,7,1,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0,,0,0,0,1,,1.0,0.0,
吉岡可奈,2021-02,ヴィクトリーナ姫路,9,6,37,13,3,35.1,27.0,0,0,0,2,17,1,2,2,5.9,1,0,1,16,,2.17,0.33,50.0
吉岡可奈,2021-03,ヴィクトリーナ姫路,9,1,2,2,0,100.0,100.0,0,0,0,0,1,0,0,1,25.0,0,0,0,2,,2.0,0.0,
吉岡美晴,2021-02,岡山シーガルズ,4,6,41,16,0,39.0,39.0,0,0,0,0,21,0,0,4,4.8,25,8,7,16,,2.67,0.0,46.0
吉岡美晴,2021-03,岡山シーガルズ,4,6,37,11,1,29.7,27.0,0,0,0,0,17,0,1,4,4.4,45,17,14,11,,1.83,0.0,53.3
吉田あゆみ,2021-02,NECレッドロケッツ,15,9,62,28,2,45.2,41.9,1,0,0,1,27,0,3,9,5.6,51,20,13,29,0.0,3.11,0.11,52.0
吉田あゆみ,2021-03,NECレッドロケッツ,15,2,16,5,1,31.2,25.0,1,0,0,0,10,1,1,4,17.5,21,8,4,6,0.0,2.5,0.0,47.6
周田夏紀,2021-02,トヨタ車体クインシーズ,25,5,10,5,1,50.0,40.0,0,0,0,1,10,0,2,3,2.5,0,0,0,6,,1.0,0.2,
周田夏紀,2021-03,トヨタ車体クインシーズ,25,6,0,0,0,,,0,0,0,0,8,1,2,1,9.4,0,0,0,1,,0.0,0.0,
和才奈々美,2021-03,PFUブルーキャッツ,33,2,0,0,0,,,0,0,0,0,0,0,0,0,,5,3,2,0,,0.0,0.0,80.0
和田由紀子,2021-02,JTマーヴェラス,16,4,13,3,2,23.1,7.7,0,0,0,0,9,0,2,3,2.8,0,0,0,3,,0.75,0.0,
和田由紀子,2021-03,JTマーヴェラス,16,3,10,2,0,20.0,20.0,0,0,0,0,3,0,1,0,-8.3,0,0,0,2,,0.67,0.0,
坂本侑,2021-03,東レアローズ,15,4,0,0,0,,,0,0,0,0,6,0,0,0,0.0,0,0,0,0,,0.0,0.0,
堀口あやか,2021-03,PFUブルーキャッツ,11,2,11,3,0,27.3,27.3,3,1,0,0,5,0,0,2,10.0,5,3,0,3,33.3,1.5,0.0,60.0
堀江美志,2021-02,埼玉上尾メディックス,4,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
堀江美志,2021-03,埼玉上尾メディックス,4,3,6,3,0,50.0,50.0,0,0,0,0,2,0,0,0,0.0,0,0,0,3,,1.0,0.0,
堀込奈央,2021-03,ヴィクトリーナ姫路,7,2,0,0,0,,,0,0,0,0,4,0,1,1,0.0,0,0,0,0,,0.0,0.0,
塚田しおり,2021-02,NECレッドロケッツ,3,5,3,2,0,66.7,66.7,0,0,0,0,15,0,1,3,3.3,1,0,0,2,,0.4,0.0,0.0
塚田しおり,2021-03,NECレッドロケッツ,3,2,0,0,0,,,0,0,0,0,3,0,0,2,16.7,0,0,0,0,,0.0,0.0,
境紗里奈,2021-02,日立リヴァーレ,18,5,1,0,0,0.0,0.0,0,0,0,0,10,0,0,1,2.5,0,0,0,0,,0.0,0.0,
