試合日,年月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2021-02-27,2021-02,デンソーエアリービーズ,1,,中元南,4,■,■,■,■,nan,39,10,2,25.6,20.5,2.50,3,0,0,0.0,2,0.50,16,0,1,5,6.2,34,16,7,57.4,12
2021-02-27,2021-02,デンソーエアリービーズ,2,,積山春花,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,1,1,0.0,0,0,0,-,0
2021-02-27,2021-02,デンソーエアリービーズ,5,,大竹里歩,4,■,■,■,■,nan,14,5,1,35.7,28.6,1.25,0,0,0,-,4,1.00,7,0,1,0,-3.6,1,1,0,100.0,9
2021-02-27,2021-02,デンソーエアリービーズ,8,,田原愛里,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2021-02-27,2021-02,デンソーエアリービーズ,9,,小口樹葉,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,2,1,0,50.0,0
2021-02-27,2021-02,デンソーエアリービーズ,10,,森谷史佳,4,■,■,□,□,nan,8,2,2,25.0,0.0,0.50,0,0,0,-,0,-,7,0,0,1,3.6,1,0,1,50.0,2
2021-02-27,2021-02,デンソーエアリービーズ,12,L,石橋桃子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,デンソーエアリービーズ,14,,松井珠己,4,■,■,■,■,nan,4,2,1,50.0,25.0,0.50,0,0,0,-,1,0.25,9,0,0,1,2.8,0,0,0,-,3
2021-02-27,2021-02,デンソーエアリービーズ,16,,横田真未,3,nan,□,■,■,nan,14,6,1,42.9,35.7,2.00,0,0,0,-,3,1.00,5,0,2,2,0.0,2,1,0,50.0,9
2021-02-27,2021-02,デンソーエアリービーズ,18,,佐藤吉野,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,デンソーエアリービーズ,19,L,福留慧美,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,19,13,1,71.1,0
2021-02-27,2021-02,デンソーエアリービーズ,20,,東谷玲衣奈,2,■,■,nan,nan,nan,8,1,1,12.5,0.0,0.50,1,0,0,0.0,0,-,4,0,1,0,-6.2,7,3,1,50.0,1
2021-02-27,2021-02,デンソーエアリービーズ,21,,工藤嶺,4,□,□,■,■,nan,36,14,3,38.9,30.6,3.50,9,4,1,44.4,0,-,11,0,2,3,2.3,7,5,1,78.6,14
2021-02-27,2021-02,デンソーエアリービーズ,24,,兵頭由希,4,■,■,■,■,nan,40,13,1,32.5,30.0,3.25,9,3,0,33.3,2,0.50,24,1,1,9,12.5,16,5,3,40.6,16
2021-02-27,2021-02,JTマーヴェラス,3,,小川杏奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,JTマーヴェラス,4,,橘井友香,4,□,□,□,□,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,0,-,3,0,0,2,16.7,1,1,0,100.0,1
2021-02-27,2021-02,JTマーヴェラス,5,,柴田真果,4,■,■,■,■,nan,3,3,0,100.0,100.0,0.75,0,0,0,-,1,0.25,10,0,1,2,2.5,0,0,0,-,4
2021-02-27,2021-02,JTマーヴェラス,6,,田中瑞稀,4,■,■,■,■,nan,46,15,2,32.6,28.3,3.75,5,1,1,20.0,1,0.25,19,1,2,7,11.8,25,10,4,48.0,17
2021-02-27,2021-02,JTマーヴェラス,7,,ヌクジャンタットダオ,4,■,■,■,■,nan,19,11,2,57.9,47.4,2.75,0,0,0,-,5,1.25,7,0,0,0,0.0,0,0,0,-,16
2021-02-27,2021-02,JTマーヴェラス,9,,榊原菜那,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,JTマーヴェラス,11,L,目黒優佳,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,20,11,7,72.5,0
2021-02-27,2021-02,JTマーヴェラス,12,,深萱知代,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,0,0.0,7,4,2,71.4,0
2021-02-27,2021-02,JTマーヴェラス,13,,西川有喜,4,■,■,■,□,nan,38,11,4,28.9,18.4,2.75,11,3,3,27.3,2,0.50,17,3,3,5,20.6,2,2,0,100.0,16
2021-02-27,2021-02,JTマーヴェラス,14,,ヒックマンジャスティス,4,■,■,■,■,nan,42,15,2,35.7,31.0,3.75,7,2,1,28.6,1,0.25,11,0,0,3,6.8,23,11,4,56.5,16
2021-02-27,2021-02,JTマーヴェラス,16,,和田由紀子,4,□,□,□,■,nan,13,3,2,23.1,7.7,0.75,0,0,0,-,0,-,9,0,2,3,2.8,0,0,0,-,3
2021-02-27,2021-02,JTマーヴェラス,17,,神田さくら,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,JTマーヴェラス,18,,橋本梨紗,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,JTマーヴェラス,19,,高橋茉莉奈,4,■,■,■,■,nan,6,2,1,33.3,16.7,0.50,0,0,0,-,3,0.75,19,1,0,6,13.2,2,1,1,75.0,6
2021-02-27,2021-02,岡山シーガルズ,4,,吉岡美晴,4,■,■,□,■,nan,27,10,0,37.0,37.0,2.50,0,0,0,-,0,-,14,0,0,1,1.8,17,7,4,52.9,10
2021-02-27,2021-02,岡山シーガルズ,5,,宇賀神みずき,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,2,0.40,9,0,0,1,2.8,0,0,0,-,2
2021-02-27,2021-02,岡山シーガルズ,6,,渡邊真恵,5,■,■,■,■,■,25,6,0,24.0,24.0,1.20,4,1,0,25.0,0,-,19,0,0,4,5.3,3,2,0,66.7,6
