試合日,年月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2021-02-27,2021-02,岡山シーガルズ,8,,及川真夢,4,■,■,■,nan,□,20,8,0,40.0,40.0,2.00,0,0,0,-,1,0.25,7,0,1,1,0.0,0,0,0,-,9
2021-02-27,2021-02,岡山シーガルズ,9,,高柳有里,2,nan,nan,nan,□,■,3,1,1,33.3,0.0,0.50,0,0,0,-,0,-,7,1,0,1,17.9,14,5,4,50.0,2
2021-02-27,2021-02,岡山シーガルズ,10,L,西村弥菜美,5,〇,〇,〇,〇,〇,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,1,1,0,100.0,0
2021-02-27,2021-02,岡山シーガルズ,14,,宮下遥,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,岡山シーガルズ,15,,古川あおいアン,4,nan,□,■,□,■,50,19,5,38.0,28.0,4.75,0,0,0,-,0,-,12,0,0,2,4.2,2,2,0,100.0,19
2021-02-27,2021-02,岡山シーガルズ,18,,金田修佳,5,■,■,■,■,■,76,22,3,28.9,25.0,4.40,0,0,0,-,1,0.20,16,0,1,3,3.1,39,24,9,73.1,23
2021-02-27,2021-02,岡山シーガルズ,21,,高野由里加,2,nan,□,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-,0
2021-02-27,2021-02,岡山シーガルズ,24,,付欣田,3,nan,nan,□,■,■,7,2,1,28.6,14.3,0.67,0,0,0,-,4,1.33,3,0,0,1,8.3,0,0,0,-,6
2021-02-27,2021-02,岡山シーガルズ,26,,長瀬そら,5,■,■,■,■,□,25,8,0,32.0,32.0,1.60,0,0,0,-,1,0.20,13,0,0,2,3.8,0,0,0,-,9
2021-02-27,2021-02,岡山シーガルズ,27,L,楢崎慈恵,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,14,9,3,75.0,0
2021-02-27,2021-02,岡山シーガルズ,31,,小野寺夏希,4,nan,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2021-02-27,2021-02,トヨタ車体クインシーズ,1,,鴫原ひなた,5,■,■,■,■,■,50,17,5,34.0,24.0,3.40,9,3,1,33.3,1,0.20,18,1,1,4,9.7,34,23,6,76.5,19
2021-02-27,2021-02,トヨタ車体クインシーズ,6,,村永奈央,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,トヨタ車体クインシーズ,7,,渡邊彩,4,nan,■,■,■,■,18,6,1,33.3,27.8,1.50,0,0,0,-,3,0.75,11,0,0,2,4.5,0,0,0,-,9
2021-02-27,2021-02,トヨタ車体クインシーズ,8,L,榊原美沙都,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,19,13,2,73.7,0
2021-02-27,2021-02,トヨタ車体クインシーズ,10,,熊井風音,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,トヨタ車体クインシーズ,13,,ソロカイテインドレ,5,■,■,■,■,■,71,15,5,21.1,14.1,3.00,8,2,0,25.0,0,-,18,2,1,5,16.7,0,0,0,-,17
2021-02-27,2021-02,トヨタ車体クインシーズ,14,,松本亜弥華,2,■,nan,nan,□,nan,2,0,0,0.0,0.0,-,0,0,0,-,1,0.50,3,0,0,1,8.3,0,0,0,-,1
2021-02-27,2021-02,トヨタ車体クインシーズ,15,,杉郁香,5,■,■,■,■,■,24,8,0,33.3,33.3,1.60,0,0,0,-,1,0.20,7,0,1,3,7.1,1,0,1,50.0,9
2021-02-27,2021-02,トヨタ車体クインシーズ,16,,中屋夏澄,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,トヨタ車体クインシーズ,17,,藪田美穂子,5,□,□,□,□,□,22,4,1,18.2,13.6,0.80,1,0,0,0.0,0,-,7,0,0,0,0.0,0,0,0,-,4
2021-02-27,2021-02,トヨタ車体クインシーズ,18,,山上有紀,5,□,■,■,■,■,0,0,0,,,-,0,0,0,-,1,0.20,8,0,0,3,9.4,0,0,0,-,1
2021-02-27,2021-02,トヨタ車体クインシーズ,20,,山形理沙子,5,■,□,□,□,□,1,0,0,0.0,0.0,-,0,0,0,-,0,-,4,0,0,0,0.0,0,0,0,-,0
2021-02-27,2021-02,トヨタ車体クインシーズ,22,,大川愛海,5,■,■,■,■,■,60,14,0,23.3,23.3,2.80,8,1,0,12.5,2,0.40,18,0,1,1,0.0,49,25,16,67.3,16
2021-02-27,2021-02,トヨタ車体クインシーズ,25,,周田夏紀,2,nan,□,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0,0,-,0
2021-02-27,2021-02,久光スプリングス,2,,井上美咲,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,2,0.67,10,0,0,4,10.0,0,0,0,-,2
2021-02-27,2021-02,久光スプリングス,5,,井上愛里沙,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,久光スプリングス,7,,加藤光,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,久光スプリングス,8,,野本梨佳,3,■,■,■,nan,nan,28,12,0,42.9,42.9,4.00,6,3,0,50.0,0,-,11,0,0,5,11.4,7,4,1,64.3,12
2021-02-27,2021-02,久光スプリングス,11,,栄絵里香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,久光スプリングス,12,,今村優香,3,■,■,■,nan,nan,30,9,1,30.0,26.7,3.00,4,1,1,25.0,1,0.33,9,1,1,3,16.7,11,6,3,68.2,11
2021-02-27,2021-02,久光スプリングス,13,,白澤明香里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,久光スプリングス,14,,中川美柚,3,■,■,■,nan,nan,22,12,0,54.5,54.5,4.00,0,0,0,-,1,0.33,17,0,2,7,7.4,21,12,3,64.3,13
2021-02-27,2021-02,久光スプリングス,15,,池谷優佳,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,1,1,0,100.0,0
2021-02-27,2021-02,久光スプリングス,16,,アキンラデウォフォルケ,3,■,■,■,nan,nan,17,10,0,58.8,58.8,3.33,0,0,0,-,2,0.67,10,0,1,3,5.0,0,0,0,-,12
2021-02-27,2021-02,久光スプリングス,17,,濱松明日香,3,■,■,■,nan,nan,14,6,3,42.9,21.4,2.00,0,0,0,-,0,-,8,0,0,1,3.1,0,0,0,-,6
2021-02-27,2021-02,久光スプリングス,18,L,戸江真奈,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,11,8,0,72.7,0
2021-02-27,2021-02,久光スプリングス,19,,平山詩嫣,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,9,0,1,5,11.1,0,0,0,-,0
2021-02-27,2021-02,久光スプリングス,20,,荒木彩花,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,ヴィクトリーナ姫路,1,,貞包里穂,2,nan,□,■,nan,nan,14,4,0,28.6,28.6,2.00,3,0,0,0.0,0,-,6,0,0,1,4.2,5,1,0,20.0,4
2021-02-27,2021-02,ヴィクトリーナ姫路,2,,櫻井美樹,3,■,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,9,1,0,2,16.7,0,0,0,-,2
2021-02-27,2021-02,ヴィクトリーナ姫路,4,L,花井萌里,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,8,1,2,25.0,0
2021-02-27,2021-02,ヴィクトリーナ姫路,5,,長野有紗,3,■,■,■,nan,nan,15,8,1,53.3,46.7,2.67,0,0,0,-,0,-,10,1,1,3,15.0,1,0,0,0.0,9
2021-02-27,2021-02,ヴィクトリーナ姫路,6,,金杉由香,2,■,■,nan,nan,nan,21,5,1,23.8,19.0,2.50,0,0,0,-,0,-,4,0,1,2,6.2,2,1,0,50.0,5
2021-02-27,2021-02,ヴィクトリーナ姫路,9,,吉岡可奈,3,■,■,■,nan,nan,20,10,2,50.0,40.0,3.33,0,0,0,-,1,0.33,10,1,2,1,7.5,1,0,1,50.0,12
2021-02-27,2021-02,ヴィクトリーナ姫路,10,,脇田美怜,2,nan,□,■,nan,nan,15,6,1,40.0,33.3,3.00,1,0,0,0.0,0,-,4,1,1,1,25.0,10,2,3,35.0,7
2021-02-27,2021-02,ヴィクトリーナ姫路,11,,荒谷栞,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,ヴィクトリーナ姫路,12,,孫田菜奈,3,■,■,□,nan,nan,18,2,2,11.1,0.0,0.67,1,0,0,0.0,1,0.33,5,0,1,1,0.0,20,10,6,65.0,3
2021-02-27,2021-02,ヴィクトリーナ姫路,13,,田中咲希,3,■,■,■,nan,nan,23,7,1,30.4,26.1,2.33,2,1,0,50.0,1,0.33,10,0,2,1,-2.5,18,7,4,50.0,8
2021-02-27,2021-02,ヴィクトリーナ姫路,14,,佐々木千紘,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,ヴィクトリーナ姫路,17,,清田萌,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-,0
2021-02-27,2021-02,ヴィクトリーナ姫路,19,L,福井愛加,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-27,2021-02,ヴィクトリーナ姫路,21,,渡邉かや,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,0,0.0,4,1,1,37.5,0
2021-02-28,2021-02,デンソーエアリービーズ,1,,中元南,3,■,■,■,nan,nan,29,11,2,37.9,31.0,3.67,8,2,1,25.0,1,0.33,17,1,1,9,17.6,11,6,2,63.6,13
2021-02-28,2021-02,デンソーエアリービーズ,2,,積山春花,3,□,□,□,nan,nan,5,2,0,40.0,40.0,0.67,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,2
2021-02-28,2021-02,デンソーエアリービーズ,5,,大竹里歩,3,■,■,■,nan,nan,12,7,0,58.3,58.3,2.33,0,0,0,-,0,-,8,0,0,4,12.5,0,0,0,-,7
2021-02-28,2021-02,デンソーエアリービーズ,8,,田原愛里,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-28,2021-02,デンソーエアリービーズ,9,,小口樹葉,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,2,1,1,75.0,0
2021-02-28,2021-02,デンソーエアリービーズ,10,,森谷史佳,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2021-02-28,2021-02,デンソーエアリービーズ,12,L,石橋桃子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-28,2021-02,デンソーエアリービーズ,14,,松井珠己,3,■,■,■,nan,nan,3,2,0,66.7,66.7,0.67,0,0,0,-,0,-,10,1,0,5,22.5,0,0,0,-,3
2021-02-28,2021-02,デンソーエアリービーズ,16,,横田真未,3,■,■,■,nan,nan,16,10,0,62.5,62.5,3.33,0,0,0,-,2,0.67,4,0,2,0,-12.5,0,0,0,-,12
2021-02-28,2021-02,デンソーエアリービーズ,17,,麻野七奈未,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-28,2021-02,デンソーエアリービーズ,18,,佐藤吉野,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-28,2021-02,デンソーエアリービーズ,19,L,福留慧美,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,6,3,1,58.3,0
2021-02-28,2021-02,デンソーエアリービーズ,21,,工藤嶺,3,■,■,■,nan,nan,16,10,1,62.5,56.2,3.33,4,2,0,50.0,0,-,20,2,0,8,20.0,9,3,2,44.4,12
2021-02-28,2021-02,デンソーエアリービーズ,24,,兵頭由希,3,■,■,■,nan,nan,19,5,0,26.3,26.3,1.67,5,0,0,0.0,0,-,13,2,0,5,25.0,10,2,1,25.0,7
2021-02-28,2021-02,トヨタ車体クインシーズ,1,,鴫原ひなた,3,■,■,■,nan,nan,29,7,2,24.1,17.2,2.33,6,1,0,16.7,1,0.33,7,0,2,1,-3.6,18,8,2,50.0,8
2021-02-28,2021-02,トヨタ車体クインシーズ,6,,村永奈央,2,nan,■,□,nan,nan,10,0,0,0.0,0.0,-,0,0,0,-,0,-,3,0,0,1,8.3,6,3,0,50.0,0
2021-02-28,2021-02,トヨタ車体クインシーズ,8,L,榊原美沙都,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,25,13,2,56.0,0
2021-02-28,2021-02,トヨタ車体クインシーズ,9,,辻彩乃,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-28,2021-02,トヨタ車体クインシーズ,10,,熊井風音,1,□,nan,nan,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,1,25.0,2,0,0,0.0,0
2021-02-28,2021-02,トヨタ車体クインシーズ,13,,ソロカイテインドレ,3,■,■,■,nan,nan,23,6,4,26.1,8.7,2.00,7,1,2,14.3,1,0.33,7,0,2,2,0.0,0,0,0,-,7
2021-02-28,2021-02,トヨタ車体クインシーズ,14,,松本亜弥華,2,■,■,nan,nan,nan,4,1,0,25.0,25.0,0.50,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,1
2021-02-28,2021-02,トヨタ車体クインシーズ,15,,杉郁香,3,■,■,■,nan,nan,21,8,1,38.1,33.3,2.67,0,0,0,-,0,-,8,2,1,4,34.4,0,0,0,-,10
2021-02-28,2021-02,トヨタ車体クインシーズ,16,,中屋夏澄,1,nan,□,nan,nan,nan,7,4,1,57.1,42.9,4.00,3,1,1,33.3,0,-,2,0,0,0,0.0,0,0,0,-,4
2021-02-28,2021-02,トヨタ車体クインシーズ,17,,藪田美穂子,2,■,nan,■,nan,nan,11,2,3,18.2,-9.1,1.00,2,0,0,0.0,0,-,5,0,1,3,10.0,18,9,0,50.0,2
2021-02-28,2021-02,トヨタ車体クインシーズ,18,,山上有紀,2,□,■,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,1,1,1,33.3,0,0,0,-,1
2021-02-28,2021-02,トヨタ車体クインシーズ,20,,山形理沙子,3,■,□,■,nan,nan,2,1,0,50.0,50.0,0.33,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,1
2021-02-28,2021-02,トヨタ車体クインシーズ,21,,加地春花,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-28,2021-02,トヨタ車体クインシーズ,25,,周田夏紀,3,□,□,■,nan,nan,9,5,1,55.6,44.4,1.67,0,0,0,-,1,0.33,8,0,1,3,6.2,0,0,0,-,6
2021-02-28,2021-02,岡山シーガルズ,3,,田口絢佳,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-,0
2021-02-28,2021-02,岡山シーガルズ,4,,吉岡美晴,2,■,■,nan,nan,nan,14,6,0,42.9,42.9,3.00,0,0,0,-,0,-,7,0,0,3,10.7,8,1,3,31.2,6
2021-02-28,2021-02,岡山シーガルズ,5,,宇賀神みずき,3,■,■,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,2,0,-12.5,0,0,0,-,0
2021-02-28,2021-02,岡山シーガルズ,6,,渡邊真恵,3,■,■,■,nan,nan,22,10,0,45.5,45.5,3.33,0,0,0,-,0,-,9,0,0,4,11.1,2,0,1,25.0,10
2021-02-28,2021-02,岡山シーガルズ,8,,及川真夢,2,■,■,nan,nan,nan,7,6,0,85.7,85.7,3.00,0,0,0,-,0,-,10,0,2,3,2.5,1,1,0,100.0,6
2021-02-28,2021-02,岡山シーガルズ,9,,高柳有里,2,nan,□,■,nan,nan,13,5,0,38.5,38.5,2.50,0,0,0,-,0,-,6,0,1,2,4.2,9,2,2,33.3,5
2021-02-28,2021-02,岡山シーガルズ,10,L,西村弥菜美,2,〇,〇,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-28,2021-02,岡山シーガルズ,12,,居村杏奈,1,nan,nan,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-28,2021-02,岡山シーガルズ,15,,古川あおいアン,1,nan,nan,□,nan,nan,4,2,0,50.0,50.0,2.00,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,2
2021-02-28,2021-02,岡山シーガルズ,18,,金田修佳,3,■,■,■,nan,nan,35,14,1,40.0,37.1,4.67,0,0,0,-,0,-,17,0,0,5,7.4,15,10,4,80.0,14
2021-02-28,2021-02,岡山シーガルズ,24,,付欣田,1,nan,nan,□,nan,nan,4,3,0,75.0,75.0,3.00,0,0,0,-,1,1.00,5,0,0,0,0.0,0,0,0,-,4
2021-02-28,2021-02,岡山シーガルズ,26,,長瀬そら,3,■,■,■,nan,nan,18,7,0,38.9,38.9,2.33,0,0,0,-,1,0.33,8,0,0,3,9.4,0,0,0,-,8
2021-02-28,2021-02,岡山シーガルズ,27,L,楢崎慈恵,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,16,8,4,62.5,0
2021-02-28,2021-02,岡山シーガルズ,31,,小野寺夏希,2,nan,□,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,7,0,0,3,10.7,1,0,0,0.0,0
2021-02-28,2021-02,ヴィクトリーナ姫路,1,,貞包里穂,2,nan,□,■,nan,nan,18,8,1,44.4,38.9,4.00,1,0,0,0.0,0,-,6,0,0,2,8.3,11,5,3,59.1,8
2021-02-28,2021-02,ヴィクトリーナ姫路,2,,櫻井美樹,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,9,0,1,1,0.0,1,0,0,0.0,0
2021-02-28,2021-02,ヴィクトリーナ姫路,4,L,花井萌里,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,24,16,4,75.0,0
2021-02-28,2021-02,ヴィクトリーナ姫路,5,,長野有紗,3,■,■,■,nan,nan,10,3,2,30.0,10.0,1.00,0,0,0,-,0,-,10,1,2,6,20.0,0,0,0,-,4
2021-02-28,2021-02,ヴィクトリーナ姫路,6,,金杉由香,2,nan,□,■,nan,nan,30,12,1,40.0,36.7,6.00,2,0,0,0.0,0,-,6,0,2,1,-4.2,6,1,1,25.0,12
2021-02-28,2021-02,ヴィクトリーナ姫路,9,,吉岡可奈,3,■,■,■,nan,nan,17,3,1,17.6,11.8,1.00,0,0,0,-,1,0.33,7,0,0,1,3.6,0,0,0,-,4
2021-02-28,2021-02,ヴィクトリーナ姫路,10,,脇田美怜,2,■,■,nan,nan,nan,14,4,4,28.6,0.0,2.00,2,0,2,0.0,0,-,3,0,1,0,-8.3,2,0,0,0.0,4
2021-02-28,2021-02,ヴィクトリーナ姫路,11,,荒谷栞,2,nan,□,□,nan,nan,3,2,0,66.7,66.7,1.00,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,2
2021-02-28,2021-02,ヴィクトリーナ姫路,12,,孫田菜奈,2,■,■,nan,nan,nan,14,4,0,28.6,28.6,2.00,0,0,0,-,0,-,2,0,0,1,12.5,2,0,0,0.0,4
2021-02-28,2021-02,ヴィクトリーナ姫路,13,,田中咲希,3,■,■,■,nan,nan,29,10,3,34.5,24.1,3.33,1,0,0,0.0,0,-,12,2,0,2,20.8,20,10,3,57.5,12
2021-02-28,2021-02,ヴィクトリーナ姫路,14,,佐々木千紘,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,,0,0,0,-,0
2021-02-28,2021-02,ヴィクトリーナ姫路,17,,清田萌,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
