名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
中元南,デンソーエアリービーズ,1,10,91,32,6,35.2,28.6,16,4,1,6,47,2,2,19,13.3,67,33,13,40,25.0,3.2,0.6,59.0
中屋夏澄,トヨタ車体クインシーズ,16,3,20,7,2,35.0,25.0,3,1,1,0,2,0,0,0,0.0,0,0,0,7,33.3,2.33,0.0,
中島未来,東レアローズ,6,7,0,0,0,,,0,0,0,0,0,0,0,0,,30,19,5,0,,0.0,0.0,71.7
中川美柚,久光スプリングス,14,11,75,30,4,40.0,34.7,1,0,0,6,54,1,3,19,9.3,92,40,30,37,0.0,2.73,0.55,59.8
中本柚朱,岡山シーガルズ,33,2,10,1,0,10.0,10.0,0,0,0,0,0,0,0,0,,6,2,3,1,,0.5,0.0,58.3
中村安里,日立リヴァーレ,11,10,23,9,2,39.1,30.4,0,0,0,1,10,0,2,2,0.0,0,0,0,10,,0.9,0.1,
中田紫乃,東レアローズ,5,9,85,28,8,32.9,23.5,9,1,3,1,25,0,1,5,4.0,37,14,10,29,11.1,3.11,0.11,51.4
井上奈々朱,東レアローズ,1,9,38,13,1,34.2,31.6,1,0,0,2,16,0,4,1,-4.7,0,0,0,15,0.0,1.44,0.22,
井上愛里沙,久光スプリングス,5,8,101,38,5,37.6,32.7,10,3,0,2,33,1,2,12,10.6,20,9,5,41,30.0,4.75,0.25,57.5
井上美咲,久光スプリングス,2,11,5,2,0,40.0,40.0,0,0,0,4,33,2,1,11,13.6,0,0,0,8,,0.18,0.36,
仁井田桃子,埼玉上尾メディックス,19,1,6,2,0,33.3,33.3,0,0,0,0,0,0,0,0,,2,0,1,2,,2.0,0.0,25.0
今村優香,久光スプリングス,12,11,112,40,9,35.7,27.7,12,4,3,4,46,2,5,12,8.2,22,8,4,46,33.3,3.64,0.36,45.5
付欣田,岡山シーガルズ,24,8,27,11,1,40.7,37.0,0,0,0,9,18,0,0,4,5.6,0,0,0,20,,1.38,1.12,
伊藤望,東レアローズ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
佐々木千紘,ヴィクトリーナ姫路,14,3,17,6,1,35.3,29.4,0,0,0,0,8,0,1,3,6.2,2,1,0,6,,2.0,0.0,50.0
