大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,デンソーエアリービーズ,25,41,265,76,19,28.7,68,20,9,29.4,1.85,8,0.20,89,2,3,3,23,11.2,48,21,11,55.2,76,8,5,89
プレミアカンファレンス,デンソーエアリービーズ,14,19,109,33,9,30.3,28,9,3,32.1,1.74,3,0.16,42,1,2,1,12,13.7,29,12,9,56.9,33,3,3,39
交流戦,デンソーエアリービーズ,6,17,133,39,9,29.3,37,11,5,29.7,2.29,3,0.18,39,1,1,2,10,10.3,11,2,2,27.3,39,3,2,44
ファイナル８・Ａグループ,デンソーエアリービーズ,3,3,19,3,0,15.8,2,0,0,0.0,1.00,2,0.67,7,0,0,0,1,3.6,7,6,0,85.7,3,2,0,5
セミファイナル①,デンソーエアリービーズ,1,1,2,0,0,0.0,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
３位決定戦,デンソーエアリービーズ,1,1,2,1,1,50.0,1,0,1,0.0,1.00,0,-,1,0,0,0,0,0.0,1,1,0,100.0,1,0,0,1
V.LEAGUE DIVISION1 WOMEN 2018-19,デンソーエアリービーズ,9,20,140,50,11,35.7,10,0,2,0.0,2.50,3,0.15,69,0,0,3,20,6.2,92,36,19,49.5,50,3,0,53
Eastern Conference,デンソーエアリービーズ,6,12,92,36,5,39.1,6,0,0,0.0,3.00,3,0.25,45,0,0,1,16,8.3,40,13,11,46.2,36,3,0,39
交流戦,デンソーエアリービーズ,3,8,48,14,6,29.2,4,0,2,0.0,1.75,0,-,24,0,0,2,4,2.1,52,23,8,51.9,14,0,0,14
レギュラーシーズン通算,,29,56,382,122,29,31.9,75,20,10,26.7,2.18,9,0.16,150,2,3,6,42,9.3,132,50,30,49.2,122,9,5,136
通算,,34,61,405,126,30,31.1,78,20,11,25.6,2.07,11,0.18,158,2,3,6,43,9.0,140,57,30,51.4,126,11,5,142
