名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ジルソンベルナルド,サントリーサンバーズ,16,9,11,124,71,14,57.3,46.0,57,32,10,8,42,8,18,7,0,0,0,87,56.1,6.45,0.73,12.5,
ファンダールミューレンオロフ,NECブルーロケッツ,29,9,13,119,59,19,49.6,33.6,51,24,9,1,59,5,13,17,0,0,0,65,47.1,4.54,0.08,10.2,
ホフトーマス,東レアローズ,19,9,11,42,23,4,54.8,45.2,0,0,0,9,37,1,1,9,0,0,0,33,,2.09,0.82,8.1,
ルイスアルベルダシルバ,堺ブレイザーズ,13,9,13,74,33,11,44.6,29.7,34,15,5,8,51,7,11,13,0,0,0,48,44.1,2.54,0.62,14.7,
中垣内祐一,堺ブレイザーズ,4,9,13,103,63,8,61.2,53.4,36,23,3,4,46,3,9,8,53,36,0,70,63.9,4.85,0.31,6.0,67.9
中野順平,東レアローズ,1,9,4,0,0,0,,,0,0,0,0,8,0,3,3,0,0,0,0,,0.0,0.0,0.0,
丸茂智彦,東レアローズ,12,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤信博,堺ブレイザーズ,15,9,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
佐々木太一,サントリーサンバーズ,2,9,11,45,30,0,66.7,66.7,0,0,0,9,50,4,11,13,3,3,0,43,,2.73,0.82,9.0,100.0
加藤陽一,東レアローズ,3,9,11,74,28,8,37.8,27.0,18,7,5,7,36,1,9,6,46,38,0,36,38.9,2.55,0.64,0.7,82.6
大森陽祐,NECブルーロケッツ,15,9,5,0,0,0,,,0,0,0,0,10,0,0,2,0,0,0,0,,0.0,0.0,5.0,
大竹秀之,NECブルーロケッツ,7,9,13,28,20,1,71.4,67.9,0,0,0,9,33,0,0,3,0,0,0,29,,1.54,0.69,2.3,
大野英洋,堺ブレイザーズ,10,9,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
大関元樹,NECブルーロケッツ,5,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
天谷陽介,東レアローズ,10,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
