大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION3 MEN,奈良ドリーマーズ,12,19,0,0,0,-,0,0,0,-,-,0,-,26,0,0,3,3,0.0,0,0,0,-,0,0,0,0
レギュラーラウンド,奈良ドリーマーズ,12,19,0,0,0,-,0,0,0,-,-,0,-,26,0,0,3,3,0.0,0,0,0,-,0,0,0,0
V.LEAGUE DIVISION3 MEN 2018-19,奈良ドリーマーズ,11,10,0,0,0,-,0,0,0,-,-,0,-,14,0,2,2,1,12.5,0,0,0,-,0,0,2,2
レギュラーラウンド,奈良ドリーマーズ,11,10,0,0,0,-,0,0,0,-,-,0,-,14,0,2,2,1,12.5,0,0,0,-,0,0,2,2
Ｖ・チャレンジリーグⅡ男子 2017/18,奈良ドリーマーズ,18,2,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,0,0.0,0,0,0,-,0,0,0,0
レギュラーラウンド,奈良ドリーマーズ,18,2,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,0,0.0,0,0,0,-,0,0,0,0
Ｖ・チャレンジリーグⅡ男子 2016/17,奈良ドリーマーズ,21,42,95,33,7,34.7,0,0,0,-,0.79,17,0.40,137,0,4,14,48,11.1,4,3,0,75.0,33,17,4,54
レギュラーラウンド,奈良ドリーマーズ,21,42,95,33,7,34.7,0,0,0,-,0.79,17,0.40,137,0,4,14,48,11.1,4,3,0,75.0,33,17,4,54
Ｖ・チャレンジリーグⅡ男子 2015/16,奈良ドリーマーズ,18,19,14,5,3,35.7,0,0,0,-,0.26,3,0.16,31,0,0,6,6,4.8,4,3,0,75.0,5,3,0,8
レギュラーラウンド,奈良ドリーマーズ,18,19,14,5,3,35.7,0,0,0,-,0.26,3,0.16,31,0,0,6,6,4.8,4,3,0,75.0,5,3,0,8
レギュラーシーズン通算,,80,92,109,38,10,34.9,0,0,0,-,0.41,20,0.22,209,0,6,25,58,6.8,8,6,0,75.0,38,20,6,64
通算,,80,92,109,38,10,34.9,0,0,0,-,0.41,20,0.22,209,0,6,25,58,6.8,8,6,0,75.0,38,20,6,64
