大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION3 MEN,奈良ドリーマーズ,6,17,26,6,1,23.1,0,0,0,-,0.35,4,0.24,44,1,0,1,9,6.8,0,0,0,-,6,4,1,11
レギュラーラウンド,奈良ドリーマーズ,6,17,26,6,1,23.1,0,0,0,-,0.35,4,0.24,44,1,0,1,9,6.8,0,0,0,-,6,4,1,11
V.LEAGUE DIVISION3 MEN 2018-19,奈良ドリーマーズ,20,63,180,71,6,39.4,1,0,0,0.0,1.13,10,0.16,195,1,4,4,68,10.8,8,7,1,93.8,71,10,5,86
レギュラーラウンド,奈良ドリーマーズ,20,63,180,71,6,39.4,1,0,0,0.0,1.13,10,0.16,195,1,4,4,68,10.8,8,7,1,93.8,71,10,5,86
Ｖ・チャレンジリーグⅡ男子 2017/18,奈良ドリーマーズ,18,65,316,146,23,46.2,3,0,0,0.0,2.25,12,0.18,216,1,3,9,57,7.4,10,4,4,60.0,146,12,4,162
レギュラーラウンド,奈良ドリーマーズ,18,65,316,146,23,46.2,3,0,0,0.0,2.25,12,0.18,216,1,3,9,57,7.4,10,4,4,60.0,146,12,4,162
Ｖ・チャレンジリーグⅡ男子 2016/17,奈良ドリーマーズ,21,78,443,175,33,39.5,5,0,0,0.0,2.24,13,0.17,298,4,15,10,114,14.9,320,218,0,68.1,175,13,19,207
レギュラーラウンド,奈良ドリーマーズ,21,78,443,175,33,39.5,5,0,0,0.0,2.24,13,0.17,298,4,15,10,114,14.9,320,218,0,68.1,175,13,19,207
Ｖ・チャレンジリーグⅡ男子 2015/16,奈良ドリーマーズ,7,25,68,29,5,42.6,0,0,0,-,1.16,7,0.28,61,1,1,2,16,9.5,1,1,0,100.0,29,7,2,38
レギュラーラウンド,奈良ドリーマーズ,7,25,68,29,5,42.6,0,0,0,-,1.16,7,0.28,61,1,1,2,16,9.5,1,1,0,100.0,29,7,2,38
レギュラーシーズン通算,,72,248,1033,427,68,41.3,9,0,0,0.0,1.72,46,0.19,814,8,23,26,264,11.1,339,230,5,68.6,427,46,31,504
通算,,72,248,1033,427,68,41.3,9,0,0,0.0,1.72,46,0.19,814,8,23,26,264,11.1,339,230,5,68.6,427,46,31,504
