名前,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
一森祐希奈,トヨタ自動車ヴァルキューレ,15,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三好紗弥香,群馬銀行グリーンウイングス,13,72,29,222,48,18,21.6,13.5,2,0,0,5,83,3,8,31,144,81,0,0.0,1.66,0.17,10.5,56.2
三浦あゆみ,GSS東京サンビームズ,8,81,34,4,0,1,0.0,-25.0,0,0,0,0,2,0,1,0,76,38,0,,0.0,0.0,-12.5,50.0
三澤未憂,プレステージ・インターナショナルアランマーレ,10,71,31,27,5,4,18.5,3.7,0,0,0,0,48,0,7,19,84,50,0,,0.16,0.0,6.2,59.5
不破沙耶佳,大阪スーペリアーズ,15,73,20,131,46,14,35.1,24.4,6,0,2,9,53,1,7,7,79,50,0,0.0,2.3,0.45,1.9,63.3
中田香澄,プレステージ・インターナショナルアランマーレ,5,71,54,397,124,17,31.2,27.0,0,0,0,3,169,4,17,61,162,86,0,,2.3,0.06,8.9,53.1
丸山佳穂,群馬銀行グリーンウイングス,9,72,11,0,0,0,,,0,0,0,0,14,0,2,4,4,1,0,,0.0,0.0,3.6,25.0
丸田佳穂,GSS東京サンビームズ,10,11,2,1,0,0,0.0,0.0,0,0,0,0,4,0,0,2,0,0,0,,0.0,0.0,12.5,
丹野瑞希,プレステージ・インターナショナルアランマーレ,14,71,10,37,1,4,2.7,-8.1,0,0,0,0,22,4,4,6,0,0,0,,0.1,0.0,20.5,
伊藤セレナ,プレステージ・インターナショナルアランマーレ,1,59,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤仁美,トヨタ自動車ヴァルキューレ,6,72,49,149,48,8,32.2,26.8,0,0,0,21,112,4,7,44,2,0,0,,0.98,0.43,11.8,0.0
佐藤優花,トヨタ自動車ヴァルキューレ,4,72,54,713,316,17,44.3,41.9,28,10,2,23,209,14,23,67,221,127,0,35.7,5.85,0.43,12.0,57.5
佐藤円,プレステージ・インターナショナルアランマーレ,3,71,57,0,0,0,,,0,0,0,0,0,0,0,0,11,1,0,,0.0,0.0,,9.1
佐藤千咲,プレステージ・インターナショナルアランマーレ,18,71,18,32,6,1,18.8,15.6,0,0,0,2,0,0,0,0,1,1,0,,0.33,0.11,,100.0
佐藤梨夏,プレステージ・インターナショナルアランマーレ,12,71,58,356,128,26,36.0,28.7,0,0,0,16,178,16,24,68,17,7,0,,2.21,0.28,15.2,41.2
佐藤綾,プレステージ・インターナショナルアランマーレ,2,71,58,929,323,70,34.8,27.2,162,35,26,17,200,22,42,77,18,7,0,21.6,5.57,0.29,15.4,38.9
先崎早織,GSS東京サンビームズ,15,5,6,15,4,0,26.7,26.7,0,0,0,2,5,0,0,0,0,0,0,,0.67,0.33,0.0,
加藤彩夏,ブレス浜松,11,39,43,279,115,10,41.2,37.6,0,0,0,14,112,3,1,48,232,127,0,,2.67,0.33,13.2,54.7
勝見咲子,GSS東京サンビームズ,29,26,34,406,143,30,35.2,27.8,26,5,4,6,110,7,11,36,195,93,0,19.2,4.21,0.18,12.0,47.7
南涼音,大阪スーペリアーズ,17,48,4,0,0,0,,,0,0,0,0,0,0,0,0,6,4,0,,0.0,0.0,,66.7
原まなみ,大阪スーペリアーズ,1,73,37,13,4,1,30.8,23.1,2,1,0,0,102,2,3,31,1,0,0,50.0,0.11,0.0,8.8,0.0
和途綾香,ブレス浜松,3,77,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
土屋智菜実,群馬銀行グリーンウイングス,12,72,28,196,49,9,25.0,20.4,7,3,1,2,53,3,4,23,129,62,0,42.9,1.75,0.07,14.6,48.1
坂根朱里,大阪スーペリアーズ,8,73,52,717,209,60,29.1,20.8,140,28,20,7,187,6,21,51,123,67,0,20.0,4.02,0.13,7.2,54.5
堀部ジェニファー,GSS東京サンビームズ,13,33,9,4,0,3,0.0,-75.0,0,0,0,0,13,0,2,7,22,10,0,,0.0,0.0,9.6,45.5
多田遥,ブレス浜松,10,83,58,626,199,32,31.8,26.7,35,10,6,8,213,7,12,80,127,65,0,28.6,3.43,0.14,11.3,51.2
大平りさ,ブレス浜松,13,56,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
大橋亜美,トヨタ自動車ヴァルキューレ,11,70,39,0,0,0,,,0,0,0,0,1,0,1,0,148,79,0,,0.0,0.0,-25.0,53.4
姫野来実,大阪スーペリアーズ,2,47,39,0,0,0,,,0,0,0,0,0,0,0,0,306,173,0,,0.0,0.0,,56.5
守谷舞,大阪スーペリアーズ,16,15,10,0,0,0,,,0,0,0,0,0,0,0,0,43,22,0,,0.0,0.0,,51.2
宮垣寛子,大阪スーペリアーズ,5,73,22,33,8,3,24.2,15.2,0,0,0,4,48,1,3,29,14,6,0,,0.36,0.18,15.6,42.9
寺坂茜,群馬銀行グリーンウイングス,15,72,52,538,206,47,38.3,29.6,56,14,9,9,196,16,17,53,0,0,0,25.0,3.96,0.17,12.8,
小松沙季,ブレス浜松,15,1,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
小林愛里,群馬銀行グリーンウイングス,16,57,10,68,24,5,35.3,27.9,2,0,0,3,18,1,2,7,41,15,0,0.0,2.4,0.3,12.5,36.6
小林理奈,大阪スーペリアーズ,19,73,31,23,5,2,21.7,13.0,0,0,0,6,59,0,4,27,1,0,0,,0.16,0.19,9.7,0.0
小野綾華,ブレス浜松,17,83,54,635,192,46,30.2,23.0,40,12,6,7,173,8,20,79,8,3,0,30.0,3.56,0.13,13.2,37.5
山下真理,GSS東京サンビームズ,21,70,27,403,109,21,27.0,21.8,15,3,3,3,135,9,6,67,156,79,0,20.0,4.04,0.11,18.0,50.6
山内佑里子,ブレス浜松,9,71,38,181,49,11,27.1,21.0,0,0,0,6,86,3,2,29,221,115,0,,1.29,0.16,11.3,52.0
山本紗良,大阪スーペリアーズ,7,56,31,273,97,17,35.5,29.3,0,0,0,20,91,0,4,33,28,12,0,,3.13,0.65,8.0,42.9
山本莉来,ブレス浜松,12,83,41,1,0,0,0.0,0.0,0,0,0,0,63,1,3,31,0,0,0,,0.0,0.0,12.7,
平上帆澄,大阪スーペリアーズ,4,63,23,63,20,3,31.7,27.0,1,0,0,3,79,2,5,30,26,7,0,0.0,0.87,0.13,10.4,26.9
平岡みさと,大阪スーペリアーズ,6,61,33,473,141,45,29.8,20.3,108,28,19,13,117,0,5,42,75,31,0,25.9,4.27,0.39,7.9,41.3
平岩沙紀,GSS東京サンビームズ,4,81,47,0,0,0,,,0,0,0,0,0,0,0,0,228,143,0,,0.0,0.0,,62.7
廣田唯,トヨタ自動車ヴァルキューレ,9,72,36,7,1,0,14.3,14.3,0,0,0,0,58,5,8,14,0,0,0,,0.03,0.0,11.2,
後藤真利,トヨタ自動車ヴァルキューレ,7,72,5,0,0,0,,,0,0,0,0,8,0,0,1,0,0,0,,0.0,0.0,3.1,
