名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アダムスモニーク,2003-12,東レアローズ,6,28,249,116,18,46.6,39.4,10,6,1,16,148,13,13,46,142,106,0,145,60.0,4.14,0.57,14.4,74.6
アダムスモニーク,2004-01,東レアローズ,6,22,218,94,16,43.1,35.8,9,3,1,9,96,3,15,20,127,92,0,106,33.3,4.27,0.41,4.4,72.4
アダムスモニーク,2004-02,東レアローズ,6,16,129,59,13,45.7,35.7,2,0,0,4,54,3,9,9,135,99,0,66,0.0,3.69,0.25,5.6,73.3
アルタモノワエブゲーニャ,2003-12,武富士バンブー,8,25,341,144,26,42.2,34.6,111,42,11,1,68,0,4,12,101,75,0,145,37.8,5.76,0.04,2.9,74.3
アルタモノワエブゲーニャ,2004-01,武富士バンブー,8,12,195,71,15,36.4,28.7,51,13,7,2,39,0,2,4,62,44,0,73,25.5,5.92,0.17,1.3,71.0
アルタモノワエブゲーニャ,2004-02,武富士バンブー,8,19,292,128,15,43.8,38.7,71,28,6,6,71,1,5,12,86,66,0,135,39.4,6.74,0.32,3.9,76.7
クロフォードテリーズ,2003-12,日立リヴァーレ,16,31,304,103,32,33.9,23.4,7,1,4,7,103,6,6,33,50,26,0,116,14.3,3.32,0.23,12.4,52.0
クロフォードテリーズ,2004-01,日立リヴァーレ,16,23,271,104,33,38.4,26.2,59,23,13,5,84,4,4,15,16,8,0,113,39.0,4.52,0.22,8.0,50.0
クロフォードテリーズ,2004-02,日立リヴァーレ,16,15,163,57,15,35.0,25.8,19,4,6,4,51,0,4,12,5,4,0,61,21.1,3.8,0.27,3.9,80.0
フールマンフランシーヌ,2003-12,パイオニアレッドウィングス,3,28,198,99,10,50.0,44.9,3,1,0,22,86,3,12,15,11,9,0,124,33.3,3.54,0.79,4.4,81.8
フールマンフランシーヌ,2004-01,パイオニアレッドウィングス,3,20,133,69,7,51.9,46.6,0,0,0,21,78,3,16,19,3,3,0,93,,3.45,1.05,4.8,100.0
フールマンフランシーヌ,2004-02,パイオニアレッドウィングス,3,19,128,68,5,53.1,49.2,0,0,0,12,69,2,12,15,3,2,0,82,,3.58,0.63,4.0,66.7
三浦聖子,2003-12,デンソーエアリービーズ,10,8,0,0,0,,,0,0,0,0,6,0,1,1,13,8,0,0,,0.0,0.0,0.0,61.5
三浦聖子,2004-01,デンソーエアリービーズ,10,10,0,0,0,,,0,0,0,0,10,0,1,2,19,13,0,0,,0.0,0.0,2.5,68.4
三浦聖子,2004-02,デンソーエアリービーズ,10,15,0,0,0,,,0,0,0,0,9,0,0,0,12,10,0,0,,0.0,0.0,0.0,83.3
三澤由佳,2004-01,武富士バンブー,14,16,39,13,3,33.3,25.6,0,0,0,1,51,1,4,8,1,1,0,15,,0.81,0.06,3.9,100.0
