名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アダムスモニーク,東レアローズ,6,66,596,269,47,45.1,37.2,21,9,2,29,298,19,37,75,404,297,0,317,42.9,4.08,0.44,9.6,73.5
アルタモノワエブゲーニャ,武富士バンブー,8,56,828,343,56,41.4,34.7,233,83,24,9,178,1,11,28,249,185,0,353,35.6,6.12,0.16,2.9,74.3
クロフォードテリーズ,日立リヴァーレ,16,69,738,264,80,35.8,24.9,85,28,23,16,238,10,14,60,71,38,0,290,32.9,3.83,0.23,9.0,53.5
フールマンフランシーヌ,パイオニアレッドウィングス,3,67,459,236,22,51.4,46.6,3,1,0,55,233,8,40,49,17,14,0,299,33.3,3.52,0.82,4.4,82.4
三浦聖子,デンソーエアリービーズ,10,33,0,0,0,,,0,0,0,0,25,0,2,3,44,31,0,0,,0.0,0.0,1.0,70.5
三澤由佳,武富士バンブー,14,16,39,13,3,33.3,25.6,0,0,0,1,51,1,4,8,1,1,0,15,,0.81,0.06,3.9,100.0
上田麻乃,シーガルズ,8,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
中川佑美,東レアローズ,10,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村夕紀美,茂原アルカス,4,41,0,0,0,,,0,0,0,0,23,0,2,8,211,146,0,0,,0.0,0.0,6.5,69.2
中道瞳,東レアローズ,15,32,0,0,0,,,0,0,0,0,39,1,1,7,0,0,0,1,,0.0,0.0,6.4,
久保庭怜奈,パイオニアレッドウィングス,14,5,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
久保雅,JTマーヴェラス,16,30,114,41,7,36.0,29.8,0,0,0,18,90,1,5,32,8,4,0,60,,1.37,0.6,8.6,50.0
五十川葉子,東レアローズ,3,21,28,14,2,50.0,42.9,0,0,0,0,18,0,1,2,45,26,0,14,,0.67,0.0,1.4,57.8
井上香織,デンソーエアリービーズ,8,14,7,2,1,28.6,14.3,0,0,0,2,12,0,1,2,0,0,0,4,,0.14,0.14,2.1,
井村仁美,武富士バンブー,9,63,9,4,0,44.4,44.4,0,0,0,1,203,3,15,35,1,1,0,8,,0.06,0.02,3.9,100.0
井西彩乃,茂原アルカス,14,5,3,2,0,66.7,66.7,0,0,0,0,4,0,1,1,5,3,0,2,,0.4,0.0,0.0,60.0
仁木希,NECレッドロケッツ,4,38,223,88,12,39.5,34.1,1,0,0,8,109,2,6,33,159,128,0,98,0.0,2.32,0.21,8.0,80.5
伊地知麻貴,武富士バンブー,11,60,3,1,0,33.3,33.3,0,0,0,6,40,1,3,7,0,0,0,8,,0.02,0.1,5.0,
佐々木みき,パイオニアレッドウィングス,0,67,763,332,41,43.5,38.1,180,71,19,23,261,7,56,27,157,101,0,362,39.4,4.96,0.34,-0.1,64.3
佐田樹理,JTマーヴェラス,14,59,183,58,10,31.7,26.2,2,0,0,4,156,9,15,49,182,123,0,71,0.0,0.98,0.07,11.2,67.6
佐藤朱里,パイオニアレッドウィングス,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
先野久美子,久光製薬スプリングス,4,74,414,178,21,43.0,37.9,1,0,0,45,190,4,5,53,10,10,0,227,0.0,2.41,0.61,8.4,100.0
内田役子,パイオニアレッドウィングス,16,66,30,18,2,60.0,53.3,0,0,0,10,227,9,29,42,0,0,0,37,,0.27,0.15,5.4,
