名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アウントゥ,2019-03,東レアローズ,20,6,9,89,47,5,52.8,47.2,18,10,0,4,35,2,4,10,98,48,35,53,55.6,5.22,0.44,10.0,66.8
エドガートーマス,2019-03,JTサンダーズ,6,6,9,103,57,9,55.3,46.6,53,32,6,6,29,1,9,9,0,0,0,64,60.4,6.33,0.67,3.4,
ルジェアントニン,2019-03,東レアローズ,4,6,9,86,41,11,47.7,34.9,39,19,6,3,30,4,12,6,0,0,0,48,48.7,4.56,0.33,8.3,
久原大輝,2019-03,JTサンダーズ,11,6,6,0,0,0,,,0,0,0,0,9,1,0,1,0,0,0,1,,0.0,0.0,13.9,
井上航,2019-03,JTサンダーズ,10,6,9,0,0,0,,,0,0,0,0,0,0,0,0,38,16,10,0,,0.0,0.0,,55.3
井手智,2019-03,東レアローズ,22,6,9,0,0,0,,,0,0,0,0,0,0,0,0,48,21,13,0,,0.0,0.0,,57.3
伏見大和,2019-03,東レアローズ,3,6,7,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
八子大輔,2019-03,JTサンダーズ,7,6,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
劉力賓,2019-03,JTサンダーズ,16,6,9,47,26,3,55.3,48.9,12,8,0,8,39,1,7,6,59,20,18,35,66.7,2.89,0.89,1.9,49.2
合田心平,2019-03,JTサンダーズ,12,6,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
唐川大志,2019-03,JTサンダーズ,15,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
安永拓弥,2019-03,JTサンダーズ,1,6,9,18,10,0,55.6,55.6,0,0,0,5,28,1,0,4,0,0,0,16,,1.11,0.56,7.1,
小野寺太志,2019-03,JTサンダーズ,2,6,9,20,13,2,65.0,55.0,0,0,0,6,39,1,1,10,2,0,1,20,,1.44,0.67,8.3,25.0
山本将平,2019-03,JTサンダーズ,18,6,9,40,17,1,42.5,40.0,0,0,0,5,28,1,5,5,62,24,16,23,,1.89,0.56,3.6,51.6
星野秀知,2019-03,東レアローズ,10,6,9,33,21,0,63.6,63.6,0,0,0,1,24,0,1,9,39,14,13,22,,2.33,0.11,8.3,52.6
李博,2019-03,東レアローズ,15,6,9,16,14,0,87.5,87.5,0,0,0,1,42,4,8,14,1,0,0,19,,1.56,0.11,13.1,0.0
梅野聡,2019-03,東レアローズ,19,6,9,2,1,0,50.0,50.0,0,0,0,0,38,1,2,8,0,0,0,2,,0.11,0.0,6.6,
武智洸史,2019-03,JTサンダーズ,8,6,3,0,0,0,,,0,0,0,0,0,0,0,0,3,2,1,0,,0.0,0.0,,83.3
深津旭弘,2019-03,JTサンダーズ,3,6,9,2,2,0,100.0,100.0,0,0,0,0,38,0,2,4,1,0,0,2,,0.22,0.0,1.3,0.0
渡辺俊介,2019-03,東レアローズ,6,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
筧本翔昂,2019-03,JTサンダーズ,20,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
米山裕太,2019-03,東レアローズ,5,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
落合一貴,2019-03,東レアローズ,16,6,5,0,0,0,,,0,0,0,0,5,1,2,1,0,0,0,1,,0.0,0.0,15.0,
酒井啓輔,2019-03,東レアローズ,14,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
金子聖輝,2019-03,JTサンダーズ,17,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
鈴木悠二,2019-03,東レアローズ,18,6,6,0,0,0,,,0,0,0,0,7,0,2,1,0,0,0,0,,0.0,0.0,-3.6,
阿部裕太,2019-03,東レアローズ,9,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
高橋健太郎,2019-03,東レアローズ,2,6,9,20,8,0,40.0,40.0,0,0,0,6,25,1,3,2,1,0,0,15,,0.89,0.67,3.0,0.0
