名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
クビアクミハウ,2018-03,パナソニックパンサーズ,13,8,75,32,8,42.7,32.0,10,5,1,5,34,1,4,13,60,28,11,38,50.0,4.0,0.62,9.6,55.8
久原翼,2018-03,パナソニックパンサーズ,7,3,10,6,0,60.0,60.0,1,1,0,0,9,0,0,2,5,1,1,6,100.0,2.0,0.0,5.6,30.0
今村貴彦,2018-03,パナソニックパンサーズ,9,7,34,15,2,44.1,38.2,10,7,1,3,21,0,6,3,1,0,0,18,70.0,2.14,0.43,-3.6,0.0
伊賀亮平,2018-03,パナソニックパンサーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
傳田亮太,2018-03,豊田合成トレフェルサ,11,8,16,10,0,62.5,62.5,0,0,0,4,30,3,8,11,2,1,1,17,,1.25,0.5,12.5,75.0
内山正平,2018-03,豊田合成トレフェルサ,4,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
前田一誠,2018-03,豊田合成トレフェルサ,5,8,1,0,0,0.0,0.0,0,0,0,1,28,1,1,5,0,0,0,2,,0.0,0.12,7.1,
古賀幸一郎,2018-03,豊田合成トレフェルサ,10,8,0,0,0,,,0,0,0,0,0,0,0,0,45,28,9,0,,0.0,0.0,,72.2
専田和也,2018-03,パナソニックパンサーズ,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山内晶大,2018-03,パナソニックパンサーズ,10,8,21,16,1,76.2,71.4,0,0,0,3,31,1,2,8,0,0,0,20,,2.0,0.38,8.1,
山添信也,2018-03,パナソニックパンサーズ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山田脩造,2018-03,豊田合成トレフェルサ,1,8,41,17,4,41.5,31.7,6,4,1,3,16,0,3,6,21,7,5,20,66.7,2.12,0.38,4.7,45.2
山近哲,2018-03,豊田合成トレフェルサ,2,2,2,2,0,100.0,100.0,0,0,0,0,4,0,2,0,0,0,0,2,,1.0,0.0,-12.5,
岡本秀明,2018-03,豊田合成トレフェルサ,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
川口太一,2018-03,豊田合成トレフェルサ,20,8,0,0,0,,,0,0,0,0,0,0,0,0,15,6,2,0,,0.0,0.0,,46.7
新井洋介,2018-03,豊田合成トレフェルサ,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
椿山竜介,2018-03,豊田合成トレフェルサ,14,6,50,22,4,44.0,36.0,16,7,2,0,16,0,1,7,1,0,0,22,43.8,3.67,0.0,9.4,0.0
永野健,2018-03,パナソニックパンサーズ,17,8,0,0,0,,,0,0,0,0,0,0,0,0,34,18,10,0,,0.0,0.0,,67.6
池田政之,2018-03,パナソニックパンサーズ,11,7,5,2,1,40.0,20.0,0,0,0,0,0,0,0,0,0,0,0,2,,0.29,0.0,,
深津英臣,2018-03,パナソニックパンサーズ,2,8,1,0,1,0.0,-100.0,0,0,0,3,28,0,1,7,2,0,0,3,,0.0,0.38,5.4,0.0
渡辺奏吾,2018-03,パナソニックパンサーズ,5,2,0,0,0,,,0,0,0,0,2,0,0,0,3,1,0,0,,0.0,0.0,0.0,33.3
渡邊侑磨,2018-03,豊田合成トレフェルサ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
白岩直也,2018-03,豊田合成トレフェルサ,7,7,18,6,3,33.3,16.7,0,0,0,1,15,1,2,5,61,25,19,8,,0.86,0.14,11.7,56.6
白澤健児,2018-03,パナソニックパンサーズ,6,8,14,6,0,42.9,42.9,0,0,0,6,30,2,2,9,0,0,0,14,,0.75,0.75,12.5,
福澤達哉,2018-03,パナソニックパンサーズ,15,8,64,30,6,46.9,37.5,9,5,3,4,23,0,5,3,31,8,5,34,55.6,3.75,0.5,-2.2,33.9
近裕崇,2018-03,豊田合成トレフェルサ,6,8,18,6,2,33.3,22.2,0,0,0,1,22,0,5,8,0,0,0,7,,0.75,0.12,3.4,
関田誠大,2018-03,パナソニックパンサーズ,8,3,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
高松卓矢,2018-03,豊田合成トレフェルサ,12,8,96,40,4,41.7,37.5,11,7,1,1,34,3,5,7,14,3,5,44,63.6,5.0,0.12,10.3,39.3
黒澤雄介,2018-03,豊田合成トレフェルサ,16,1,2,0,1,0.0,-50.0,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,0.0,,0.0
