大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,ジェイテクトSTINGS,29,12,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,64,37,12,67.2,0,0,0,0
レギュラーラウンド,ジェイテクトSTINGS,27,12,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,64,37,12,67.2,0,0,0,0
セミファイナル（３位決定戦）,ジェイテクトSTINGS,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル,ジェイテクトSTINGS,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,ジェイテクトSTINGS,27,102,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,453,236,107,63.9,0,0,0,0
レギュラーラウンド,ジェイテクトSTINGS,27,102,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,453,236,107,63.9,0,0,0,0
Ｖ・プレミアリーグ男子 2017/18,ジェイテクトSTINGS,26,97,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,417,191,115,59.6,0,0,0,0
レギュラーラウンド,ジェイテクトSTINGS,21,78,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,310,146,91,61.8,0,0,0,0
ファイナル６,ジェイテクトSTINGS,5,19,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,107,45,24,53.3,0,0,0,0
天皇杯全日本選手権大会,,1,4,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,19,7,7,55.3,0,0,0,0
レギュラーラウンド,,1,4,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,19,7,7,55.3,0,0,0,0
Ｖ・プレミアリーグ男子 2016/17,ジェイテクトSTINGS,29,36,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,163,98,0,60.1,0,0,0,0
レギュラーラウンド,ジェイテクトSTINGS,21,18,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,77,46,0,59.7,0,0,0,0
ファイナル６,ジェイテクトSTINGS,5,11,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,55,35,0,63.6,0,0,0,0
ファイナル３,ジェイテクトSTINGS,3,7,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,31,17,0,54.8,0,0,0,0
天皇杯全日本選手権大会,,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2015/16,ジェイテクトSTINGS,26,6,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,21,13,0,61.9,0,0,0,0
レギュラーラウンド,ジェイテクトSTINGS,21,6,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,21,13,0,61.9,0,0,0,0
ファイナル６,ジェイテクトSTINGS,5,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2014/15,ジェイテクトSTINGS,26,100,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,582,398,0,68.4,0,0,0,0
レギュラーラウンド,ジェイテクトSTINGS,21,77,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,444,302,0,68.0,0,0,0,0
ファイナル６,ジェイテクトSTINGS,5,23,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,138,96,0,69.6,0,0,0,0
Ｖ・プレミアリーグ男子 2013/14,ジェイテクトSTINGS,28,106,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,677,450,0,66.5,0,0,0,0
レギュラーラウンド,ジェイテクトSTINGS,28,106,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,677,450,0,66.5,0,0,0,0
チャレンジマッチ男子2013/14,ジェイテクトSTINGS,2,6,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,52,39,0,75.0,0,0,0,0
チャレンジマッチ,ジェイテクトSTINGS,2,6,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,52,39,0,75.0,0,0,0,0
