大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,パナソニックパンサーズ,27,83,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,318,159,83,63.1,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,26,78,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,297,153,77,64.5,0,0,0,0
ファイナル,パナソニックパンサーズ,1,5,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,21,6,6,42.9,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,パナソニックパンサーズ,34,116,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,525,267,115,61.8,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,27,89,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,408,205,89,61.2,0,0,0,0
ファイナル６,パナソニックパンサーズ,5,19,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,83,48,17,68.1,0,0,0,0
ファイナル,パナソニックパンサーズ,2,8,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,34,14,9,54.4,0,0,0,0
Ｖ・プレミアリーグ男子 2017/18,パナソニックパンサーズ,28,99,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,400,199,118,64.5,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,21,74,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,283,147,80,66.1,0,0,0,0
ファイナル６,パナソニックパンサーズ,5,17,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,83,34,28,57.8,0,0,0,0
ファイナル,パナソニックパンサーズ,2,8,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,34,18,10,67.6,0,0,0,0
天皇杯全日本選手権大会,,2,9,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,35,11,14,51.4,0,0,0,0
レギュラーラウンド,,2,9,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,35,11,14,51.4,0,0,0,0
Ｖ・プレミアリーグ男子 2016/17,パナソニックパンサーズ,26,98,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,442,304,0,68.8,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,21,79,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,332,232,0,69.9,0,0,0,0
ファイナル６,パナソニックパンサーズ,5,19,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,110,72,0,65.5,0,0,0,0
Ｖ・プレミアリーグ男子 2015/16,パナソニックパンサーズ,28,107,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,532,367,0,69.0,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,21,82,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,386,271,0,70.2,0,0,0,0
ファイナル６,パナソニックパンサーズ,5,15,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,87,56,0,64.4,0,0,0,0
ファイナル３,パナソニックパンサーズ,1,5,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,26,16,0,61.5,0,0,0,0
ファイナル,パナソニックパンサーズ,1,5,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,33,24,0,72.7,0,0,0,0
Ｖ・プレミアリーグ男子 2014/15,パナソニックパンサーズ,26,88,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,504,351,0,69.6,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,21,67,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,369,261,0,70.7,0,0,0,0
ファイナル６,パナソニックパンサーズ,5,21,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,135,90,0,66.7,0,0,0,0
Ｖ・プレミアリーグ男子 2013/14,パナソニックパンサーズ,31,116,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,593,426,0,71.8,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,27,102,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,531,380,0,71.6,0,0,0,0
セミファイナルラウンド,パナソニックパンサーズ,3,9,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,39,27,0,69.2,0,0,0,0
ファイナルラウンド,パナソニックパンサーズ,1,5,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,23,19,0,82.6,0,0,0,0
Ｖ・プレミアリーグ男子 2012/13,パナソニックパンサーズ,32,118,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,612,473,0,77.3,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,28,101,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,481,371,0,77.1,0,0,0,0
セミファイナルラウンド,パナソニックパンサーズ,3,13,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,90,73,0,81.1,0,0,0,0
ファイナルラウンド,パナソニックパンサーズ,1,4,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,41,29,0,70.7,0,0,0,0
Ｖ・プレミアリーグ男子 2011/12,パナソニックパンサーズ,25,105,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,430,320,0,74.4,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,21,88,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,358,264,0,73.7,0,0,0,0
セミファイナルラウンド,パナソニックパンサーズ,3,12,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,48,38,0,79.2,0,0,0,0
ファイナルラウンド,パナソニックパンサーズ,1,5,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,24,18,0,75.0,0,0,0,0
Ｖ・プレミアリーグ男子 2010/11,パナソニックパンサーズ,24,82,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,377,265,0,70.3,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,24,82,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,377,265,0,70.3,0,0,0,0
Ｖ・プレミアリーグ男子 2009/10,パナソニックパンサーズ,32,114,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,478,347,0,72.6,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,28,99,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,404,289,0,71.5,0,0,0,0
セミファイナルラウンド,パナソニックパンサーズ,3,12,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,59,46,0,78.0,0,0,0,0
ファイナルラウンド,パナソニックパンサーズ,1,3,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,15,12,0,80.0,0,0,0,0
日韓V.LEAGUE TOP MATCH 男子 2010,,1,4,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,20,16,0,80.0,0,0,0,0
日韓V.LEAGUE TOP MATCH,,1,4,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,20,16,0,80.0,0,0,0,0
Ｖ・プレミアリーグ男子 2008/09,パナソニックパンサーズ,32,113,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,491,352,0,71.7,0,0,0,0
レギュラーラウンド,パナソニックパンサーズ,28,99,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,434,314,0,72.4,0,0,0,0
セミファイナルラウンド,パナソニックパンサーズ,3,11,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,48,32,0,66.7,0,0,0,0
ファイナルラウンド,パナソニックパンサーズ,1,3,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,9,6,0,66.7,0,0,0,0
