大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,サントリーサンバーズ,30,103,30,19,1,63.3,60.0,2,1,0,50.0,50.0,0.18,24,0.23,399,8,10,74,80,4.9,5,0,0,0.0,19,24,18,61
レギュラーラウンド,サントリーサンバーズ,27,92,30,19,1,63.3,60.0,2,1,0,50.0,50.0,0.21,23,0.25,336,5,7,65,65,3.6,4,0,0,0.0,19,23,12,54
GAME1（5位決定戦）,サントリーサンバーズ,1,3,0,0,0,-,,0,0,0,-,,-,0,-,11,0,0,2,3,2.3,0,0,0,-,0,0,0,0
GAME2（4位決定戦）,サントリーサンバーズ,1,4,0,0,0,-,,0,0,0,-,,-,1,0.25,39,2,3,4,9,16.0,0,0,0,-,0,1,5,6
セミファイナル（３位決定戦）,サントリーサンバーズ,1,4,0,0,0,-,,0,0,0,-,,-,0,-,13,1,0,3,3,7.7,1,0,0,0.0,0,0,1,1
V.LEAGUE DIVISION1 MEN 2018-19,サントリーサンバーズ,29,112,32,20,0,62.5,62.5,0,0,0,-,,0.18,23,0.21,403,9,6,75,103,5.5,7,1,0,14.3,20,23,15,58
レギュラーラウンド,サントリーサンバーズ,24,90,20,13,0,65.0,65.0,0,0,0,-,,0.14,17,0.19,319,8,4,66,88,5.5,3,1,0,33.3,13,17,12,42
ファイナル６,サントリーサンバーズ,5,22,12,7,0,58.3,58.333333333333336,0,0,0,-,,0.32,6,0.27,84,1,2,9,15,5.4,4,0,0,0.0,7,6,3,16
Ｖ・プレミアリーグ男子 2017/18,サントリーサンバーズ,12,49,23,10,2,43.5,34.78260869565217,0,0,0,-,,0.20,12,0.24,167,4,4,47,35,3.0,2,1,1,75.0,10,12,8,30
レギュラーラウンド,サントリーサンバーズ,7,29,16,6,2,37.5,25.0,0,0,0,-,,0.21,8,0.28,108,2,4,26,21,4.4,2,1,1,75.0,6,8,6,20
ファイナル６,サントリーサンバーズ,5,20,7,4,0,57.1,57.14285714285714,0,0,0,-,,0.20,4,0.20,59,2,0,21,14,0.4,0,0,0,-,4,4,2,10
レギュラーシーズン通算,,58,211,66,38,3,57.6,53.03030303030303,2,1,0,50.0,50.0,0.18,48,0.23,763,15,15,157,174,4.5,9,2,1,27.8,38,48,30,116
通算,,71,264,85,49,3,57.6,54.11764705882353,2,1,0,50.0,50.0,0.19,59,0.22,969,21,20,196,218,4.8,14,2,1,17.9,49,59,41,149
