大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,大分三好ヴァイセアドラー,27,38,178,75,13,42.1,34.831460674157306,23,9,4,39.1,21.73913043478261,1.97,8,0.21,80,1,2,22,16,1.9,136,46,36,47.1,75,8,3,86
レギュラーラウンド,大分三好ヴァイセアドラー,27,38,178,75,13,42.1,34.831460674157306,23,9,4,39.1,21.73913043478261,1.97,8,0.21,80,1,2,22,16,1.9,136,46,36,47.1,75,8,3,86
V.LEAGUE DIVISION1 MEN 2018-19,大分三好ヴァイセアドラー,27,29,115,46,10,40.0,31.30434782608696,15,8,4,53.3,26.666666666666668,1.59,7,0.24,46,1,1,13,2,-1.6,64,23,18,50.0,46,7,2,55
レギュラーラウンド,大分三好ヴァイセアドラー,27,29,115,46,10,40.0,31.30434782608696,15,8,4,53.3,26.666666666666668,1.59,7,0.24,46,1,1,13,2,-1.6,64,23,18,50.0,46,7,2,55
Ｖ・チャレンジリーグⅠ男子 2017/18,大分三好ヴァイセアドラー,21,72,604,326,51,54.0,45.52980132450331,105,54,10,51.4,41.904761904761905,4.53,24,0.33,280,11,17,44,78,13.0,320,114,97,50.8,326,24,28,378
レギュラーラウンド,大分三好ヴァイセアドラー,21,72,604,326,51,54.0,45.52980132450331,105,54,10,51.4,41.904761904761905,4.53,24,0.33,280,11,17,44,78,13.0,320,114,97,50.8,326,24,28,378
Ｖ・チャレンジリーグⅠ男子 2016/17,大分三好ヴァイセアドラー,21,70,556,284,48,51.1,42.44604316546763,41,19,4,46.3,36.58536585365854,4.06,38,0.54,250,8,6,52,75,12.6,197,94,0,47.7,284,38,14,336
レギュラーラウンド,大分三好ヴァイセアドラー,21,70,556,284,48,51.1,42.44604316546763,41,19,4,46.3,36.58536585365854,4.06,38,0.54,250,8,6,52,75,12.6,197,94,0,47.7,284,38,14,336
チャレンジマッチ男子2016/17,大分三好ヴァイセアドラー,2,5,29,12,3,41.4,31.03448275862069,3,2,0,66.7,66.66666666666666,2.40,1,0.20,11,0,0,4,3,6.8,16,8,0,50.0,12,1,0,13
チャレンジマッチ,大分三好ヴァイセアドラー,2,5,29,12,3,41.4,31.03448275862069,3,2,0,66.7,66.66666666666666,2.40,1,0.20,11,0,0,4,3,6.8,16,8,0,50.0,12,1,0,13
Ｖ・チャレンジリーグⅠ男子 2015/16,大分三好ヴァイセアドラー,6,12,39,20,3,51.3,43.58974358974359,3,3,0,100.0,100.0,1.67,1,0.08,25,2,1,5,5,16.2,18,5,0,27.8,20,1,3,24
レギュラーラウンド,大分三好ヴァイセアドラー,6,12,39,20,3,51.3,43.58974358974359,3,3,0,100.0,100.0,1.67,1,0.08,25,2,1,5,5,16.2,18,5,0,27.8,20,1,3,24
チャレンジマッチ男子2015/16,大分三好ヴァイセアドラー,2,3,0,0,0,-,,0,0,0,-,,-,0,-,3,0,0,1,1,8.3,0,0,0,-,0,0,0,0
チャレンジマッチ,大分三好ヴァイセアドラー,2,3,0,0,0,-,,0,0,0,-,,-,0,-,3,0,0,1,1,8.3,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,102,221,1492,751,125,50.3,41.957104557640754,187,93,22,49.7,37.967914438502675,3.40,78,0.35,681,23,27,136,176,8.8,735,282,151,48.6,751,78,50,879
通算,,106,229,1521,763,128,50.2,41.748849441157134,190,95,22,50.0,38.421052631578945,3.33,79,0.34,695,23,27,141,180,8.6,751,290,151,48.7,763,79,50,892
