大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,ジェイテクトSTINGS,26,53,148,66,12,44.6,36.486486486486484,9,5,0,55.6,55.55555555555556,1.25,5,0.09,175,1,3,14,28,4.3,211,87,65,56.6,66,5,4,75
レギュラーラウンド,ジェイテクトSTINGS,24,53,148,66,12,44.6,36.486486486486484,9,5,0,55.6,55.55555555555556,1.25,5,0.09,175,1,3,14,28,4.3,211,87,65,56.6,66,5,4,75
セミファイナル（３位決定戦）,ジェイテクトSTINGS,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル,ジェイテクトSTINGS,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,ジェイテクトSTINGS,27,93,375,178,22,47.5,41.6,53,29,2,54.7,50.943396226415096,1.91,21,0.23,272,2,6,24,58,6.1,428,187,108,56.3,178,21,8,207
レギュラーラウンド,ジェイテクトSTINGS,27,93,375,178,22,47.5,41.6,53,29,2,54.7,50.943396226415096,1.91,21,0.23,272,2,6,24,58,6.1,428,187,108,56.3,178,21,8,207
Ｖ・プレミアリーグ男子 2017/18,ジェイテクトSTINGS,26,90,467,196,25,42.0,36.61670235546038,45,22,2,48.9,44.44444444444444,2.18,20,0.22,312,3,5,33,81,6.4,482,222,125,59.0,196,20,8,224
レギュラーラウンド,ジェイテクトSTINGS,21,71,363,148,24,40.8,34.15977961432507,30,12,2,40.0,33.33333333333333,2.08,14,0.20,246,3,5,26,64,7.1,377,184,96,61.5,148,14,8,170
ファイナル６,ジェイテクトSTINGS,5,19,104,48,1,46.2,45.19230769230769,15,10,0,66.7,66.66666666666666,2.53,6,0.32,66,0,0,7,17,3.8,105,38,29,50.0,48,6,0,54
天皇杯全日本選手権大会,,1,4,15,8,0,53.3,53.333333333333336,3,2,0,66.7,66.66666666666666,2.00,0,-,13,1,0,0,2,11.5,13,3,6,46.2,8,0,1,9
レギュラーラウンド,,1,4,15,8,0,53.3,53.333333333333336,3,2,0,66.7,66.66666666666666,2.00,0,-,13,1,0,0,2,11.5,13,3,6,46.2,8,0,1,9
Ｖ・プレミアリーグ男子 2016/17,ジェイテクトSTINGS,17,33,172,80,9,46.5,41.27906976744186,15,9,2,60.0,46.666666666666664,2.42,7,0.21,82,2,1,9,29,12.3,204,112,0,54.9,80,7,3,90
レギュラーラウンド,ジェイテクトSTINGS,9,14,43,16,2,37.2,32.55813953488372,2,2,0,100.0,100.0,1.14,0,-,21,0,0,1,6,7.1,57,33,0,57.9,16,0,0,16
ファイナル６,ジェイテクトSTINGS,5,12,83,47,5,56.6,50.602409638554214,11,7,1,63.6,54.54545454545454,3.92,6,0.50,41,2,1,6,19,18.4,92,49,0,53.3,47,6,3,56
ファイナル３,ジェイテクトSTINGS,3,7,46,17,2,37.0,32.608695652173914,2,0,1,0.0,-50.0,2.43,1,0.14,20,0,0,2,4,5.0,55,30,0,54.5,17,1,0,18
Ｖ・プレミアリーグ男子 2015/16,ジェイテクトSTINGS,23,71,393,154,25,39.2,32.82442748091603,26,8,6,30.8,7.6923076923076925,2.17,12,0.17,203,6,1,27,82,13.4,441,283,0,64.2,154,12,7,173
レギュラーラウンド,ジェイテクトSTINGS,18,57,317,123,23,38.8,31.545741324921135,24,7,6,29.2,4.166666666666666,2.16,7,0.12,153,5,1,22,59,13.4,363,237,0,65.3,123,7,6,136
