大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,パナソニックパンサーズ,24,81,156,92,4,59.0,56.41025641025641,0,0,0,-,,1.14,42,0.52,300,1,1,17,48,3.2,12,2,3,29.2,92,42,2,136
レギュラーラウンド,パナソニックパンサーズ,23,76,150,89,4,59.3,56.666666666666664,0,0,0,-,,1.17,40,0.53,287,1,1,16,47,3.4,10,2,3,35.0,89,40,2,131
ファイナル,パナソニックパンサーズ,1,5,6,3,0,50.0,50.0,0,0,0,-,,0.60,2,0.40,13,0,0,1,1,0.0,2,0,0,0.0,3,2,0,5
V.LEAGUE DIVISION1 MEN 2018-19,パナソニックパンサーズ,31,94,177,112,4,63.3,61.016949152542374,0,0,0,-,,1.19,69,0.73,360,3,6,27,94,7.2,13,2,5,34.6,112,69,9,190
レギュラーラウンド,パナソニックパンサーズ,25,74,143,93,3,65.0,62.93706293706294,0,0,0,-,,1.26,58,0.78,288,3,5,19,75,7.6,12,2,4,33.3,93,58,8,159
ファイナル６,パナソニックパンサーズ,4,12,24,13,1,54.2,50.0,0,0,0,-,,1.08,6,0.50,49,0,0,4,16,6.1,0,0,0,-,13,6,0,19
ファイナル,パナソニックパンサーズ,2,8,10,6,0,60.0,60.0,0,0,0,-,,0.75,5,0.62,23,0,1,4,3,3.3,1,0,1,50.0,6,5,1,12
Ｖ・プレミアリーグ男子 2017/18,パナソニックパンサーズ,26,92,192,115,7,59.9,56.25,0,0,0,-,,1.25,65,0.71,335,8,9,51,58,5.6,9,3,3,50.0,115,65,17,197
レギュラーラウンド,パナソニックパンサーズ,19,67,149,94,6,63.1,59.06040268456376,0,0,0,-,,1.40,51,0.76,243,6,7,38,39,5.5,7,3,1,50.0,94,51,13,158
ファイナル６,パナソニックパンサーズ,5,17,29,15,1,51.7,48.275862068965516,0,0,0,-,,0.88,8,0.47,62,1,1,11,10,2.8,2,0,2,50.0,15,8,2,25
ファイナル,パナソニックパンサーズ,2,8,14,6,0,42.9,42.857142857142854,0,0,0,-,,0.75,6,0.75,30,1,1,2,9,12.5,0,0,0,-,6,6,2,14
天皇杯全日本選手権大会,,2,9,14,6,1,42.9,35.714285714285715,0,0,0,-,,0.67,6,0.67,39,0,0,4,8,2.6,0,0,0,-,6,6,0,12
レギュラーラウンド,,2,9,14,6,1,42.9,35.714285714285715,0,0,0,-,,0.67,6,0.67,39,0,0,4,8,2.6,0,0,0,-,6,6,0,12
Ｖ・プレミアリーグ男子 2016/17,パナソニックパンサーズ,26,96,152,90,8,59.2,53.94736842105263,0,0,0,-,,0.94,58,0.60,298,2,5,29,107,11.0,7,4,0,57.1,90,58,7,155
レギュラーラウンド,パナソニックパンサーズ,21,77,122,71,6,58.2,53.278688524590166,0,0,0,-,,0.92,46,0.60,240,2,3,24,91,11.3,6,4,0,66.7,71,46,5,122
ファイナル６,パナソニックパンサーズ,5,19,30,19,2,63.3,56.666666666666664,0,0,0,-,,1.00,12,0.63,58,0,2,5,16,9.7,1,0,0,0.0,19,12,2,33
Ｖ・プレミアリーグ男子 2015/16,パナソニックパンサーズ,28,105,208,114,2,54.8,53.84615384615385,1,0,0,0.0,0.0,1.09,59,0.56,301,4,2,18,71,7.8,19,12,0,63.2,114,59,6,179
レギュラーラウンド,パナソニックパンサーズ,21,80,165,92,2,55.8,54.54545454545454,1,0,0,0.0,0.0,1.15,44,0.55,232,3,1,14,49,6.9,15,12,0,80.0,92,44,4,140
ファイナル６,パナソニックパンサーズ,5,15,28,13,0,46.4,46.42857142857143,0,0,0,-,,0.87,7,0.47,42,1,1,3,18,15.0,1,0,0,0.0,13,7,2,22
ファイナル３,パナソニックパンサーズ,1,5,5,3,0,60.0,60.0,0,0,0,-,,0.60,6,1.20,13,0,0,0,3,5.8,3,0,0,0.0,3,6,0,9
ファイナル,パナソニックパンサーズ,1,5,10,6,0,60.0,60.0,0,0,0,-,,1.20,2,0.40,14,0,0,1,1,1.8,0,0,0,-,6,2,0,8
Ｖ・プレミアリーグ男子 2014/15,パナソニックパンサーズ,26,104,227,127,1,55.9,55.50660792951542,0,0,0,-,,1.22,68,0.65,278,0,3,18,79,8.0,19,12,0,63.2,127,68,3,198
レギュラーラウンド,パナソニックパンサーズ,21,83,182,105,1,57.7,57.14285714285714,0,0,0,-,,1.27,52,0.63,212,0,2,13,60,7.8,16,9,0,56.2,105,52,2,159
ファイナル６,パナソニックパンサーズ,5,21,45,22,0,48.9,48.888888888888886,0,0,0,-,,1.05,16,0.76,66,0,1,5,19,8.4,3,3,0,100.0,22,16,1,39
Ｖ・プレミアリーグ男子 2013/14,パナソニックパンサーズ,32,119,228,139,11,61.0,56.14035087719298,0,0,0,-,,1.17,88,0.74,326,4,2,22,70,7.1,22,15,0,68.2,139,88,6,233
レギュラーラウンド,パナソニックパンサーズ,28,104,201,127,9,63.2,58.70646766169154,0,0,0,-,,1.22,77,0.74,289,4,2,21,63,7.4,19,13,0,68.4,127,77,6,210
セミファイナルラウンド,パナソニックパンサーズ,3,10,19,8,1,42.1,36.84210526315789,0,0,0,-,,0.80,7,0.70,24,0,0,0,5,5.2,3,2,0,66.7,8,7,0,15
ファイナルラウンド,パナソニックパンサーズ,1,5,8,4,1,50.0,37.5,0,0,0,-,,0.80,4,0.80,13,0,0,1,2,3.8,0,0,0,-,4,4,0,8
Ｖ・プレミアリーグ男子 2012/13,パナソニックパンサーズ,32,115,302,159,18,52.6,46.688741721854306,2,0,0,0.0,0.0,1.38,114,0.99,301,0,4,29,97,9.1,43,33,0,76.7,159,114,4,277
レギュラーラウンド,パナソニックパンサーズ,28,98,251,129,15,51.4,45.41832669322709,2,0,0,0.0,0.0,1.32,101,1.03,261,0,4,24,83,9.2,40,32,0,80.0,129,101,4,234
セミファイナルラウンド,パナソニックパンサーズ,3,13,44,27,3,61.4,54.54545454545454,0,0,0,-,,2.08,9,0.69,31,0,0,4,10,8.1,3,1,0,33.3,27,9,0,36
ファイナルラウンド,パナソニックパンサーズ,1,4,7,3,0,42.9,42.857142857142854,0,0,0,-,,0.75,4,1.00,9,0,0,1,4,11.1,0,0,0,-,3,4,0,7
Ｖ・プレミアリーグ男子 2011/12,パナソニックパンサーズ,24,101,291,163,11,56.0,52.23367697594502,0,0,0,-,,1.61,79,0.78,297,1,1,23,74,6.8,16,12,0,75.0,163,79,2,244
レギュラーラウンド,パナソニックパンサーズ,20,84,250,138,11,55.2,50.8,0,0,0,-,,1.64,66,0.79,238,1,0,18,64,7.1,11,8,0,72.7,138,66,1,205
セミファイナルラウンド,パナソニックパンサーズ,3,12,27,18,0,66.7,66.66666666666666,0,0,0,-,,1.50,9,0.75,38,0,1,2,6,6.1,5,4,0,80.0,18,9,1,28
ファイナルラウンド,パナソニックパンサーズ,1,5,14,7,0,50.0,50.0,0,0,0,-,,1.40,4,0.80,21,0,0,3,4,4.8,0,0,0,-,7,4,0,11
Ｖ・プレミアリーグ男子 2010/11,パナソニックパンサーズ,24,89,215,121,11,56.3,51.162790697674424,0,0,0,-,,1.36,66,0.74,255,3,5,13,66,9.2,19,8,0,42.1,121,66,8,195
レギュラーラウンド,パナソニックパンサーズ,24,89,215,121,11,56.3,51.162790697674424,0,0,0,-,,1.36,66,0.74,255,3,5,13,66,9.2,19,8,0,42.1,121,66,8,195
Ｖ・プレミアリーグ男子 2009/10,パナソニックパンサーズ,32,122,314,160,11,51.0,47.452229299363054,3,1,0,33.3,33.33333333333333,1.31,89,0.73,390,4,3,41,85,7.1,31,20,0,64.5,160,89,7,256
レギュラーラウンド,パナソニックパンサーズ,28,107,276,141,10,51.1,47.46376811594203,3,1,0,33.3,33.33333333333333,1.32,81,0.76,358,4,3,39,78,7.2,29,18,0,62.1,141,81,7,229
セミファイナルラウンド,パナソニックパンサーズ,3,12,30,16,0,53.3,53.333333333333336,0,0,0,-,,1.33,4,0.33,27,0,0,2,6,5.6,2,2,0,100.0,16,4,0,20
ファイナルラウンド,パナソニックパンサーズ,1,3,8,3,1,37.5,25.0,0,0,0,-,,1.00,4,1.33,5,0,0,0,1,5.0,0,0,0,-,3,4,0,7
日韓V.LEAGUE TOP MATCH 男子 2010,,1,4,10,5,0,50.0,50.0,0,0,0,-,,1.25,4,1.00,12,0,0,0,3,6.2,0,0,0,-,5,4,0,9
日韓V.LEAGUE TOP MATCH,,1,4,10,5,0,50.0,50.0,0,0,0,-,,1.25,4,1.00,12,0,0,0,3,6.2,0,0,0,-,5,4,0,9
Ｖ・プレミアリーグ男子 2008/09,パナソニックパンサーズ,32,103,253,131,17,51.8,45.059288537549406,0,0,0,-,,1.27,67,0.65,322,0,0,8,44,3.4,31,22,0,71.0,131,67,0,198
レギュラーラウンド,パナソニックパンサーズ,28,94,243,131,16,53.9,47.325102880658434,0,0,0,-,,1.39,65,0.69,297,0,0,8,39,3.3,31,22,0,71.0,131,65,0,196
セミファイナルラウンド,パナソニックパンサーズ,3,9,10,0,1,0.0,-10.0,0,0,0,-,,-,2,0.22,25,0,0,0,5,5.0,0,0,0,-,0,2,0,2
ファイナルラウンド,パナソニックパンサーズ,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2007/08,パナソニックパンサーズ,32,97,240,120,17,50.0,42.916666666666664,0,0,0,-,,1.24,54,0.56,280,0,3,33,58,6.0,41,31,0,75.6,120,54,3,177
レギュラーラウンド,パナソニックパンサーズ,28,79,207,104,15,50.2,42.99516908212561,0,0,0,-,,1.32,46,0.58,231,0,1,31,47,5.4,30,22,0,73.3,104,46,1,151
セミファイナルラウンド,パナソニックパンサーズ,3,14,22,12,2,54.5,45.45454545454545,0,0,0,-,,0.86,6,0.43,40,0,2,2,10,10.2,8,7,0,87.5,12,6,2,20
ファイナルラウンド,パナソニックパンサーズ,1,4,11,4,0,36.4,36.36363636363637,0,0,0,-,,1.00,2,0.50,9,0,0,0,1,2.8,3,2,0,66.7,4,2,0,6
レギュラーシーズン通算,,314,1112,2554,1435,109,56.2,51.918559122944394,6,1,0,16.7,16.666666666666664,1.29,793,0.71,3431,27,34,278,801,5.6,245,155,8,64.9,1435,793,61,2289
